player,outcome,x,y,role
P. Lees Melou,Miss,74,50,Midfielder
V. Koziello,Miss,75,46,Midfielder
A. Pléa,Miss,92,48,Forward
B. Dabo,Miss,85,59,Midfielder
R. Pierre-Gabriel,Miss,85,30,Defender
Dante,Miss,92,44,Defender
B. Nivet,Miss,78,20,Midfielder
I. Sarr,Miss,90,28,Midfielder
B. André,Miss,90,50,Midfielder
S. Darbion,Miss,98,33,Midfielder
M. Deplagne,Miss,72,63,Defender
A. Niane,Miss,89,38,Forward
K. Azamoum,Miss,76,46,Midfielder
F. Mubele,Miss,81,59,Forward
A. Niane,Miss,89,63,Forward
B. Nivet,Miss,82,53,Midfielder
A. Niane,Miss,90,45,Forward
O. Vizcarrondo,Miss,92,48,Defender
B. Bourigeaud,Miss,90,49,Midfielder
F. Mubele,Miss,89,54,Forward
B. André,Miss,91,54,Midfielder
A. Niane,Miss,78,50,Forward
J. Gnagnon,Miss,91,49,Defender
S. Grandsir,GOAL,91,42,Forward
B. Nivet,Miss,89,51,Midfielder
J. Tell,Miss,88,42,Forward
J. Tell,GOAL,96,45,Forward
R. Bensebaini,Miss,78,33,Defender
J. Tell,Miss,96,62,Forward
F. Mubele,Miss,74,75,Forward
F. Mubele,Miss,92,70,Forward
I. Sarr,Miss,75,35,Midfielder
F. Mubele,Miss,93,30,Forward
P. Capelle,Miss,76,44,Midfielder
M. Pavlović,Miss,95,29,Defender
S. Koita,Miss,86,33,Forward
H. Manzala,Miss,77,29,Midfielder
E. Crivelli,Miss,93,62,Forward
E. Crivelli,GOAL,92,69,Forward
C. Charrier,Miss,90,37,Midfielder
L. Coulibaly,Miss,72,60,Midfielder
B. Dibassy,Miss,75,8,Defender
G. Kakuta,Miss,92,63,Midfielder
G. Sunu,Miss,78,35,Forward
T. Mangani,GOAL,68,41,Midfielder
G. Fofana,Miss,71,58,Midfielder
G. Kakuta,Miss,71,57,Midfielder
K. Toko Ekambi,Miss,81,62,Forward
L. Coulibaly,Miss,91,58,Midfielder
J. Dompé,Miss,87,63,Midfielder
B. Santamaria,Miss,77,60,Midfielder
M. Pavlović,Miss,95,47,Defender
B. Guillaume,Miss,86,55,Forward
B. Dibassy,Miss,75,26,Defender
F. Kamano,Miss,84,30,Forward
R. Cohade,Miss,93,58,Midfielder
N. Roux,Miss,86,49,Forward
M. Biševac,Miss,92,46,Defender
V. Vada,GOAL,78,65,Midfielder
F. Kamano,Miss,79,42,Forward
Y. Jouffre,Miss,86,68,Midfielder
L. Lerager,Miss,73,65,Midfielder
O. Nguette,Miss,79,68,Forward
Y. Sankharé,GOAL,96,44,Midfielder
Malcom,Miss,81,54,Forward
Jonathan Cafu,Miss,97,64,Forward
A. Mendy,Miss,90,49,Forward
I. Niane,Miss,76,53,Forward
G. Laborde,Miss,93,23,Forward
I. Niane,Miss,91,68,Forward
Malcom,Miss,91,48,Forward
I. Niane,Miss,84,45,Forward
D. Avounou,Miss,73,46,Midfielder
O. Tannane,Miss,82,49,Forward
I. Santini,Miss,91,54,Forward
O. Tannane,Miss,86,52,Forward
O. Tannane,Miss,97,48,Forward
R. Rodelin,Miss,74,80,Forward
V. Bessat,Miss,76,34,Midfielder
J. Bamba,Miss,82,56,Forward
J. Féret,Miss,83,40,Midfielder
I. Santini,Miss,91,53,Forward
D. Da Silva,Miss,91,51,Defender
I. Santini,Miss,88,50,Forward
R. Hamouma,GOAL,87,39,Forward
D. Da Silva,Miss,87,51,Defender
D. Da Silva,Miss,90,48,Defender
I. Santini,Miss,88,50,Forward
R. Falcao,GOAL,96,47,Forward
J. Marié,Miss,73,42,Midfielder
A. Diakhaby,Miss,74,45,Forward
W. Saïd,Miss,87,52,Forward
W. Saïd,Miss,91,42,Forward
D. Sidibé,Miss,79,76,Defender
K. Glik,Miss,94,54,Defender
Jemerson,GOAL,93,58,Defender
R. Falcao,GOAL,82,36,Forward
W. Saïd,GOAL,83,62,Forward
A. Diakhaby,Miss,89,61,Forward
Kwon Chang-Hoon,Miss,81,47,Midfielder
K. Glik,Miss,91,46,Defender
R. Falcao,GOAL,94,54,Forward
N. Sliti,Miss,88,72,Midfielder
Rony Lopes,Miss,90,35,Midfielder
Jorge,Miss,71,25,Defender
O. Haddadi,Miss,93,53,Defender
A. Diakhaby,Miss,91,45,Forward
R. Amalfitano,Miss,73,56,Midfielder
T. Lemar,Miss,77,62,Midfielder
Gil Dias,Miss,84,70,Forward
N. Sliti,Miss,76,66,Midfielder
F. Sammaritano,Miss,90,40,Midfielder
C. Yamberé,Miss,95,53,Defender
Á. di María,Miss,77,62,Midfielder
E. Cavani,Miss,90,32,Forward
