player,outcome,x,y,role
João Cancelo,Miss,87,61,Defender
Medrán,Miss,65,68,Midfielder
Nacho Vidal,Miss,90,70,Defender
Rodrigo,Miss,89,34,Forward
S. Zaza,GOAL,82,49,Forward
A. Halilović,Miss,85,55,Midfielder
João Cancelo,Miss,87,60,Defender
S. Zaza,Miss,91,44,Forward
Ximo Navarro,Miss,65,66,Defender
Rodrigo,Miss,89,30,Forward
S. Zaza,Miss,82,61,Forward
João Cancelo,Miss,91,37,Defender
Carlos Soler,Miss,71,27,Midfielder
S. Zaza,Miss,89,31,Forward
Jonathan Viera,Miss,75,43,Midfielder
Rodrigo,Miss,88,52,Forward
João Cancelo,Miss,90,34,Defender
S. Zaza,Miss,91,36,Forward
E. Garay,Miss,91,60,Defender
S. Zaza,Miss,90,64,Forward
S. Zaza,Miss,92,71,Forward
Santi Mina,Miss,88,60,Forward
Guerrero,Miss,81,34,Forward
Rubén Sobrino,Miss,91,69,Forward
Gabriel,Miss,87,40,Midfielder
Gabriel,GOAL,95,61,Midfielder
Guerrero,Miss,94,41,Forward
C. Santos,Miss,90,34,Forward
Gabriel,Miss,72,51,Midfielder
Omar Ramos,Miss,75,74,Midfielder
A. Szymanowski,Miss,73,35,Midfielder
A. Szymanowski,Miss,85,30,Midfielder
Rubén Pérez,Miss,73,48,Midfielder
Ibai Gómez,Miss,73,40,Midfielder
M. Wakaso,Miss,68,60,Midfielder
Rodrigo Ely,Miss,90,32,Defender
Óscar Romero,Miss,79,35,Midfielder
Burgui,Miss,70,52,Midfielder
N. El Zhar,Miss,89,67,Midfielder
Guerrero,Miss,89,54,Forward
Juanmi,Miss,85,44,Forward
Illarramendi,Miss,74,35,Midfielder
Willian José,Miss,96,55,Forward
Willian José,GOAL,95,49,Forward
Trigueros,Miss,74,50,Midfielder
Juanmi,Miss,89,45,Forward
Xabi Prieto,Miss,95,61,Midfielder
Xabi Prieto,GOAL,93,43,Midfielder
Juanmi,Miss,89,37,Forward
Juanmi,GOAL,88,47,Forward
C. Bakambu,Miss,75,59,Forward
Rúben Semedo,Miss,90,49,Defender
Trigueros,Miss,76,26,Midfielder
Juanmi,Miss,85,51,Forward
C. Bakambu,Miss,90,67,Forward
C. Vela,Miss,96,56,Forward
Mikel Oyarzabal,Miss,86,67,Midfielder
C. Vela,Miss,96,42,Forward
Samu Castillejo,Miss,72,28,Midfielder
Mikel Oyarzabal,Miss,90,30,Midfielder
Odriozola,Miss,76,70,Defender
Deulofeu,Miss,91,36,Forward
Deulofeu,Miss,79,28,Forward
I. Rakitić,Miss,82,36,Midfielder
L. Messi,Miss,80,34,Forward
Iniesta,Miss,80,53,Midfielder
L. Messi,Miss,89,36,Forward
Rubén Sobrino,Miss,92,35,Forward
Óscar Romero,Miss,78,39,Midfielder
Ibai Gómez,Miss,80,26,Midfielder
Deulofeu,Miss,93,25,Forward
Piqué,Miss,91,55,Defender
L. Messi,Miss,88,31,Forward
Deulofeu,Miss,90,65,Forward
L. Messi,Miss,79,55,Forward
L. Messi,GOAL,91,37,Forward
Jordi Alba,Miss,93,43,Defender
Ibai Gómez,Miss,88,22,Midfielder
L. Messi,GOAL,87,42,Forward
Óscar Romero,Miss,74,73,Midfielder
Burgui,Miss,85,48,Midfielder
L. Messi,Miss,85,56,Forward
Manu García,Miss,78,42,Midfielder
Denis Suárez,Miss,81,63,Midfielder
Paco Alcácer,Miss,89,34,Forward
I. Rakitić,Miss,79,57,Midfielder
Denis Suárez,Miss,88,75,Midfielder
Piqué,Miss,91,44,Defender
Eraso,Miss,89,55,Midfielder
Omar Ramos,Miss,82,73,Midfielder
A. Szymanowski,Miss,93,35,Midfielder
Gabriel,Miss,73,50,Midfielder
P. Piatti,Miss,88,62,Forward
Eraso,Miss,76,53,Midfielder
A. Szymanowski,Miss,89,37,Midfielder
Gabriel,Miss,90,43,Midfielder
Eraso,Miss,94,60,Midfielder
M. Mantovani,GOAL,97,54,Defender
Gabriel,Miss,89,47,Midfielder
Gerard Moreno,Miss,87,58,Forward
Gerard Moreno,Miss,94,44,Forward
Granero,Miss,81,63,Midfielder
Aarón,Miss,77,25,Defender
Jurado,Miss,80,67,Midfielder
Léo Baptistão,Miss,93,59,Forward
Léo Baptistão,Miss,90,47,Forward
Granero,Miss,70,49,Midfielder
Sergio García,Miss,96,42,Forward
Léo Baptistão,Miss,93,69,Forward
Gerard Moreno,Miss,90,59,Forward
P. Piatti,Miss,76,48,Forward
Diego Rico,Miss,83,15,Defender
Gumbau,Miss,85,50,Midfielder
Campaña,Miss,90,51,Midfielder
Fede Cartabia,GOAL,90,50,Midfielder
José Luis Morales,Miss,87,33,Midfielder
J. Lerma,Miss,75,64,Midfielder
Jason,Miss,91,62,Midfielder
José Luis Morales,Miss,87,34,Midfielder
