player,outcome,x,y,role
C. Eriksen,Miss,74,63,Midfielder
D. Alli,GOAL,94,48,Midfielder
H. Kane,Miss,86,34,Forward
C. Eriksen,Miss,92,36,Midfielder
B. Davies,GOAL,88,47,Defender
E. Dier,Miss,75,51,Midfielder
C. Atsu,Miss,82,36,Midfielder
C. Atsu,Miss,96,39,Midfielder
C. Clark,Miss,90,35,Defender
H. Kane,Miss,89,58,Forward
M. Gabbiadini,Miss,95,64,Forward
D. Tadić,Miss,94,43,Midfielder
R. Bertrand,Miss,76,31,Defender
T. Abraham,Miss,94,52,Forward
M. Gabbiadini,Miss,95,45,Forward
J. Ward-Prowse,Miss,89,41,Midfielder
N. Redmond,Miss,93,33,Midfielder
N. Redmond,Miss,80,32,Midfielder
J. Ward-Prowse,Miss,78,49,Midfielder
J. Ward-Prowse,Miss,86,46,Midfielder
Cédric Soares,Miss,86,74,Defender
S. Davis,Miss,78,50,Midfielder
M. Yoshida,Miss,93,55,Defender
T. Abraham,Miss,91,61,Forward
L. Fer,Miss,91,66,Midfielder
D. Tadić,Miss,81,49,Midfielder
N. Redmond,Miss,80,25,Midfielder
M. Olsson,Miss,79,20,Defender
M. Gabbiadini,Miss,93,66,Forward
N. Redmond,Miss,90,43,Midfielder
M. Gabbiadini,Miss,81,60,Forward
M. Gabbiadini,Miss,91,28,Forward
S. Davis,Miss,82,49,Midfielder
D. Tadić,Miss,70,41,Midfielder
M. Yoshida,Miss,96,57,Defender
D. Tadić,Miss,85,54,Midfielder
Cédric Soares,Miss,78,66,Defender
S. Boufal,Miss,79,25,Midfielder
C. Austin,Miss,87,67,Forward
R. Pereyra,Miss,90,36,Midfielder
S. Okaka,GOAL,95,56,Forward
S. Mané,GOAL,90,32,Forward
A. Doucouré,GOAL,93,53,Midfielder
N. Chalobah,Miss,54,31,Midfielder
Mohamed Salah,Miss,90,66,Forward
S. Mané,Miss,88,46,Forward
Mohamed Salah,Miss,87,65,Forward
Mohamed Salah,GOAL,96,57,Forward
Alberto Moreno,Miss,81,32,Defender
J. Matip,Miss,94,41,Defender
D. Lovren,Miss,93,59,Defender
Mohamed Salah,Miss,85,65,Forward
J. Holebas,Miss,75,23,Defender
Mohamed Salah,Miss,91,69,Forward
G. Wijnaldum,Miss,87,49,Midfielder
M. Britos,Miss,86,40,Defender
M. Britos,GOAL,99,52,Defender
Richarlison,Miss,90,48,Forward
G. Wijnaldum,Miss,86,46,Midfielder
J. Rodriguez,Miss,80,25,Forward
M. Phillips,Miss,89,75,Midfielder
J. Rodriguez,Miss,97,38,Forward
J. Rodriguez,Miss,88,79,Forward
J. Rodriguez,Miss,97,47,Forward
M. Phillips,Miss,74,76,Midfielder
J. Rodriguez,Miss,87,31,Forward
J. McClean,Miss,90,22,Midfielder
Ahmed Hegazy,GOAL,98,42,Defender
Ahmed Hegazy,Miss,84,58,Defender
C. Yacob,Miss,99,56,Midfielder
A. Surman,Miss,74,49,Midfielder
H. Arter,Miss,72,58,Midfielder
Ahmed Hegazy,Miss,86,54,Defender
C. Yacob,Miss,96,38,Midfielder
J. King,Miss,90,47,Forward
R. Fraser,Miss,89,30,Midfielder
J. King,Miss,89,50,Forward
J. Ibe,Miss,77,68,Midfielder
N. Aké,Miss,91,48,Defender
H. Robson-Kanu,Miss,93,45,Forward
J. McClean,Miss,69,28,Midfielder
S. Rondón,Miss,78,29,Forward
R. Fraser,Miss,79,52,Midfielder
T. Cleverley,Miss,87,37,Midfielder
B. Afobe,Miss,97,45,Forward
H. Arter,Miss,83,63,Midfielder
N. Chalobah,Miss,89,43,Midfielder
B. Afobe,Miss,95,62,Forward
H. Arter,Miss,80,39,Midfielder
N. Chalobah,Miss,80,53,Midfielder
Richarlison,Miss,86,36,Forward
A. Gray,Miss,95,39,Forward
S. Cook,Miss,92,44,Defender
N. Amrabat,Miss,94,70,Forward
N. Chalobah,Miss,86,68,Midfielder
N. Chalobah,Miss,83,28,Midfielder
N. Chalobah,Miss,76,33,Midfielder
Richarlison,Miss,90,33,Forward
Richarlison,Miss,86,40,Forward
Richarlison,Miss,87,46,Forward
Richarlison,GOAL,95,59,Forward
Richarlison,Miss,89,54,Forward
J. King,Miss,94,50,Forward
A. Gray,Miss,95,65,Forward
E. Capoue,GOAL,72,64,Midfielder
J. Holebas,Miss,77,28,Defender
J. King,Miss,97,68,Forward
J. McClean,Miss,93,32,Midfielder
J. Hendrick,Miss,73,37,Midfielder
J. Hendrick,Miss,76,52,Midfielder
J. Hendrick,Miss,88,30,Midfielder
J. Hendrick,Miss,86,41,Midfielder
J. Guðmunds­son,Miss,77,66,Midfielder
J. Guðmunds­son,Miss,89,55,Midfielder
S. Field,Miss,97,44,Midfielder
B. Mee,Miss,94,45,Defender
S. Vokes,Miss,86,73,Forward
J. Livermore,Miss,77,57,Midfielder
S. Defour,Miss,77,56,Midfielder
