Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
A. Gunnarsson,cdm,8,0.125,0.429,0.875,0.333,0.125,0.429,0.250,0.364,0.375,0.000,0.000,0.125,0.375,0.375,0.000,0.037,0.846,63.51
Raphaël Guerreiro,rb,18,0.833,0.657,0.500,0.448,0.389,0.481,0.167,0.435,0.778,0.056,0.167,0.278,1.111,0.500,0.056,0.044,0.547,67.57
Ricardo Carvalho,rb,3,0.000,0.400,1.000,0.391,0.000,0.400,0.000,0.400,0.667,0.000,0.000,0.000,0.333,0.667,0.333,0.075,0.516,64.58
B. Sævarsson,lb,8,0.375,0.478,1.375,0.387,0.000,0.400,0.375,0.435,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.066,0.767,63.20
Pepe,lb,10,0.000,0.400,1.700,0.297,0.500,0.400,0.800,0.393,0.400,0.100,0.000,0.100,0.800,0.400,0.000,0.034,0.676,64.23
João Moutinho,cm,42,0.310,0.636,0.333,0.265,1.310,0.453,1.095,0.333,0.452,0.000,0.190,0.548,1.357,0.333,0.024,0.015,0.548,69.12
B. Bjarnason,rcm,8,0.375,0.478,0.375,0.435,1.000,0.429,0.125,0.381,1.375,0.250,0.000,0.000,1.000,1.125,0.000,0.007,0.761,66.03
Nani,cam,25,0.360,0.586,0.080,0.409,0.640,0.361,0.520,0.333,1.240,0.240,0.120,0.160,1.480,1.200,0.040,0.000,0.164,67.33
H. Halldórsson,gk,8,0.000,0.400,6.750,0.608,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.633,63.59
Rui Patrício,gk,11,0.000,0.400,4.455,0.609,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.455,0.000,0.000,0.000,0.171,62.95
Vieirinha,lam,3,0.000,0.400,0.667,0.364,2.667,0.429,1.667,0.360,1.000,0.000,0.000,0.333,0.667,0.667,0.000,0.000,0.958,65.93
J. Böðvarsson,st,6,0.333,0.455,0.000,0.400,0.667,0.458,0.167,0.381,1.000,0.167,0.167,0.167,1.167,1.333,0.000,0.000,0.799,66.46
K. Árnason,cb,7,0.000,0.400,1.857,0.394,0.286,0.364,0.429,0.435,0.286,0.000,0.286,0.286,0.571,0.286,0.000,0.054,0.627,65.15
R. Sigurðsson,cb,8,0.000,0.400,0.875,0.519,0.000,0.400,0.125,0.429,0.250,0.125,0.000,0.000,0.000,0.250,0.000,0.095,0.559,63.08
Ricardo Quaresma,lw,10,0.300,0.478,0.100,0.381,0.700,0.407,0.300,0.391,0.900,0.200,0.100,0.700,1.000,0.800,0.000,0.000,0.457,66.94
A. Finnbogason,st,28,0.321,0.552,0.036,0.381,0.964,0.426,0.536,0.314,1.893,0.357,0.107,0.321,1.429,1.607,0.071,0.009,0.565,70.36
Éder,lw,3,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.667,0.333,0.000,0.000,0.000,0.667,0.000,0.000,0.000,64.66
E. Bjarnason,rcm,3,0.000,0.400,0.000,0.400,0.333,0.429,0.333,0.429,0.333,0.000,0.333,0.000,0.667,0.000,0.000,0.000,0.067,65.26
R. Juhász,lb,3,0.000,0.400,1.667,0.360,0.000,0.400,0.000,0.400,0.667,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.962,64.28
E. Hallfreðsson,cm,22,0.091,0.455,0.182,0.417,0.182,0.375,0.227,0.320,0.136,0.000,0.000,0.227,0.909,0.091,0.045,0.025,0.204,61.85
William Carvalho,cm,9,0.111,0.429,0.889,0.429,0.556,0.440,0.444,0.375,0.222,0.000,0.000,0.000,1.889,0.111,0.111,0.033,0.705,64.57
S. Ilsanker,lcm,22,0.182,0.500,0.591,0.333,0.682,0.400,0.818,0.316,0.227,0.000,0.045,0.091,0.909,0.136,0.091,0.022,0.529,63.92
A. Traustason,cam,3,0.333,0.429,0.000,0.400,0.000,0.400,0.000,0.400,0.667,0.333,0.000,0.000,0.333,0.667,0.000,0.000,0.000,64.77
S. Ingason,cb,4,0.000,0.400,0.750,0.435,0.000,0.400,0.000,0.400,1.250,0.000,0.000,0.250,0.750,1.000,0.000,0.022,0.362,64.48
Lucas Vázquez,lw,36,0.333,0.594,0.028,0.429,0.778,0.438,0.528,0.410,0.944,0.111,0.167,0.694,1.111,0.833,0.000,0.006,0.243,69.75
J. Lukaku,rb,31,0.548,0.649,0.258,0.393,0.161,0.320,0.129,0.333,0.194,0.032,0.032,0.194,0.516,0.129,0.000,0.011,0.373,61.74
S. Umtiti,rb,34,0.206,0.556,0.559,0.333,0.206,0.481,0.235,0.393,0.265,0.059,0.000,0.059,0.588,0.265,0.029,0.035,0.726,63.72
B. Guillaume,st,16,0.250,0.500,0.000,0.400,0.188,0.435,0.125,0.409,0.375,0.062,0.062,0.000,1.375,0.438,0.000,0.000,0.206,64.48
R. Thomas,rb,28,0.107,0.478,1.036,0.408,0.071,0.409,0.250,0.370,0.500,0.071,0.000,0.036,0.607,0.464,0.000,0.043,0.584,62.45
L. Lerager,lcm,37,0.351,0.606,0.730,0.426,0.919,0.389,0.703,0.326,0.892,0.081,0.027,0.162,1.108,0.730,0.081,0.012,0.757,66.34
L. Coulibaly,lcm,20,1.000,0.675,0.200,0.500,0.300,0.423,0.150,0.348,0.700,0.050,0.050,0.000,1.300,0.550,0.000,0.004,0.238,64.86
Y. Sabaly,lb,38,1.421,0.824,0.763,0.449,0.684,0.522,0.553,0.415,0.316,0.000,0.158,0.395,1.000,0.184,0.000,0.022,0.744,69.61
Y. Sankharé,rcm,29,0.552,0.667,0.069,0.455,0.517,0.286,0.483,0.294,1.276,0.241,0.034,0.103,1.276,1.034,0.069,0.008,0.472,65.45
V. Manceau,lb,33,1.000,0.736,0.606,0.400,0.455,0.371,0.545,0.342,0.485,0.000,0.000,0.182,0.818,0.273,0.000,0.030,0.689,63.62
A. Letellier,gk,13,0.000,0.400,4.154,0.568,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.527,62.74
I. Traoré,lb,32,0.156,0.520,0.719,0.419,0.094,0.348,0.188,0.346,0.438,0.094,0.000,0.000,0.531,0.406,0.000,0.074,0.636,60.81
B. Santamaria,cm,31,0.516,0.611,0.871,0.404,0.452,0.353,0.484,0.314,0.548,0.000,0.000,0.097,0.613,0.129,0.000,0.016,0.675,62.38
V. Jovanović,cb,16,0.312,0.520,1.188,0.410,0.062,0.381,0.250,0.417,0.250,0.000,0.000,0.062,0.250,0.188,0.000,0.073,0.661,62.17
J. Toulalan,cdm,21,0.333,0.556,1.286,0.298,0.095,0.409,0.286,0.346,0.000,0.000,0.000,0.048,0.619,0.000,0.048,0.032,0.663,62.16
B. Costil,gk,36,0.000,0.400,5.306,0.583,0.000,0.400,0.111,0.375,0.000,0.000,0.000,0.000,0.306,0.000,0.000,0.000,0.359,61.51
V. Vada,lcm,21,0.381,0.571,0.095,0.364,0.476,0.400,0.238,0.320,0.476,0.095,0.000,0.095,0.524,0.381,0.000,0.021,0.225,63.02
Malcom,lw,35,2.200,0.845,0.086,0.435,1.514,0.356,1.200,0.323,1.629,0.286,0.200,0.829,3.057,1.486,0.029,0.002,0.673,75.67
P. Capelle,cm,28,0.929,0.739,0.071,0.364,0.571,0.500,0.429,0.469,1.357,0.071,0.036,0.214,1.429,0.786,0.036,0.011,0.616,69.07
T. Pellenard,rb,18,0.556,0.600,0.444,0.464,0.833,0.400,0.944,0.297,0.056,0.000,0.056,0.222,0.556,0.000,0.000,0.025,0.527,64.15
A. Mendy,st,16,0.000,0.400,0.000,0.400,0.188,0.435,0.125,0.409,1.562,0.250,0.000,0.188,0.562,1.375,0.000,0.000,0.376,65.97
G. Sunu,rw,20,0.500,0.600,0.000,0.400,0.350,0.481,0.100,0.409,0.450,0.050,0.000,0.050,0.550,0.300,0.000,0.005,0.303,64.50
T. Mangani,rcm,35,0.200,0.556,0.657,0.395,1.114,0.458,1.486,0.333,0.657,0.029,0.143,0.657,1.514,0.714,0.000,0.008,0.657,69.73
F. Kamano,rw,35,1.200,0.726,0.029,0.429,0.486,0.405,0.343,0.375,1.743,0.200,0.114,0.343,1.457,1.114,0.057,0.003,0.503,69.99
A. Fulgini,lam,29,0.552,0.639,0.172,0.320,0.759,0.524,0.759,0.452,1.069,0.103,0.172,0.379,1.414,0.724,0.138,0.000,0.381,71.70
K. Toko Ekambi,rw,37,0.973,0.750,0.000,0.400,0.865,0.385,0.568,0.415,2.568,0.378,0.108,0.568,2.568,2.108,0.081,0.005,0.672,74.84
F. Tait,cam,31,1.387,0.778,0.161,0.360,1.290,0.400,0.903,0.375,1.774,0.129,0.065,0.613,2.419,1.387,0.290,0.005,0.586,73.58
M. Pavlović,cb,24,0.083,0.455,0.667,0.444,0.042,0.429,0.208,0.400,0.625,0.083,0.000,0.000,0.375,0.583,0.000,0.026,0.532,63.25
G. Laborde,st,20,0.550,0.581,0.000,0.400,0.150,0.391,0.050,0.381,1.200,0.100,0.000,0.200,0.550,1.150,0.000,0.000,0.364,64.73
T. Touré,rw,8,0.125,0.429,0.000,0.400,0.375,0.391,0.250,0.364,0.875,0.000,0.125,0.125,0.625,0.375,0.000,0.000,0.303,64.53
E. Sala,st,36,0.278,0.567,0.056,0.364,0.944,0.370,0.500,0.368,2.222,0.222,0.083,0.167,1.917,2.167,0.222,0.006,0.752,71.27
P. Nakoulma,rw,18,1.556,0.708,0.000,0.400,0.778,0.441,0.278,0.360,1.444,0.167,0.000,0.222,1.722,0.944,0.000,0.000,0.516,67.64
Diego Carlos,cb,28,0.179,0.520,0.964,0.468,0.179,0.320,0.607,0.324,0.500,0.000,0.000,0.107,0.643,0.536,0.000,0.025,0.533,61.72
A. Kačaniklić,lam,9,0.333,0.478,0.000,0.400,0.222,0.409,0.222,0.409,0.222,0.000,0.111,0.111,0.778,0.222,0.000,0.014,0.000,64.21
F. Touré,rb,27,0.296,0.536,0.148,0.375,0.296,0.393,0.111,0.348,0.111,0.000,0.000,0.111,0.741,0.148,0.037,0.031,0.655,62.09
J. Alonso,rb,34,0.000,0.400,0.912,0.510,0.088,0.435,0.765,0.283,0.353,0.059,0.000,0.118,0.588,0.324,0.000,0.071,0.584,61.64
Luiz Araújo,rw,34,1.176,0.750,0.176,0.346,1.147,0.339,0.882,0.280,1.471,0.147,0.059,0.235,1.500,0.853,0.029,0.005,0.425,67.52
N. de Préville,rw,33,1.121,0.754,0.061,0.455,0.848,0.354,0.606,0.275,1.788,0.152,0.121,0.182,1.667,1.273,0.061,0.004,0.576,68.68
V. Rongier,cam,32,0.312,0.600,0.094,0.391,0.719,0.442,0.594,0.359,0.750,0.031,0.031,0.125,1.156,0.500,0.000,0.012,0.545,65.42
A. Touré,cm,36,0.167,0.538,0.444,0.389,1.000,0.393,0.556,0.375,1.083,0.028,0.028,0.083,0.833,0.611,0.028,0.022,0.565,65.15
M. Maignan,gk,34,0.000,0.400,2.882,0.534,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.676,0.000,0.000,0.000,0.484,61.69
K. Djidji,cb,29,0.345,0.600,0.862,0.489,0.241,0.444,0.172,0.360,0.310,0.000,0.000,0.103,0.310,0.172,0.000,0.046,0.593,62.63
N. Pallois,cb,28,0.107,0.478,1.143,0.423,0.036,0.429,0.250,0.370,0.321,0.000,0.036,0.036,0.536,0.214,0.000,0.036,0.594,62.37
Edgar Ié,lb,35,0.114,0.500,0.943,0.415,0.457,0.333,0.514,0.211,0.400,0.029,0.000,0.000,0.886,0.343,0.029,0.041,0.771,60.41
Thiago Mendes,cam,31,0.613,0.667,0.161,0.440,1.258,0.373,1.355,0.306,1.226,0.097,0.097,0.355,1.516,0.968,0.161,0.010,0.534,69.66
I. Amadou,cdm,30,0.533,0.639,0.300,0.448,0.400,0.375,0.600,0.342,0.467,0.000,0.000,0.000,0.667,0.267,0.000,0.026,0.617,62.74
K. Malcuit,lb,23,1.826,0.790,0.522,0.375,0.913,0.415,0.478,0.323,0.435,0.000,0.217,0.261,1.391,0.304,0.043,0.034,0.546,67.56
Y. Benzia,rw,31,0.839,0.717,0.065,0.409,2.226,0.416,1.871,0.308,0.871,0.032,0.129,0.677,1.742,0.516,0.000,0.006,0.678,71.44
A. El Ghazi,lw,27,1.074,0.714,0.148,0.333,0.519,0.471,0.185,0.400,1.815,0.148,0.148,0.444,1.185,1.593,0.111,0.005,0.537,71.05
L. Dubois,lb,34,1.529,0.819,1.382,0.463,0.500,0.378,0.735,0.378,1.176,0.088,0.088,0.853,1.529,0.794,0.029,0.030,0.742,69.91
J. Iloki,lam,26,0.731,0.692,0.115,0.391,0.538,0.412,0.192,0.360,0.385,0.000,0.000,0.654,1.423,0.308,0.077,0.004,0.381,65.91
R. Kouamé,rb,6,0.833,0.520,0.000,0.400,0.167,0.381,0.000,0.400,0.000,0.000,0.167,0.167,0.833,0.000,0.000,0.047,0.015,64.19
A. Thomasson,ram,36,0.250,0.586,0.167,0.462,0.972,0.382,0.583,0.390,1.444,0.139,0.083,0.306,1.667,1.139,0.000,0.013,0.605,68.48
E. Ponce,st,27,0.111,0.435,0.000,0.400,0.074,0.409,0.148,0.375,0.741,0.074,0.037,0.185,0.630,0.556,0.000,0.000,0.290,63.72
C. Awaziem,cb,22,0.091,0.409,1.409,0.431,0.364,0.500,0.273,0.346,0.455,0.045,0.000,0.045,0.273,0.455,0.000,0.035,0.366,63.39
Thiago Maia,rcm,34,0.500,0.676,0.353,0.438,0.912,0.392,0.706,0.295,0.500,0.000,0.000,0.000,1.088,0.294,0.088,0.025,0.542,64.07
I. Saadi,st,26,0.154,0.500,0.000,0.400,0.308,0.393,0.192,0.360,1.115,0.154,0.000,0.192,1.115,0.846,0.000,0.005,0.129,64.53
J. Martin,cm,36,0.278,0.600,0.111,0.417,0.639,0.372,0.889,0.365,0.639,0.028,0.028,0.306,1.722,0.500,0.028,0.015,0.681,65.73
K. Lala,cb,31,1.484,0.773,0.548,0.432,1.613,0.486,1.484,0.333,0.355,0.000,0.129,0.258,1.000,0.129,0.032,0.017,0.709,69.71
Marçal,rb,18,0.278,0.520,0.500,0.414,0.389,0.333,0.444,0.357,0.056,0.000,0.167,0.278,1.167,0.056,0.056,0.038,0.584,64.21
M. Depay,rw,36,1.333,0.794,0.056,0.455,1.611,0.308,1.333,0.294,2.278,0.417,0.250,0.750,2.917,2.139,0.167,0.001,0.547,77.53
J. Aholou,cm,35,0.657,0.698,0.429,0.371,0.429,0.400,0.571,0.250,1.000,0.143,0.000,0.086,0.914,0.514,0.029,0.023,0.667,64.23
Sergi Darder,cm,38,0.184,0.556,0.816,0.451,0.842,0.365,1.000,0.259,0.658,0.026,0.079,0.211,1.079,0.447,0.079,0.028,0.618,64.88
Mariano Díaz,rw,34,0.676,0.651,0.059,0.364,0.765,0.413,0.529,0.395,2.500,0.500,0.088,0.294,1.882,2.294,0.059,0.002,0.557,73.42
B. Traoré,lw,31,0.839,0.674,0.097,0.478,1.290,0.417,0.871,0.340,2.355,0.387,0.097,0.226,2.226,2.000,0.097,0.006,0.545,73.36
P. Martinez,rb,24,0.542,0.636,0.833,0.400,0.375,0.345,1.042,0.289,0.625,0.000,0.042,0.000,0.708,0.500,0.000,0.061,0.692,62.58
B. Kamara,gk,19,0.000,0.400,6.158,0.584,0.000,0.400,0.053,0.381,0.000,0.000,0.000,0.000,0.263,0.000,0.000,0.000,0.508,62.36
N. Fekir,cam,36,0.917,0.736,0.111,0.333,1.056,0.466,0.972,0.418,2.000,0.333,0.139,0.667,2.167,2.056,0.000,0.007,0.532,75.16
Rafael,lb,24,1.125,0.660,0.542,0.424,0.417,0.367,0.458,0.387,0.375,0.042,0.083,0.500,0.750,0.250,0.000,0.041,0.622,65.37
Y. Salmier,cb,14,0.143,0.455,0.786,0.387,0.286,0.458,0.429,0.385,0.143,0.000,0.000,0.071,0.786,0.143,0.000,0.038,0.505,63.37
Marcelo,lb,35,0.057,0.409,0.686,0.341,0.086,0.348,1.114,0.339,0.571,0.086,0.029,0.086,0.971,0.543,0.000,0.063,0.703,62.31
D. Liénard,rcm,33,0.879,0.714,0.636,0.366,0.576,0.333,0.788,0.326,1.152,0.061,0.152,1.061,1.455,1.030,0.000,0.009,0.563,69.12
B. Corgnet,cam,18,0.444,0.571,0.167,0.348,1.222,0.286,1.444,0.283,1.333,0.000,0.111,0.278,1.833,0.833,0.000,0.014,0.683,66.03
L. Tousart,cdm,37,0.135,0.520,0.216,0.464,0.378,0.412,0.378,0.324,0.351,0.000,0.000,0.054,1.054,0.270,0.027,0.032,0.634,62.45
K. Mangane,lb,20,0.150,0.478,1.450,0.408,0.050,0.429,0.650,0.303,0.700,0.050,0.000,0.050,0.950,0.550,0.000,0.026,0.511,63.21
J. Morel,rb,33,0.091,0.478,0.364,0.344,0.152,0.400,0.364,0.281,0.030,0.000,0.000,0.000,0.697,0.000,0.000,0.060,0.637,59.80
Nuno Da Costa,lw,26,0.385,0.533,0.077,0.364,0.885,0.326,0.846,0.286,1.077,0.192,0.077,0.115,1.923,0.962,0.038,0.007,0.546,66.20
A. Lopes,gk,34,0.000,0.400,2.588,0.444,0.000,0.400,0.029,0.381,0.000,0.000,0.000,0.000,0.294,0.000,0.000,0.053,0.272,60.04
I. Sacko,lw,21,0.381,0.571,0.048,0.429,0.667,0.353,0.571,0.375,0.571,0.000,0.048,0.143,0.857,0.333,0.143,0.013,0.280,64.87
M. Maolida,rw,13,0.154,0.455,0.000,0.400,0.308,0.417,0.308,0.417,0.692,0.077,0.000,0.231,0.692,0.538,0.000,0.000,0.098,64.53
A. Gonçalves,lam,29,0.759,0.714,0.448,0.333,0.517,0.429,0.793,0.419,0.552,0.000,0.000,0.345,1.690,0.345,0.069,0.015,0.430,66.64
M. Cornet,lw,30,0.700,0.683,0.200,0.462,0.333,0.367,0.233,0.333,0.967,0.133,0.200,0.300,1.500,0.633,0.033,0.000,0.195,67.31
S. Bahoken,st,26,0.385,0.600,0.038,0.429,0.346,0.517,0.115,0.348,1.500,0.269,0.038,0.231,1.038,1.231,0.000,0.007,0.445,68.06
J. Ferri,lcm,24,0.500,0.625,0.042,0.381,0.417,0.500,0.208,0.400,0.292,0.000,0.042,0.125,1.500,0.208,0.000,0.013,0.247,65.18
J. Marié,cm,27,0.185,0.520,0.222,0.385,0.259,0.370,0.407,0.258,0.778,0.037,0.000,0.074,0.630,0.370,0.074,0.039,0.516,61.90
W. Lautoa,cb,10,0.200,0.455,0.200,0.409,0.100,0.381,0.100,0.381,0.100,0.000,0.000,0.000,0.100,0.100,0.000,0.045,0.428,62.27
Kwon Chang-Hoon,lam,34,0.676,0.674,0.235,0.393,0.647,0.310,0.676,0.256,1.824,0.324,0.029,0.324,0.794,1.618,0.088,0.009,0.527,67.56
Luiz Gustavo,rcm,34,0.382,0.576,0.265,0.345,0.794,0.426,0.559,0.359,1.588,0.147,0.059,0.118,1.441,1.059,0.059,0.032,0.656,67.60
M. Sanson,cam,33,0.848,0.667,0.091,0.435,0.909,0.480,0.939,0.353,1.576,0.242,0.061,0.455,1.364,1.212,0.091,0.004,0.506,71.59
F. Thauvin,lw,36,1.361,0.725,0.333,0.312,2.194,0.374,1.806,0.294,3.111,0.528,0.278,0.861,2.750,2.667,0.056,0.002,0.699,80.84
M. Lopez,lcm,24,0.417,0.567,0.292,0.407,0.500,0.438,0.708,0.270,0.417,0.000,0.000,0.500,1.250,0.208,0.000,0.029,0.378,64.05
V. Germain,lw,35,0.057,0.455,0.086,0.348,0.429,0.400,0.343,0.406,1.457,0.257,0.143,0.257,1.057,1.314,0.000,0.008,0.495,68.25
R. Amalfitano,cm,33,0.636,0.659,0.545,0.395,0.848,0.354,1.576,0.333,0.364,0.000,0.030,0.242,0.364,0.091,0.030,0.028,0.717,64.79
O. Haddadi,rb,34,1.029,0.727,0.235,0.429,0.294,0.433,0.118,0.417,0.147,0.029,0.059,0.294,0.794,0.088,0.000,0.026,0.538,65.17
H. Sakai,lb,36,0.472,0.649,0.611,0.381,0.417,0.429,0.194,0.333,0.139,0.000,0.083,0.167,0.639,0.111,0.000,0.028,0.606,63.51
B. Reynet,gk,38,0.000,0.400,6.974,0.674,0.000,0.400,0.158,0.346,0.000,0.000,0.000,0.026,0.342,0.000,0.000,0.021,0.649,61.47
S. Mandanda,gk,32,0.000,0.400,5.094,0.601,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.719,0.000,0.000,0.000,0.264,61.94
Rolando,rb,31,0.194,0.538,0.935,0.510,0.129,0.375,0.226,0.333,0.452,0.032,0.000,0.000,0.516,0.355,0.000,0.069,0.617,61.08
W. Saïd,lw,29,0.448,0.636,0.172,0.400,0.552,0.472,0.345,0.467,1.552,0.310,0.034,0.138,1.517,1.379,0.069,0.008,0.561,70.28
V. Rosier,cb,36,1.139,0.770,0.833,0.460,0.278,0.533,0.417,0.457,0.417,0.000,0.083,0.167,0.667,0.222,0.028,0.018,0.613,67.90
B. Jeannot,lw,24,0.250,0.538,0.042,0.381,0.375,0.483,0.292,0.407,1.000,0.167,0.042,0.167,0.667,0.792,0.042,0.007,0.381,66.75
N. Sliti,ram,34,1.676,0.818,0.088,0.391,2.118,0.293,1.912,0.294,1.529,0.147,0.147,0.794,1.471,1.176,0.059,0.004,0.539,72.99
C. Yamberé,lb,32,0.406,0.636,0.625,0.425,0.156,0.400,0.594,0.333,0.281,0.094,0.000,0.000,0.656,0.219,0.000,0.039,0.662,62.68
C. Varrault,lb,11,0.182,0.455,0.455,0.520,0.000,0.400,0.455,0.400,0.182,0.091,0.000,0.000,0.182,0.273,0.000,0.051,0.456,63.14
C. N'Jie,rw,22,0.591,0.636,0.045,0.381,0.409,0.448,0.273,0.385,1.455,0.318,0.136,0.136,1.818,1.273,0.045,0.000,0.386,69.37
F. Sammaritano,cam,26,0.577,0.657,0.038,0.429,0.269,0.481,0.154,0.417,1.115,0.000,0.154,0.308,0.692,0.769,0.154,0.006,0.364,68.44
A. Zambo Anguissa,lcm,37,0.432,0.611,0.486,0.289,0.270,0.433,0.243,0.448,0.892,0.000,0.000,0.054,1.486,0.378,0.000,0.024,0.432,64.42
F. Balmont,lcm,21,0.190,0.458,0.238,0.400,0.286,0.423,0.524,0.452,0.238,0.048,0.143,0.048,0.571,0.238,0.048,0.013,0.096,65.23
G. Sertic,cdm,7,0.000,0.400,0.143,0.429,0.000,0.400,0.571,0.417,0.857,0.000,0.000,0.000,0.571,0.571,0.000,0.050,0.000,63.58
R. Cohade,lcm,38,0.816,0.745,0.500,0.410,1.053,0.400,1.000,0.293,1.026,0.026,0.079,0.342,2.368,0.553,0.053,0.025,0.711,68.13
M. Biševac,lb,10,0.300,0.478,1.200,0.438,0.000,0.400,0.300,0.435,0.500,0.000,0.000,0.100,0.400,0.500,0.000,0.055,0.373,63.43
G. Hein,ram,3,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.333,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.750,64.25
J. Ikoko,cb,28,1.107,0.706,0.821,0.395,0.714,0.325,0.571,0.306,0.357,0.000,0.071,0.286,0.393,0.321,0.036,0.020,0.726,64.21
B. Assou-Ekotto,rb,13,0.000,0.400,0.615,0.429,0.308,0.417,0.385,0.360,0.154,0.000,0.000,0.077,0.154,0.077,0.000,0.078,0.682,62.19
F. Diagne,cb,29,0.034,0.381,0.897,0.457,0.172,0.320,0.241,0.296,0.414,0.034,0.034,0.000,0.621,0.345,0.000,0.047,0.501,60.28
S. Falette,rb,28,0.179,0.520,1.143,0.442,0.107,0.348,0.964,0.340,0.536,0.036,0.000,0.036,0.393,0.357,0.000,0.047,0.581,61.97
G. Poblete,cm,25,0.400,0.600,0.080,0.364,0.400,0.300,0.240,0.385,0.120,0.000,0.000,0.040,0.840,0.080,0.000,0.018,0.456,61.52
Y. Jouffre,lam,4,0.000,0.400,0.250,0.381,0.750,0.435,1.000,0.417,0.250,0.000,0.000,1.000,0.750,0.250,0.250,0.037,0.307,65.90
Iván Balliu,lb,25,0.640,0.611,0.760,0.385,0.320,0.536,0.400,0.400,0.200,0.000,0.040,0.040,0.680,0.080,0.000,0.030,0.574,64.98
N. Roux,rw,35,0.514,0.684,0.086,0.435,0.629,0.476,0.286,0.400,2.229,0.429,0.029,0.200,1.371,1.857,0.114,0.006,0.678,72.36
L. Deaux,cm,26,0.385,0.567,0.500,0.455,0.769,0.450,0.731,0.308,0.462,0.077,0.038,0.231,0.846,0.462,0.154,0.019,0.612,66.45
J. Sorbon,rb,29,0.034,0.429,1.069,0.373,0.034,0.381,0.138,0.333,0.172,0.000,0.000,0.000,0.345,0.138,0.000,0.087,0.610,59.48
L. Phiri,cm,22,0.273,0.500,0.182,0.458,0.091,0.409,0.182,0.417,0.273,0.000,0.000,0.091,0.773,0.182,0.045,0.037,0.547,63.03
C. Kerbrat,lb,37,0.081,0.478,1.243,0.485,0.081,0.478,0.297,0.355,0.216,0.027,0.000,0.000,0.324,0.162,0.027,0.065,0.615,62.02
Pedro Rebocho,rb,21,0.476,0.533,0.857,0.553,0.667,0.382,0.524,0.323,0.143,0.000,0.095,0.429,0.571,0.048,0.000,0.027,0.581,64.49
R. Camara,cam,14,0.857,0.562,0.143,0.364,0.500,0.407,0.214,0.348,1.214,0.143,0.071,0.214,0.929,0.929,0.000,0.013,0.493,65.85
T. Didillon,gk,9,0.000,0.400,3.778,0.630,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,1.333,0.000,0.000,0.000,0.578,63.59
K. Johnsson,gk,38,0.000,0.400,5.500,0.638,0.000,0.400,0.053,0.364,0.000,0.000,0.000,0.000,0.211,0.000,0.000,0.000,0.438,61.41
Y. Salibur,lam,22,0.909,0.675,0.000,0.400,1.182,0.391,0.818,0.368,1.955,0.136,0.045,0.500,1.636,1.318,0.136,0.005,0.474,70.14
M. Coco,cam,29,0.724,0.683,0.034,0.381,0.862,0.444,0.517,0.400,0.828,0.069,0.034,0.172,1.276,0.621,0.069,0.008,0.405,67.37
J. Briand,rw,37,0.649,0.705,0.108,0.375,1.541,0.390,0.973,0.268,1.757,0.216,0.027,0.270,1.703,1.568,0.297,0.006,0.692,71.61
L. Blas,cam,31,0.645,0.700,0.258,0.321,0.871,0.362,0.581,0.342,1.226,0.097,0.065,0.065,0.968,0.903,0.065,0.016,0.491,66.20
I. Niane,rw,30,0.200,0.538,0.000,0.400,0.167,0.360,0.100,0.435,1.233,0.067,0.033,0.000,0.633,0.767,0.067,0.003,0.000,64.23
F. Mollet,cam,22,0.455,0.600,0.000,0.400,0.364,0.464,0.227,0.400,1.545,0.273,0.045,0.136,0.818,1.409,0.045,0.010,0.485,68.03
M. Diallo,cm,26,0.115,0.478,0.308,0.429,0.231,0.500,0.231,0.462,1.308,0.192,0.000,0.038,0.731,1.192,0.000,0.017,0.394,66.76
M. Thuram,rw,32,0.562,0.632,0.062,0.409,0.500,0.333,0.375,0.312,1.406,0.094,0.031,0.250,1.281,1.219,0.062,0.003,0.453,65.65
R. Falcao,st,30,0.300,0.586,0.033,0.381,0.667,0.325,0.633,0.282,2.167,0.533,0.100,0.133,1.533,1.867,0.000,0.000,0.657,69.38
D. Sidibé,lb,28,0.750,0.659,0.250,0.370,1.179,0.472,0.571,0.417,0.643,0.071,0.179,0.321,1.036,0.393,0.071,0.036,0.568,69.29
Jemerson,rb,33,0.000,0.400,1.182,0.407,0.091,0.348,0.212,0.333,0.424,0.061,0.000,0.030,0.394,0.394,0.000,0.061,0.623,60.29
