Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
A. Cresswell,rb,36,0.500,0.658,0.972,0.400,0.333,0.344,0.444,0.306,0.389,0.000,0.194,0.361,0.417,0.389,0.000,0.040,0.581,64.14
J. Lingard,cam,39,1.282,0.729,0.103,0.417,1.026,0.317,0.718,0.292,1.795,0.231,0.128,0.231,1.692,1.359,0.051,0.004,0.417,69.49
D. Alli,cam,45,0.956,0.698,0.200,0.310,2.422,0.372,1.911,0.349,1.867,0.222,0.222,0.422,1.711,1.311,0.178,0.007,0.658,76.66
J. Shelvey,cm,30,0.333,0.533,1.400,0.323,1.300,0.305,2.733,0.304,1.167,0.033,0.033,0.500,1.267,0.800,0.000,0.022,0.514,67.37
K. Walker-Peters,lb,3,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.000,0.667,0.000,1.000,0.000,0.000,0.031,0.244,65.61
D. Gayle,st,35,0.171,0.538,0.029,0.429,0.314,0.387,0.343,0.312,1.400,0.171,0.086,0.057,1.000,1.229,0.000,0.006,0.383,65.50
P. Dummett,rb,20,0.050,0.429,1.550,0.451,0.100,0.455,0.350,0.370,0.200,0.000,0.000,0.200,0.600,0.200,0.000,0.037,0.530,63.02
C. Clark,rb,22,0.091,0.455,1.136,0.400,0.136,0.391,0.364,0.357,0.545,0.091,0.045,0.091,0.455,0.545,0.000,0.027,0.624,63.36
F. Lejeune,cb,24,0.167,0.500,2.083,0.400,0.083,0.409,0.542,0.333,0.375,0.000,0.042,0.083,0.500,0.125,0.000,0.042,0.732,62.53
Ayoze Pérez,st,35,1.029,0.750,0.257,0.448,0.800,0.417,0.771,0.319,1.543,0.229,0.114,0.314,2.143,1.171,0.086,0.002,0.487,70.98
H. Lloris,gk,49,0.000,0.400,4.020,0.618,0.000,0.400,0.041,0.364,0.000,0.000,0.000,0.020,0.367,0.000,0.000,0.000,0.414,61.10
R. Elliot,gk,16,0.000,0.400,9.438,0.643,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.375,0.000,0.000,0.000,0.627,63.08
B. Davies,rb,33,0.697,0.698,0.667,0.381,0.455,0.400,0.394,0.303,0.455,0.061,0.152,0.303,0.364,0.242,0.000,0.027,0.592,65.05
M. Ritchie,lam,35,0.829,0.735,0.571,0.300,1.286,0.400,0.971,0.333,1.429,0.086,0.143,0.714,0.943,1.029,0.057,0.006,0.669,70.80
J. Vertonghen,rb,46,0.326,0.629,1.304,0.450,0.457,0.341,0.522,0.318,0.565,0.022,0.000,0.087,0.826,0.261,0.000,0.050,0.686,61.80
Javi Manquillo,cb,21,1.095,0.721,1.143,0.364,0.143,0.391,0.095,0.364,0.048,0.000,0.048,0.095,0.476,0.048,0.048,0.017,0.652,63.54
E. Dier,cm,44,0.159,0.556,0.591,0.478,0.545,0.386,1.205,0.315,0.955,0.000,0.045,0.205,0.591,0.500,0.023,0.032,0.587,64.59
H. Kane,st,47,0.532,0.644,0.021,0.381,1.255,0.392,1.362,0.369,3.894,0.638,0.043,0.298,1.894,3.170,0.043,0.000,0.588,77.59
C. Eriksen,cam,41,0.902,0.719,0.293,0.406,2.854,0.387,3.073,0.295,2.195,0.268,0.244,0.976,2.098,1.585,0.195,0.013,0.753,81.05
M. Dembélé,rcm,33,0.333,0.548,0.121,0.417,0.303,0.467,0.182,0.385,0.333,0.000,0.000,0.091,0.667,0.061,0.000,0.015,0.498,63.38
T. Alderweireld,lb,25,0.080,0.455,1.080,0.489,0.280,0.407,1.200,0.340,0.840,0.040,0.040,0.120,0.680,0.640,0.000,0.017,0.623,64.75
I. Hayden,lcm,26,0.192,0.520,0.269,0.370,0.154,0.375,0.115,0.391,0.538,0.038,0.000,0.115,0.192,0.423,0.038,0.020,0.420,62.59
M. Sissoko,lam,38,0.895,0.704,0.158,0.346,0.474,0.474,0.263,0.433,0.658,0.026,0.026,0.184,1.184,0.500,0.079,0.003,0.248,67.04
C. Atsu,ram,28,1.214,0.741,0.107,0.391,0.214,0.385,0.107,0.348,1.143,0.071,0.071,0.321,1.036,0.821,0.000,0.002,0.529,66.04
J. Lascelles,lb,33,0.091,0.478,1.121,0.474,0.121,0.375,0.152,0.360,0.364,0.091,0.000,0.091,0.485,0.333,0.000,0.037,0.674,62.01
C. Mbemba,rb,9,0.222,0.455,1.444,0.394,0.222,0.364,0.556,0.360,0.000,0.000,0.000,0.333,0.111,0.000,0.000,0.038,0.368,63.04
Son Heung-Min,rw,40,0.800,0.731,0.025,0.429,1.150,0.409,0.850,0.315,2.050,0.350,0.125,0.275,1.775,1.400,0.025,0.008,0.389,71.97
Mikel Merino,cm,24,0.542,0.636,0.292,0.481,0.833,0.400,1.000,0.273,0.625,0.042,0.000,0.208,0.667,0.458,0.000,0.034,0.410,64.18
V. Wanyama,cm,18,0.111,0.455,0.222,0.375,0.333,0.346,0.444,0.321,0.667,0.056,0.000,0.000,0.278,0.333,0.056,0.017,0.176,62.28
H. Winks,cm,16,0.562,0.586,0.312,0.360,0.438,0.370,0.688,0.323,0.188,0.000,0.000,0.062,0.875,0.000,0.062,0.022,0.326,63.06
W. Routledge,cam,14,0.214,0.478,0.000,0.400,0.500,0.333,0.357,0.320,0.357,0.000,0.000,0.357,0.429,0.286,0.071,0.000,0.091,63.16
L. Britton,cm,5,0.400,0.455,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.645,64.19
A. Mawson,rb,38,0.263,0.600,1.079,0.361,0.184,0.370,0.184,0.296,0.316,0.053,0.026,0.000,0.289,0.289,0.000,0.036,0.582,60.93
F. Fernández,cb,30,0.100,0.478,1.233,0.298,0.033,0.429,0.233,0.444,0.267,0.033,0.000,0.100,0.233,0.167,0.000,0.032,0.558,62.62
