Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
K. Adénon,cb,34,0.568,0.596,6.71,4.235,1.382,0.689,0.56,0.529,7.18,0.847,86.931
M. Bodmer,cb,13,0.375,0.522,1.31,0.154,0.769,0.000,0.31,0.368,1.31,0.471,68.982
P. Gouano,lb,32,0.618,0.642,6.00,2.781,0.906,0.636,0.62,0.600,6.66,0.773,86.983
O. El Hajjam,lb,26,0.481,0.439,8.62,2.692,1.423,0.477,2.23,0.493,7.31,0.636,89.867
T. Ndombèlé,cm,35,0.535,0.585,5.77,0.057,1.029,0.554,0.40,0.448,3.40,0.345,78.316
I. Cissokho,lb,19,0.474,0.517,7.32,3.474,0.842,0.446,0.95,0.576,6.16,0.583,83.506
T. Monconduit,cm,34,0.448,0.594,8.56,1.765,1.853,0.509,0.56,0.441,5.29,0.386,80.819
M. Verratti,lcm,22,0.486,0.452,7.18,0.364,1.500,0.617,2.91,0.456,3.05,0.500,88.003
A. Rabiot,rcm,33,0.531,0.685,5.94,0.364,1.152,0.526,0.30,0.400,3.00,0.419,77.990
Thiago Silva,cb,30,0.591,0.702,4.07,2.867,0.867,0.575,0.43,0.607,5.10,0.710,83.037
Á. di María,cam,33,0.391,0.316,2.18,0.152,0.273,0.063,0.24,0.391,1.36,0.269,66.980
L. Kurzawa,rb,20,0.509,0.622,7.60,1.050,1.650,0.557,0.35,0.455,4.35,0.586,79.360
A. Aréola,gk,34,0.412,0.600,0.06,0.206,0.000,0.000,0.00,0.400,1.24,0.400,65.560
J. Pastore,cam,25,0.462,0.379,3.56,0.360,0.560,0.378,0.04,0.438,1.68,0.429,71.628
G. Fofana,lcm,16,0.466,0.540,4.56,0.438,1.438,0.347,0.88,0.379,1.88,0.316,75.333
R. Gurtner,gk,37,0.421,0.697,0.11,0.405,0.054,0.000,0.03,0.375,2.08,0.400,66.292
H. Manzala,ram,37,0.489,0.458,3.19,0.243,0.459,0.395,0.00,0.400,1.89,0.250,71.199
P. Kimpembe,rb,29,0.596,0.628,4.34,1.448,1.172,0.612,0.38,0.615,4.41,0.615,81.141
C. Charrier,cam,3,0.368,0.400,1.33,0.000,0.333,0.000,1.33,0.316,0.67,0.400,73.769
E. Bourgaud,lcm,17,0.441,0.545,3.12,0.294,0.412,0.400,0.18,0.389,1.35,0.318,72.217
B. Labeau,st,2,0.333,0.375,1.50,0.000,1.500,0.000,0.00,0.400,0.00,0.400,72.759
Gonçalo Guedes,rw,38,0.417,0.414,4.21,0.289,0.974,0.246,0.34,0.393,1.63,0.220,70.596
A. Pléa,rw,35,0.369,0.394,3.06,0.343,1.200,0.160,0.03,0.438,1.31,0.190,66.338
R. Walter,cm,20,0.449,0.494,6.05,0.700,1.050,0.391,0.15,0.444,3.05,0.429,74.829
Dante,cb,33,0.595,0.631,4.33,1.939,0.879,0.524,0.36,0.444,5.27,0.714,80.718
Y. Cardinale,gk,11,0.400,0.500,0.00,0.000,0.182,1.000,0.00,0.400,0.55,0.400,71.218
M. Le Marchand,rb,29,0.570,0.635,6.62,1.828,0.828,0.598,0.55,0.581,6.21,0.639,84.517
O. Tannane,lw,16,0.537,0.231,5.00,0.062,1.312,0.439,0.25,0.421,1.00,0.250,73.840
M. Sarr,rb,21,0.500,0.571,3.95,0.667,0.619,0.345,0.38,0.522,3.38,0.640,76.174
S. Janko,lb,21,0.588,0.491,6.57,1.571,1.048,0.487,0.33,0.455,3.24,0.417,79.869
O. Selnæs,cdm,26,0.467,0.600,8.08,1.462,1.462,0.610,0.85,0.324,5.42,0.593,81.564
V. Eysseric,cam,22,0.438,0.463,2.95,0.136,0.727,0.034,0.32,0.455,1.23,0.435,70.547
A. Dioussé,rcm,25,0.442,0.457,4.20,0.440,1.120,0.373,0.08,0.353,2.60,0.385,71.292
S. Ruffier,gk,34,0.400,0.476,0.00,0.324,0.059,1.000,0.00,0.400,0.88,0.400,69.231
L. Perrin,cb,28,0.605,0.678,5.07,2.571,0.571,0.630,0.43,0.407,6.00,0.722,83.114
K. Théophile Catherine,cb,25,0.581,0.588,7.04,2.560,1.040,0.628,0.16,0.368,4.92,0.647,81.575
J. Bamba,lw,34,0.369,0.408,4.82,0.382,0.794,0.227,0.12,0.368,2.44,0.273,69.453
R. Hamouma,lw,29,0.471,0.423,3.07,0.345,0.586,0.255,0.31,0.417,1.21,0.273,71.560
A. Souquet,lb,29,0.579,0.569,8.66,1.690,0.862,0.617,0.90,0.634,5.03,0.613,88.113
B. Srarfi,lam,26,0.463,0.500,2.50,0.231,0.538,0.311,0.12,0.500,1.27,0.273,71.215
V. Koziello,cm,27,0.471,0.409,5.81,0.259,0.889,0.380,0.41,0.385,2.44,0.444,75.066
R. Pierre-Gabriel,cb,16,0.540,0.486,6.94,1.438,0.875,0.635,0.75,0.519,2.19,0.444,81.023
B. Dabo,cm,26,0.395,0.578,6.04,1.038,1.808,0.436,0.69,0.364,4.00,0.500,75.715
P. Lees Melou,cm,34,0.496,0.394,7.32,0.529,1.559,0.498,0.21,0.455,3.88,0.342,76.934
V. Marcel,ram,2,0.444,0.471,1.50,0.000,0.000,1.000,0.00,0.400,1.00,0.400,74.400
L. Diony,st,16,0.410,0.379,1.50,0.312,0.688,0.000,0.25,0.368,1.00,0.182,68.248
J. Makengo,ram,5,0.417,0.480,4.20,0.200,1.000,0.037,0.00,0.400,0.80,0.375,72.592
R. Souici,lb,1,0.400,0.375,0.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.367
A. Tameze,cm,26,0.542,0.616,6.31,0.731,0.962,0.553,0.50,0.393,3.31,0.486,79.638
A. Niane,st,33,0.432,0.337,3.33,0.303,1.121,0.248,0.06,0.353,1.03,0.197,67.886
B. Nivet,cam,26,0.478,0.388,4.58,0.654,0.846,0.428,0.42,0.423,2.19,0.367,74.686
B. Bourigeaud,lam,37,0.384,0.370,6.70,0.703,0.919,0.385,0.14,0.450,4.11,0.464,73.788
B. André,cm,34,0.466,0.600,8.71,1.088,2.147,0.577,1.74,0.405,6.79,0.429,86.463
R. Bensebaini,rb,29,0.495,0.650,6.72,3.552,1.379,0.612,1.00,0.523,7.41,0.562,85.728
M. Samassa,gk,21,0.368,0.565,0.19,0.333,0.048,0.000,0.14,0.389,2.14,0.400,66.912
T. Dingomé,rcm,14,0.506,0.395,5.29,0.643,1.000,0.536,0.36,0.400,4.07,0.429,75.947
F. Maouassa,ram,19,0.392,0.425,1.89,0.211,0.632,0.000,0.00,0.400,1.47,0.348,67.331
K. Azamoum,lcm,30,0.492,0.588,7.97,1.233,1.933,0.622,1.33,0.473,3.87,0.486,84.479
F. Mubele,lw,30,0.500,0.351,2.37,0.067,0.667,0.241,0.07,0.412,1.53,0.143,69.473
A. Hunou,cam,23,0.496,0.286,4.52,0.130,0.870,0.337,0.17,0.421,2.04,0.296,72.638
I. Sarr,cam,27,0.528,0.435,4.07,0.111,0.852,0.492,0.11,0.389,1.19,0.243,73.303
J. Gnagnon,cb,36,0.531,0.695,3.61,2.611,0.750,0.448,0.14,0.500,3.36,0.697,78.228
J. Obiang,rb,8,0.446,0.448,6.25,1.125,0.875,0.476,0.38,0.333,3.50,0.389,75.488
L. Baal,rb,17,0.577,0.613,7.18,0.882,0.765,0.646,0.06,0.438,4.06,0.538,79.642
A. Diallo,gk,3,0.400,0.412,0.00,0.000,0.000,1.000,0.00,0.400,1.00,0.400,73.466
S. Grandsir,lw,36,0.477,0.318,6.22,0.417,1.472,0.512,0.14,0.450,2.22,0.279,74.227
H. Traoré,lb,30,0.559,0.591,7.43,2.100,1.433,0.618,0.67,0.514,6.40,0.683,84.759
M. Deplagne,lb,28,0.528,0.638,7.11,1.500,0.786,0.571,1.18,0.521,6.39,0.618,86.030
O. Vizcarrondo,cb,20,0.521,0.705,5.10,3.450,1.200,0.485,0.65,0.393,5.20,0.640,80.684
C. Hérelle,rb,34,0.536,0.682,4.06,4.647,0.941,0.467,0.59,0.514,6.82,0.667,83.372
S. Darbion,ram,23,0.345,0.357,4.39,0.522,0.652,0.243,0.09,0.412,2.26,0.333,69.587
J. Lea Siliki,cam,31,0.445,0.500,3.65,0.161,1.194,0.458,0.23,0.318,1.71,0.407,71.004
J. Tell,lw,6,0.500,0.381,1.50,0.000,0.333,0.000,0.00,0.400,0.17,0.333,71.778
S. Khaoui,cam,33,0.406,0.407,5.52,0.121,1.303,0.393,0.06,0.471,1.58,0.433,71.513
B. Pelé,cam,31,0.463,0.284,3.00,0.387,0.645,0.279,0.13,0.316,1.55,0.296,69.179
J. Tinhan,lw,5,0.421,0.280,0.80,0.200,0.600,0.000,0.00,0.400,0.60,0.400,71.091
E. Crivelli,st,26,0.390,0.496,2.38,0.192,1.654,0.081,0.15,0.421,0.85,0.163,66.695
Y. Andreu,rb,23,0.568,0.614,7.00,1.391,0.826,0.665,0.57,0.464,4.48,0.629,82.842
G. Kakuta,cam,36,0.544,0.335,4.64,0.333,0.500,0.546,0.03,0.438,2.47,0.218,74.792
B. Dibassy,rb,32,0.592,0.519,8.50,3.094,1.000,0.743,0.31,0.520,6.09,0.706,86.869
J. Dompé,lam,1,0.438,0.400,1.00,0.000,0.000,1.000,0.00,0.400,0.00,0.400,74.552
G. N'Gosso,cm,12,0.413,0.575,4.00,1.000,1.000,0.100,0.83,0.360,2.00,0.375,73.998
O. Nguette,rw,17,0.510,0.483,5.24,0.059,1.118,0.627,0.29,0.450,2.41,0.273,75.838
C. Philipps,cdm,11,0.464,0.562,7.45,0.545,1.364,0.344,0.45,0.350,4.45,0.583,76.480
