Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
A. Lacazette,st,32,0.480,0.339,3.50,0.125,0.906,0.460,0.06,0.412,1.09,0.234,70.808
R. Holding,cb,12,0.554,0.567,5.67,2.083,0.917,0.485,0.42,0.450,5.50,0.545,78.834
M. Özil,cam,34,0.441,0.176,3.56,0.147,0.735,0.364,0.09,0.389,1.65,0.250,69.004
Mohamed Elneny,cm,16,0.500,0.514,3.44,0.688,0.500,0.430,0.44,0.409,3.88,0.400,75.256
Bellerín,lb,35,0.437,0.484,6.83,1.257,1.057,0.437,0.97,0.469,4.40,0.500,80.570
H. Maguire,rb,45,0.648,0.701,4.91,2.444,1.000,0.669,0.38,0.594,6.16,0.750,86.219
M. Albrighton,cm,34,0.465,0.439,5.82,0.559,0.618,0.487,0.62,0.306,2.76,0.500,76.713
G. Xhaka,cm,46,0.450,0.538,6.83,1.283,1.500,0.476,0.91,0.526,4.35,0.526,81.418
S. Kolašinac,rb,27,0.523,0.586,6.81,1.185,1.111,0.589,0.33,0.542,2.85,0.538,80.333
Nacho Monreal,rb,28,0.544,0.580,7.54,1.536,0.750,0.573,0.50,0.552,4.32,0.761,83.589
W. Ndidi,lcm,36,0.522,0.681,12.03,1.778,1.778,0.720,0.50,0.545,7.61,0.603,89.271
C. Fuchs,rb,28,0.551,0.664,7.57,2.000,0.571,0.558,0.68,0.471,5.57,0.739,85.104
S. Okazaki,st,30,0.423,0.400,2.73,0.133,0.700,0.141,0.40,0.481,1.27,0.310,70.114
J. Vardy,st,44,0.509,0.418,2.20,0.250,0.818,0.281,0.32,0.517,0.95,0.265,71.553
P. Čech,gk,37,0.400,0.744,0.00,0.514,0.000,1.000,0.00,0.400,1.78,0.400,70.799
M. James,cm,13,0.368,0.569,5.54,1.385,1.615,0.357,0.46,0.429,4.54,0.417,74.432
D. Welbeck,rw,29,0.545,0.430,2.14,0.310,0.448,0.377,0.10,0.389,1.62,0.321,71.934
D. Simpson,lb,28,0.471,0.522,7.43,2.393,0.750,0.596,0.46,0.429,7.00,0.769,81.968
W. Morgan,cb,32,0.609,0.654,4.97,2.656,0.906,0.525,0.31,0.360,5.69,0.775,81.658
A. Oxlade-Chamberlain,lam,35,0.538,0.397,3.29,0.343,0.514,0.498,0.49,0.438,2.49,0.323,75.584
K. Schmeichel,gk,37,0.350,0.688,0.14,0.324,0.081,0.000,0.00,0.400,1.62,0.400,64.450
R. Mahrez,lam,36,0.451,0.412,4.69,0.167,0.611,0.458,0.06,0.353,2.42,0.297,71.883
O. Giroud,st,42,0.500,0.635,1.88,0.310,0.810,0.197,0.14,0.333,0.93,0.161,69.199
A. Ramsey,cam,29,0.427,0.466,6.10,0.310,1.276,0.363,0.93,0.405,2.38,0.293,76.495
D. Amartey,lcm,8,0.474,0.590,5.25,1.375,0.625,0.737,0.38,0.444,4.88,0.455,77.084
T. Walcott,lw,20,0.598,0.333,4.10,0.500,0.300,0.416,0.00,0.400,1.40,0.393,74.843
K. Iheanacho,lw,24,0.318,0.310,2.12,0.042,0.708,0.000,0.12,0.389,0.67,0.233,64.750
D. Gray,ram,35,0.449,0.260,2.37,0.286,0.257,0.000,0.20,0.545,1.54,0.242,68.984
S. Agüero,st,29,0.431,0.491,1.72,0.138,0.414,0.004,0.10,0.444,0.93,0.162,67.598
Fernandinho,cm,39,0.516,0.619,6.13,0.692,1.179,0.567,0.31,0.296,4.41,0.588,77.870
N. Otamendi,cb,38,0.613,0.717,5.53,2.000,0.895,0.578,0.79,0.578,4.11,0.769,86.403
V. Kompany,cb,22,0.549,0.727,3.95,2.318,1.136,0.489,0.55,0.481,4.91,0.450,79.593
J. Stones,cb,24,0.552,0.753,3.75,1.750,0.375,0.502,0.38,0.542,4.12,0.455,79.701
L. Dunk,rb,38,0.568,0.649,5.76,3.789,1.000,0.552,1.29,0.547,6.79,0.789,89.537
K. Walker,lb,40,0.598,0.669,4.47,1.575,0.625,0.520,0.23,0.417,4.22,0.516,80.014
I. Brown,rw,13,0.444,0.439,1.62,0.231,0.231,0.226,0.08,0.438,0.62,0.333,70.618
T. Hemed,rw,16,0.475,0.500,1.56,0.438,0.688,0.056,0.31,0.450,1.31,0.300,70.948
D. Pröpper,rcm,35,0.428,0.569,7.91,1.400,1.200,0.536,0.51,0.485,6.26,0.595,80.788
P. Groß,cam,38,0.458,0.264,5.18,0.342,0.895,0.423,0.26,0.480,1.55,0.205,73.193
D. Stephens,lcm,36,0.449,0.533,8.36,1.111,1.333,0.536,0.69,0.425,6.25,0.517,81.524
Ederson,gk,37,0.438,0.714,0.03,0.486,0.027,1.000,0.03,0.438,1.81,0.438,71.999
S. March,rcm,36,0.462,0.366,5.47,0.694,0.833,0.404,0.39,0.345,2.31,0.379,74.374
Bruno Saltor,lb,25,0.487,0.600,4.16,1.280,0.760,0.368,0.56,0.448,4.76,0.560,77.198
Gabriel Jesus,st,34,0.477,0.413,3.38,0.235,1.059,0.244,0.06,0.412,1.47,0.265,69.879
David Silva,cam,37,0.402,0.516,4.16,0.243,0.865,0.316,0.27,0.280,2.08,0.209,69.979
Danilo,cb,23,0.578,0.619,4.39,0.826,0.522,0.579,0.65,0.567,2.61,0.621,80.828
K. De Bruyne,cam,48,0.500,0.400,4.48,0.333,0.854,0.420,0.23,0.462,2.77,0.327,74.156
S. Duffy,cb,39,0.529,0.749,4.03,4.487,1.000,0.401,0.64,0.500,7.46,0.778,83.720
M. Ryan,gk,41,0.381,0.735,0.15,0.268,0.000,0.000,0.00,0.400,0.93,0.400,65.042
M. Suttner,rb,14,0.508,0.488,8.07,2.000,0.357,0.491,1.07,0.500,4.64,0.640,82.809
J. Murphy,ram,4,0.435,0.353,2.00,0.250,0.250,0.123,0.00,0.400,1.25,0.400,72.651
G. Murray,st,35,0.515,0.463,2.46,0.429,1.743,0.375,0.43,0.400,1.34,0.200,71.462
L. Sané,ram,33,0.451,0.511,3.85,0.212,0.818,0.300,0.21,0.455,1.30,0.324,71.884
A. Knockaert,lam,33,0.470,0.500,4.12,0.424,0.636,0.443,0.30,0.400,2.91,0.350,74.021
R. Sterling,st,42,0.418,0.356,3.40,0.143,1.310,0.283,0.10,0.421,1.62,0.203,67.843
Bernardo Silva,lam,39,0.517,0.432,3.28,0.282,0.282,0.386,0.38,0.500,1.26,0.286,74.649
J. Hendrick,cam,38,0.465,0.333,3.00,0.500,0.737,0.309,0.18,0.409,1.58,0.314,70.274
J. Tarkowski,cb,31,0.613,0.708,5.77,3.452,0.806,0.610,0.77,0.538,7.71,0.725,87.800
A. Rüdiger,rb,28,0.554,0.639,6.75,2.321,1.000,0.602,0.21,0.571,4.21,0.667,82.508
S. Vokes,st,34,0.375,0.609,0.50,0.294,0.618,0.000,0.03,0.375,0.74,0.231,64.183
Fàbregas,cam,36,0.475,0.365,5.78,0.556,0.833,0.406,0.83,0.467,2.75,0.389,78.106
J. Cork,cm,38,0.456,0.525,6.24,1.316,0.632,0.501,0.24,0.458,4.89,0.422,77.915
S. Ward,rb,31,0.482,0.688,6.61,1.935,0.419,0.356,0.42,0.429,5.97,0.629,80.673
T. Heaton,gk,4,0.400,0.471,0.00,0.000,0.000,1.000,0.00,0.400,0.50,0.400,73.123
Azpilicueta,lb,38,0.584,0.667,7.95,1.895,0.605,0.594,0.08,0.500,6.11,0.745,84.775
T. Courtois,gk,47,0.368,0.613,0.09,0.255,0.085,0.000,0.02,0.375,1.57,0.438,63.658
M. Lowton,lb,26,0.450,0.625,7.19,2.846,0.731,0.515,0.62,0.516,7.54,0.500,82.691
Marcos Alonso,rb,33,0.541,0.601,5.76,1.455,0.848,0.557,0.36,0.481,4.82,0.605,80.675
Willian,lam,41,0.517,0.412,2.56,0.171,0.341,0.335,0.00,0.400,1.24,0.235,70.459
David Luiz,cb,10,0.493,0.582,6.00,2.300,1.200,0.655,0.40,0.474,5.30,0.640,78.352
G. Cahill,cb,32,0.587,0.738,4.75,2.375,0.625,0.492,0.66,0.500,4.41,0.697,83.541
N. Kanté,cm,45,0.529,0.435,8.91,0.556,1.422,0.722,0.56,0.550,5.33,0.600,84.554
J. Guðmunds­son,lam,42,0.433,0.527,4.81,0.786,0.548,0.278,0.19,0.478,2.98,0.343,73.697
R. Brady,ram,19,0.463,0.500,7.74,0.842,1.211,0.609,0.42,0.435,3.32,0.318,78.258
B. Mee,rb,29,0.500,0.686,4.52,3.448,0.517,0.392,0.41,0.481,7.76,0.697,80.961
M. Batshuayi,st,26,0.304,0.381,1.58,0.269,0.846,0.000,0.15,0.368,0.77,0.174,63.860
S. Defour,cm,24,0.424,0.389,6.54,0.750,0.750,0.412,0.08,0.412,5.54,0.500,74.860
J. Boga,lw,1,0.400,0.375,0.00,0.000,1.000,1.000,0.00,0.400,0.00,0.400,74.256
A. Christensen,cb,31,0.601,0.717,4.13,2.032,0.323,0.546,0.16,0.500,4.84,0.640,81.065
Álvaro Morata,st,35,0.394,0.488,2.40,0.514,1.571,0.103,0.29,0.400,1.09,0.130,66.901
S. Arfield,ram,18,0.439,0.295,6.50,0.889,1.222,0.514,0.50,0.417,3.22,0.333,75.823
J. Walters,st,5,0.526,0.480,0.80,0.200,0.200,1.000,0.00,0.400,0.20,0.375,74.098
J. Riedewald,rb,12,0.463,0.500,2.17,0.417,0.250,0.000,0.33,0.474,1.83,0.375,72.228
L. Milivojević,cm,38,0.468,0.578,8.37,1.684,1.921,0.581,0.71,0.405,6.42,0.605,82.384
P. van Aanholt,rb,28,0.550,0.500,5.50,1.429,0.750,0.452,0.11,0.444,4.00,0.517,77.824
C. Benteke,st,33,0.400,0.631,1.97,0.758,1.515,0.000,0.21,0.318,1.64,0.163,66.382
M. Jørgensen,lb,41,0.608,0.620,7.90,3.000,1.195,0.715,0.34,0.379,7.05,0.845,86.868
C. Schindler,cb,37,0.583,0.692,7.24,3.838,0.784,0.526,0.97,0.451,6.35,0.828,89.453
J. Puncheon,ram,10,0.367,0.419,3.40,0.200,1.600,0.418,0.50,0.450,1.90,0.375,72.174
T. Ince,cam,33,0.517,0.388,4.12,0.394,0.606,0.478,0.67,0.568,1.64,0.500,77.648
J. Ward,lb,19,0.553,0.562,7.68,2.158,1.368,0.632,0.42,0.478,5.84,0.583,81.978
C. Löwe,rb,23,0.439,0.587,5.78,2.043,0.565,0.303,0.91,0.444,4.04,0.679,79.621
R. Loftus-Cheek,cam,28,0.466,0.521,4.68,0.714,0.750,0.479,0.11,0.444,2.89,0.375,74.376
A. Mooy,cm,39,0.523,0.561,6.28,1.538,0.821,0.537,1.56,0.408,4.26,0.410,85.929
T. Smith,lb,24,0.536,0.500,6.83,2.208,0.875,0.563,0.67,0.484,4.83,0.588,82.472
W. Hennessey,gk,32,0.389,0.719,0.09,0.219,0.031,0.000,0.03,0.375,1.50,0.400,65.780
P. Billing,rcm,16,0.433,0.589,5.12,0.688,0.938,0.331,1.06,0.438,4.50,0.476,77.517
W. Zaha,ram,29,0.430,0.300,4.62,0.103,1.621,0.393,0.00,0.400,1.62,0.108,69.240
K. Palmer,cam,4,0.371,0.391,5.00,0.000,1.000,0.677,1.25,0.400,1.50,0.444,75.505
J. Lössl,gk,38,0.417,0.721,0.24,0.421,0.026,0.000,0.03,0.438,2.05,0.400,66.915
S. Dann,cb,17,0.477,0.655,4.29,2.765,0.765,0.314,0.29,0.500,5.94,0.615,77.415
T. Fosu-Mensah,lb,21,0.510,0.524,6.38,1.857,0.857,0.456,1.05,0.459,4.57,0.571,81.894
S. Mounié,st,28,0.446,0.562,3.07,0.893,0.964,0.126,0.04,0.375,1.93,0.179,69.630
E. Kachunga,lw,19,0.485,0.400,4.32,0.474,1.053,0.464,0.21,0.368,1.79,0.318,73.191
A. Townsend,lam,36,0.511,0.386,4.81,0.472,0.333,0.457,0.08,0.389,3.28,0.217,74.412
D. Williams,cm,19,0.454,0.373,4.89,1.421,0.947,0.500,0.42,0.435,3.53,0.462,75.612
C. Quaner,lw,26,0.419,0.475,2.73,0.577,0.615,0.130,0.12,0.389,2.42,0.364,69.392
J. Tomkins,cb,28,0.599,0.668,5.96,4.464,0.786,0.589,0.68,0.588,7.29,0.771,87.777
R. van La Parra,ram,33,0.485,0.423,4.55,0.182,0.939,0.413,0.48,0.484,2.30,0.281,75.015
J. Pickford,gk,45,0.400,0.783,0.11,0.400,0.022,0.134,0.02,0.375,1.73,0.400,66.330
E. Pieters,rb,31,0.498,0.625,9.68,2.355,1.935,0.567,0.19,0.476,6.87,0.721,83.075
D. Calvert-Lewin,st,32,0.466,0.512,2.75,0.344,1.312,0.131,0.47,0.533,1.44,0.206,71.546
G. Cameron,cb,20,0.563,0.592,6.80,2.400,0.850,0.638,0.40,0.391,5.15,0.618,81.668
M. Keane,cb,30,0.544,0.675,6.30,3.600,0.633,0.551,0.37,0.423,7.30,0.737,83.807
D. Fletcher,cm,27,0.416,0.545,6.74,0.815,0.556,0.446,0.11,0.333,3.41,0.474,75.085
I. Gueye,cm,36,0.542,0.553,10.25,0.639,1.528,0.716,1.11,0.418,5.64,0.627,87.987
W. Rooney,rw,35,0.362,0.454,4.54,0.657,1.114,0.294,1.00,0.360,2.63,0.323,73.601
J. Butland,gk,35,0.444,0.667,0.09,0.657,0.000,0.134,0.06,0.471,1.74,0.438,68.597
S. Berahino,st,15,0.464,0.311,0.87,0.200,0.400,0.268,0.00,0.400,0.40,0.240,68.988
A. Williams,cb,30,0.627,0.627,6.20,4.233,0.967,0.671,0.67,0.543,6.77,0.845,88.302
D. Klaassen,cm,7,0.424,0.391,2.57,0.143,0.714,0.000,0.43,0.333,0.86,0.438,71.836
M. Schneiderlin,cm,30,0.504,0.559,7.30,1.000,1.300,0.529,1.23,0.365,5.07,0.690,83.300
Bojan,rw,14,0.483,0.346,1.00,0.071,0.071,0.376,0.14,0.412,0.93,0.318,70.933
K. Zouma,cb,34,0.623,0.762,6.03,4.353,0.559,0.603,0.29,0.640,7.18,0.705,88.375
X. Shaqiri,lam,44,0.423,0.288,3.80,0.136,1.023,0.337,0.16,0.364,1.55,0.342,68.669
M. Diouf,lw,37,0.578,0.541,4.08,1.027,1.135,0.437,0.62,0.526,2.59,0.250,78.963
J. Allen,cm,42,0.465,0.378,9.17,0.952,1.476,0.677,0.76,0.511,5.19,0.491,83.471
P. Jagielka,cb,25,0.563,0.694,5.72,4.080,0.320,0.586,0.56,0.483,7.12,0.676,85.205
L. Baines,rb,22,0.455,0.404,4.82,1.591,0.364,0.390,0.45,0.440,3.73,0.567,76.355
Sandro,rw,21,0.295,0.333,2.19,0.143,0.857,0.000,0.05,0.375,0.67,0.316,64.592
R. Shawcross,cb,27,0.575,0.717,6.59,4.667,1.000,0.605,0.48,0.393,7.48,0.697,85.631
Cuco Martina,cb,21,0.502,0.472,9.62,3.429,1.333,0.615,0.52,0.538,7.57,0.632,84.812
T. Davies,cam,33,0.367,0.359,4.58,0.364,1.242,0.243,0.55,0.455,2.03,0.400,71.238
P. Crouch,st,31,0.294,0.676,1.16,0.677,1.290,0.000,0.16,0.400,1.39,0.231,64.138
E. Choupo-Moting,rw,30,0.507,0.472,4.23,0.700,0.700,0.512,0.43,0.429,2.70,0.270,76.007
K. Mirallas,cam,5,0.350,0.400,1.00,0.000,0.200,0.000,0.00,0.400,0.20,0.375,70.847
Juan Mata,lam,28,0.389,0.385,2.68,0.214,0.393,0.108,0.21,0.381,1.71,0.344,68.228
H. Mkhitaryan,cam,26,0.422,0.397,5.08,0.077,0.923,0.199,0.19,0.400,2.46,0.188,71.180
N. Matić,rcm,39,0.477,0.671,7.41,0.974,1.077,0.504,0.18,0.318,6.10,0.612,78.663
P. Pogba,cam,40,0.425,0.640,5.62,0.625,1.775,0.461,0.55,0.378,3.08,0.333,75.128
P. Jones,cb,25,0.574,0.681,6.44,3.280,0.480,0.587,0.28,0.409,5.80,0.593,83.173
D. Blind,rb,6,0.479,0.529,5.50,0.667,0.833,0.714,0.17,0.375,3.50,0.500,75.611
E. Bailly,lb,11,0.562,0.750,5.91,2.636,1.000,0.667,0.73,0.391,5.55,0.667,80.922
W. Reid,cb,17,0.576,0.633,4.94,2.176,0.882,0.626,0.53,0.333,7.18,0.591,80.241
R. Lukaku,st,45,0.407,0.586,1.69,0.311,1.044,0.096,0.16,0.455,0.87,0.143,66.513
Pedro Obiang,cm,21,0.411,0.494,8.33,0.476,1.190,0.503,0.86,0.424,5.10,0.542,79.452
A. Ogbonna,cb,33,0.562,0.599,5.36,2.909,0.636,0.582,0.12,0.368,5.70,0.692,80.708
M. Noble,cm,29,0.403,0.477,7.86,0.552,1.000,0.525,1.62,0.500,4.45,0.517,83.560
E. Fernandes,lcm,14,0.450,0.410,4.64,0.286,0.357,0.237,0.57,0.478,2.57,0.320,74.803
A. Ayew,lw,30,0.482,0.387,3.23,0.300,0.867,0.316,0.77,0.368,1.67,0.250,73.471
P. Zabaleta,lb,37,0.510,0.573,9.41,1.541,0.892,0.657,0.81,0.578,5.62,0.755,87.816
A. Masuaku,rb,27,0.470,0.516,6.78,0.704,1.185,0.427,0.07,0.471,2.74,0.344,75.783
J. Hart,gk,23,0.368,0.625,0.17,0.174,0.043,0.000,0.00,0.400,1.26,0.438,66.070
M. Arnautović,st,34,0.536,0.340,3.24,0.794,1.147,0.413,0.29,0.520,2.53,0.167,73.989
A. Valencia,lb,31,0.583,0.486,6.94,1.290,1.129,0.608,0.68,0.389,5.10,0.667,82.836
J. Hernández,lw,31,0.471,0.434,1.71,0.097,0.581,0.230,0.03,0.375,0.65,0.216,67.990
David de Gea,gk,45,0.412,0.500,0.04,0.111,0.000,0.000,0.00,0.400,1.07,0.400,64.152
M. Rashford,rw,43,0.392,0.412,2.02,0.279,0.628,0.160,0.12,0.400,1.19,0.213,66.130
D. Sakho,st,28,0.477,0.329,1.04,0.250,0.750,0.108,0.11,0.333,0.57,0.200,66.644
D. Rice,cb,26,0.591,0.578,3.85,1.654,0.192,0.340,0.46,0.556,3.50,0.560,79.941
M. Fellaini,lcm,24,0.437,0.599,4.33,0.750,1.458,0.347,0.12,0.444,2.29,0.500,72.619
A. Martial,rw,33,0.379,0.443,1.55,0.121,0.606,0.058,0.06,0.412,0.82,0.182,65.227
A. Cresswell,rb,36,0.556,0.583,5.08,1.583,0.583,0.588,0.19,0.500,4.39,0.667,80.242
J. Lingard,cam,39,0.430,0.276,3.49,0.231,1.128,0.388,0.18,0.455,1.46,0.229,69.506
D. Alli,cam,45,0.453,0.452,4.42,0.378,1.089,0.312,0.13,0.381,2.93,0.228,71.132
J. Shelvey,cm,30,0.493,0.551,4.17,1.000,0.800,0.318,0.80,0.462,3.87,0.520,77.709
K. Walker-Peters,lb,3,0.459,0.429,7.33,1.667,0.333,0.708,0.00,0.400,3.00,0.444,75.769
D. Gayle,st,35,0.414,0.468,1.57,0.286,0.600,0.067,0.23,0.522,1.09,0.250,68.028
P. Dummett,rb,20,0.538,0.619,5.75,3.200,0.400,0.388,0.95,0.618,6.45,0.615,84.306
C. Clark,rb,22,0.531,0.548,6.00,4.545,0.864,0.561,0.55,0.444,5.95,0.625,82.858
F. Lejeune,cb,24,0.613,0.638,7.33,3.542,0.792,0.722,0.42,0.440,6.54,0.632,85.912
Ayoze Pérez,st,35,0.419,0.392,4.69,0.600,1.086,0.352,0.40,0.310,2.77,0.154,71.599
H. Lloris,gk,49,0.368,0.645,0.08,0.714,0.020,0.000,0.08,0.474,1.90,0.400,65.438
R. Elliot,gk,16,0.375,0.643,0.06,0.125,0.000,1.000,0.00,0.400,1.81,0.400,70.957
B. Davies,rb,33,0.549,0.563,6.67,1.879,0.818,0.605,0.73,0.615,4.64,0.583,84.952
M. Ritchie,lam,35,0.424,0.390,6.86,1.114,1.143,0.411,0.57,0.457,3.66,0.333,77.106
J. Vertonghen,rb,46,0.656,0.701,5.80,2.413,0.587,0.643,1.07,0.656,5.78,0.782,91.944
Javi Manquillo,cb,21,0.554,0.565,8.14,2.095,1.143,0.680,0.38,0.348,4.00,0.480,81.662
E. Dier,cm,44,0.476,0.626,4.95,1.250,0.682,0.456,0.66,0.545,4.36,0.694,80.313
H. Kane,st,47,0.500,0.543,1.64,0.447,0.915,0.250,0.26,0.444,1.13,0.073,69.997
C. Eriksen,cam,41,0.445,0.458,4.73,0.439,0.366,0.350,0.02,0.375,2.90,0.319,72.104
M. Dembélé,rcm,33,0.459,0.492,6.48,0.394,1.758,0.477,0.42,0.414,2.82,0.455,75.779
T. Alderweireld,lb,25,0.504,0.471,4.88,2.360,0.560,0.480,0.20,0.450,4.28,0.550,77.642
I. Hayden,lcm,26,0.429,0.556,4.81,1.423,1.077,0.321,1.23,0.362,3.92,0.464,78.050
M. Sissoko,lam,38,0.500,0.500,2.45,0.421,0.737,0.331,0.18,0.455,1.58,0.250,71.598
C. Atsu,ram,28,0.495,0.272,2.93,0.500,0.357,0.311,0.04,0.438,2.61,0.226,71.100
J. Lascelles,lb,33,0.585,0.706,4.52,3.636,0.545,0.472,0.39,0.500,6.52,0.676,83.524
C. Mbemba,rb,9,0.553,0.527,6.78,3.000,0.556,0.660,0.56,0.450,4.78,0.571,80.182
Son Heung-Min,rw,40,0.551,0.314,2.58,0.200,0.450,0.302,0.10,0.526,1.48,0.169,72.073
Mikel Merino,cm,24,0.489,0.520,6.96,0.583,1.250,0.551,1.38,0.479,4.38,0.561,82.769
V. Wanyama,cm,18,0.592,0.481,4.89,0.722,0.778,0.561,0.33,0.333,2.50,0.526,77.328
H. Winks,cm,16,0.486,0.417,3.56,0.375,0.500,0.204,0.31,0.500,1.88,0.474,73.623
W. Routledge,cam,14,0.413,0.419,2.21,0.286,0.714,0.046,0.07,0.438,1.36,0.273,69.407
L. Britton,cm,5,0.455,0.316,5.80,0.200,1.400,0.696,0.80,0.368,2.00,0.375,75.550
A. Mawson,rb,38,0.576,0.672,3.76,3.395,0.553,0.448,0.18,0.545,6.39,0.714,81.671
F. Fernández,cb,30,0.556,0.618,5.20,3.433,1.033,0.527,0.43,0.393,6.90,0.633,81.827
K. Naughton,lb,34,0.480,0.533,9.68,2.029,0.912,0.670,0.76,0.439,7.35,0.537,86.209
Oriol Romeu,cm,34,0.511,0.540,10.15,1.088,1.647,0.679,0.47,0.484,5.71,0.600,84.417
S. Davis,cm,27,0.467,0.473,5.63,0.593,0.519,0.495,0.07,0.412,3.74,0.318,75.103
J. Stephens,lb,22,0.540,0.561,4.95,3.000,0.818,0.485,0.41,0.583,6.59,0.556,81.070
Cédric Soares,lb,39,0.516,0.434,8.95,1.769,0.692,0.592,0.28,0.462,4.92,0.590,83.241
M. Olsson,rb,41,0.449,0.619,4.46,1.732,0.756,0.360,0.22,0.417,3.54,0.500,75.180
J. Ward-Prowse,lam,30,0.455,0.356,3.90,0.567,0.600,0.287,0.17,0.400,2.43,0.350,71.591
T. Carroll,rcm,37,0.419,0.385,5.59,0.378,0.649,0.409,0.57,0.500,2.59,0.538,75.884
D. Tadić,cam,39,0.389,0.271,5.03,0.359,1.282,0.274,0.05,0.353,2.23,0.141,68.179
R. Bertrand,rb,36,0.535,0.492,5.86,1.250,0.944,0.542,0.53,0.529,4.14,0.705,81.054
M. Gabbiadini,st,28,0.408,0.371,1.21,0.071,0.536,0.000,0.18,0.400,0.43,0.300,66.025
L. Fer,lcm,20,0.530,0.670,5.10,0.550,1.400,0.549,1.20,0.564,2.80,0.304,81.048
Ł. Fabiański,gk,43,0.375,0.767,0.02,0.209,0.023,1.000,0.00,0.400,1.26,0.400,69.704
J. Ayew,rw,36,0.542,0.371,6.61,0.194,1.806,0.585,0.78,0.581,2.28,0.200,80.177
F. Forster,gk,20,0.400,0.444,0.00,0.150,0.000,1.000,0.00,0.400,0.75,0.375,70.002
N. Redmond,ram,31,0.446,0.282,3.71,0.258,0.581,0.251,0.06,0.471,1.97,0.265,70.279
M. Yoshida,cb,28,0.582,0.664,5.96,3.393,0.893,0.731,0.39,0.385,6.11,0.795,84.023
T. Abraham,lw,31,0.450,0.523,1.45,0.161,0.516,0.166,0.00,0.400,0.65,0.137,67.448
C. Austin,rw,24,0.391,0.380,1.29,0.542,0.625,0.061,0.46,0.385,1.21,0.214,67.943
S. Boufal,ram,26,0.444,0.385,4.88,0.154,1.038,0.376,0.08,0.471,1.15,0.304,71.959
J. Fulton,rcm,2,0.389,0.400,1.50,0.000,1.000,1.000,0.00,0.400,1.00,0.400,73.918
K. Bartley,lb,5,0.462,0.686,2.20,3.000,1.000,0.024,0.40,0.471,5.20,0.550,74.732
S. McQueen,rcm,7,0.448,0.353,2.00,0.429,0.000,0.800,0.14,0.438,1.57,0.400,73.736
O. McBurnie,lw,11,0.450,0.569,0.45,0.182,0.273,0.000,0.09,0.375,0.36,0.333,69.707
N. Chalobah,rcm,6,0.564,0.576,4.00,0.500,0.500,0.361,1.00,0.476,3.17,0.333,77.119
J. Holebas,rb,28,0.491,0.640,7.75,2.107,1.321,0.584,0.39,0.423,4.93,0.548,81.263
D. Lovren,cb,36,0.579,0.688,4.33,2.250,0.583,0.557,0.36,0.536,4.64,0.769,82.215
S. Okaka,st,15,0.389,0.414,1.40,0.000,1.400,0.303,0.40,0.429,0.27,0.240,69.102
D. Janmaat,lb,23,0.537,0.581,7.52,1.783,0.696,0.503,0.22,0.500,4.65,0.606,81.173
S. Mané,rw,32,0.454,0.361,2.91,0.188,1.000,0.448,0.28,0.458,1.78,0.179,71.015
Y. Kaboul,cb,2,0.630,0.593,6.00,2.500,0.500,0.926,0.00,0.400,7.50,0.471,76.514
M. Britos,rb,11,0.547,0.652,6.45,2.091,0.727,0.475,0.45,0.300,4.00,0.591,78.662
S. Mignolet,gk,19,0.350,0.630,0.26,0.211,0.158,0.000,0.11,0.412,1.84,0.400,66.956
J. Matip,lb,24,0.633,0.656,5.96,2.667,0.792,0.688,0.29,0.409,5.04,0.763,83.364
E. Can,cm,27,0.541,0.586,7.19,0.704,1.185,0.508,0.74,0.486,4.85,0.548,82.050
T. Alexander-Arnold,lb,20,0.481,0.438,7.35,1.750,0.600,0.434,0.35,0.455,5.20,0.607,79.211
Alberto Moreno,rb,16,0.487,0.529,6.12,2.062,0.500,0.439,0.44,0.409,4.06,0.571,78.387
A. Doucouré,cm,37,0.477,0.548,7.86,0.946,1.216,0.571,0.35,0.393,5.05,0.436,79.623
N. Amrabat,st,36,0.418,0.411,3.64,0.139,1.889,0.244,0.08,0.333,1.06,0.238,66.929
Gomes,gk,24,0.300,0.722,0.21,0.250,0.042,0.000,0.00,0.400,2.08,0.400,65.128
J. Henderson,cm,33,0.430,0.617,6.03,0.970,0.939,0.484,0.21,0.455,5.67,0.538,76.775
G. Wijnaldum,cam,33,0.551,0.464,4.33,0.333,0.364,0.457,0.03,0.375,2.73,0.560,74.976
Roberto Firmino,st,41,0.477,0.333,4.90,0.146,1.439,0.424,0.24,0.600,1.85,0.200,73.689
Mohamed Salah,lw,38,0.421,0.306,2.42,0.105,0.447,0.153,0.03,0.438,1.00,0.100,66.738
R. Pereyra,cam,32,0.469,0.351,2.06,0.031,0.562,0.278,0.09,0.500,1.66,0.233,69.524
T. Cleverley,cm,23,0.486,0.400,7.30,1.000,1.304,0.466,0.39,0.333,3.22,0.609,77.131
Kiko Femenía,lb,23,0.550,0.378,4.57,0.957,0.391,0.522,0.17,0.474,4.13,0.625,77.149
Richarlison,rw,38,0.459,0.473,4.71,0.526,0.974,0.339,0.24,0.458,2.66,0.159,73.243
A. Gray,st,29,0.471,0.292,0.66,0.034,0.448,0.099,0.14,0.316,0.59,0.159,65.938
D. Origi,lw,33,0.447,0.434,2.12,0.394,0.909,0.209,0.09,0.333,1.03,0.157,67.491
