Player,PrimaryPosition,Games,Accelerations,LongCarries,Duels,WideRuns,CounterAttacks,AvgCarryDistance,RawRating
J. Boga,lw,1,0.00,0.00,0.00,0.00,0.00,4.00,30.000
A. Christensen,lcb,31,0.19,1.77,0.94,0.32,0.39,19.17,51.896
Álvaro Morata,st,35,0.69,0.77,12.57,0.54,1.80,19.18,77.850
S. Arfield,ram,18,0.11,0.78,5.33,1.72,0.44,15.45,63.325
J. Walters,st,5,0.00,0.20,2.20,0.00,0.00,10.85,37.830
J. Riedewald,rb,12,0.00,0.75,0.83,0.67,0.67,16.90,40.968
L. Milivojević,cm,38,0.18,1.34,3.61,0.92,1.26,15.28,61.346
P. van Aanholt,rb,28,0.71,0.86,3.29,1.86,1.07,13.83,62.999
C. Benteke,st,33,0.18,0.52,6.82,0.61,1.79,13.05,66.431
M. Jørgensen,lb,41,0.02,1.29,0.51,0.83,0.27,19.18,44.569
C. Schindler,rcb,37,0.08,0.92,0.51,0.81,0.41,17.74,41.791
J. Puncheon,ram,10,0.10,0.50,4.10,0.70,0.50,13.10,55.967
T. Ince,cam,33,0.70,1.15,6.33,1.73,1.06,16.04,70.587
J. Ward,lb,19,0.32,1.26,4.26,2.26,0.68,20.99,65.447
C. Löwe,rb,23,0.61,1.43,1.35,2.96,0.35,15.85,59.892
R. Loftus-Cheek,cam,28,1.46,1.21,13.43,2.29,3.11,15.83,81.751
A. Mooy,cm,39,0.33,1.18,5.31,1.87,0.82,15.71,66.760
T. Smith,lb,24,0.62,1.12,2.42,2.58,0.67,15.91,61.794
W. Hennessey,gk,32,0.00,0.72,0.00,0.00,0.59,29.89,36.463
P. Billing,rcm,16,0.56,1.12,2.69,1.31,1.19,17.51,61.261
W. Zaha,ram,29,1.79,1.34,24.93,2.69,5.17,14.79,93.114
K. Palmer,cam,4,0.00,1.00,4.00,1.25,0.25,26.17,60.187
J. Lössl,gk,38,0.00,0.95,0.21,0.03,0.18,26.93,38.145
S. Dann,rcb,17,0.00,1.24,0.94,0.18,0.65,20.12,45.721
T. Fosu-Mensah,lb,21,0.29,1.24,2.95,1.57,0.19,18.55,59.455
S. Mounié,st,28,0.21,0.64,6.46,1.39,0.82,13.81,66.130
E. Kachunga,ls,19,1.16,0.53,9.11,1.63,0.89,13.30,74.642
A. Townsend,lam,36,2.03,1.58,13.47,3.53,3.17,15.72,83.361
D. Williams,cm,19,0.63,0.53,3.58,0.79,0.58,14.12,59.473
C. Quaner,lw,26,0.88,0.85,6.50,2.08,0.42,15.04,70.559
J. Tomkins,lcb,28,0.04,0.64,0.89,0.29,0.46,15.97,38.423
R. van La Parra,ram,33,1.67,1.58,12.36,3.33,1.45,15.86,81.537
J. Pickford,gk,45,0.00,0.82,0.11,0.02,0.38,34.32,39.472
E. Pieters,rb,31,0.32,1.32,3.00,2.71,0.77,17.22,62.667
D. Calvert-Lewin,st,32,0.50,0.59,7.50,1.06,1.66,13.07,69.976
G. Cameron,lcb,20,0.10,0.90,3.15,0.95,0.60,15.67,55.785
M. Keane,lcb,30,0.10,1.93,0.80,0.90,0.57,18.66,52.904
D. Fletcher,cm,27,0.30,0.63,3.04,0.63,0.44,14.10,54.398
I. Gueye,cm,36,0.50,1.42,5.50,1.53,1.08,15.52,68.665
W. Rooney,st,35,0.29,0.94,5.31,1.17,1.29,15.97,65.446
J. Butland,gk,35,0.00,1.00,0.11,0.03,0.31,43.04,44.057
S. Berahino,st,15,0.07,0.00,4.20,0.20,0.67,9.85,51.420
A. Williams,rcb,30,0.00,0.67,0.67,0.23,0.23,15.81,34.986
D. Klaassen,cm,7,0.14,0.29,1.43,0.71,0.86,15.71,43.088
M. Schneiderlin,cm,30,0.07,1.00,2.40,0.73,0.60,17.68,52.908
Bojan,rs,14,0.43,0.43,5.71,0.64,0.14,16.48,63.357
K. Zouma,lcb,34,0.29,1.03,3.00,1.09,0.56,16.13,58.016
X. Shaqiri,lam,44,1.59,1.05,10.09,2.20,2.57,15.13,78.973
M. Diouf,ls,37,0.27,0.59,4.89,1.51,0.95,13.77,62.625
J. Allen,cm,42,0.60,1.02,6.81,1.29,2.07,14.92,71.027
P. Jagielka,lcb,25,0.12,0.84,0.84,0.28,0.68,18.31,43.154
L. Baines,rb,22,0.32,0.73,2.73,1.32,0.68,17.30,56.441
Sandro,rs,21,0.57,0.19,5.24,1.33,1.10,13.43,63.869
R. Shawcross,lcb,27,0.07,1.15,0.81,0.26,0.52,20.28,45.207
Cuco Martina,rb,21,0.38,0.95,2.43,2.67,0.76,14.05,59.105
T. Davies,lcm,33,0.33,0.52,5.70,0.91,0.61,13.77,63.633
P. Crouch,st,31,0.10,0.19,3.52,0.61,0.45,11.46,50.758
E. Choupo-Moting,rs,30,0.63,1.07,12.90,2.07,1.80,16.93,79.047
K. Mirallas,cam,5,0.80,0.20,4.00,0.20,0.60,12.71,59.467
Juan Mata,lam,28,0.36,1.18,3.93,1.71,1.25,16.00,63.955
H. Mkhitaryan,cam,26,1.23,1.12,9.23,2.73,3.08,14.82,77.901
N. Matić,rcm,39,0.33,2.67,6.46,1.44,0.90,18.09,72.776
P. Pogba,cm,40,1.12,0.93,12.62,1.32,2.60,15.72,79.653
P. Jones,rcb,25,0.16,1.32,1.36,0.88,0.60,20.23,52.343
D. Blind,rb,6,0.17,1.33,1.83,1.83,0.67,16.99,55.945
E. Bailly,lb,11,0.00,1.27,1.64,0.36,0.27,17.96,48.780
W. Reid,lcb,17,0.06,1.41,1.24,0.41,0.12,18.41,48.374
R. Lukaku,ls,45,0.47,0.38,10.42,0.42,2.18,14.91,73.960
Pedro Obiang,cm,21,0.24,1.00,4.19,0.81,0.57,16.60,60.957
A. Ogbonna,rcb,33,0.00,0.76,1.94,0.39,0.03,15.07,44.698
M. Noble,cm,29,0.10,0.93,4.62,1.14,0.69,14.80,61.330
E. Fernandes,lcm,14,0.57,0.57,4.64,1.50,0.50,15.49,63.511
A. Ayew,ls,30,0.67,0.83,6.27,0.93,0.53,18.10,68.398
P. Zabaleta,lb,37,0.30,0.81,2.78,2.51,0.59,15.64,58.606
A. Masuaku,rb,27,1.56,0.96,12.30,3.04,0.96,14.63,80.285
J. Hart,gk,23,0.00,0.61,0.09,0.00,0.09,26.80,32.280
M. Arnautović,st,34,0.50,0.82,12.21,1.68,1.94,14.15,77.485
A. Valencia,lb,31,0.90,1.81,5.35,3.52,0.94,17.00,72.824
J. Hernández,st,31,0.26,0.52,6.81,0.87,1.39,16.15,67.024
David de Gea,gk,45,0.00,0.40,0.04,0.00,0.18,29.23,30.507
M. Rashford,rs,43,1.00,0.51,7.60,1.21,1.53,14.30,72.159
D. Sakho,st,28,0.04,0.18,4.86,0.46,0.39,12.28,55.583
D. Rice,lcb,26,0.35,0.81,0.85,0.54,0.19,21.84,46.698
M. Fellaini,lcm,24,0.08,0.54,3.62,0.50,0.75,18.60,55.361
A. Martial,rw,33,1.00,0.76,9.79,2.09,1.39,14.33,76.057
A. Cresswell,rb,36,0.50,0.83,2.33,1.67,0.42,16.59,57.282
J. Lingard,cam,39,1.28,0.95,5.26,1.13,1.69,14.33,70.608
D. Alli,cam,45,0.96,1.71,11.82,2.38,1.71,16.63,79.719
J. Shelvey,cm,30,0.33,1.20,2.93,0.60,1.27,17.41,59.582
K. Walker-Peters,lb,3,0.00,1.67,9.00,3.33,1.00,16.03,74.317
D. Gayle,st,35,0.17,0.43,3.43,0.43,1.00,15.98,54.600
P. Dummett,rb,20,0.05,1.00,0.80,1.60,0.60,15.52,46.241
C. Clark,rb,22,0.09,1.23,1.05,0.59,0.45,17.59,47.457
F. Lejeune,rcb,24,0.17,1.62,1.38,1.00,0.50,17.94,54.028
Ayoze Pérez,st,35,1.03,0.71,9.43,1.69,2.14,13.16,75.780
H. Lloris,gk,49,0.00,0.80,0.08,0.02,0.37,40.97,41.300
R. Elliot,gk,16,0.00,0.94,0.06,0.00,0.38,35.28,40.619
B. Davies,rb,33,0.70,1.58,3.03,2.79,0.36,17.82,65.761
M. Ritchie,lcm,35,0.83,1.09,5.37,2.31,0.94,14.97,69.602
J. Vertonghen,rb,46,0.33,2.24,2.43,1.98,0.83,19.49,64.248
Javi Manquillo,rcb,21,1.10,1.05,3.52,2.24,0.48,15.75,66.618
E. Dier,lcm,44,0.16,1.61,1.52,0.75,0.59,19.50,54.488
H. Kane,st,47,0.53,0.83,11.36,0.72,1.89,16.94,76.294
C. Eriksen,cam,41,0.90,1.68,7.22,2.17,2.10,15.00,74.854
M. Dembélé,rcm,33,0.33,1.91,7.67,1.00,0.67,17.97,72.369
T. Alderweireld,lb,25,0.08,2.12,1.28,1.40,0.68,18.43,56.976
I. Hayden,lcm,26,0.19,0.42,2.12,0.38,0.19,12.45,45.307
M. Sissoko,lam,38,0.89,0.71,4.45,0.95,1.18,18.46,66.076
C. Atsu,ram,28,1.21,0.96,8.14,2.39,1.04,15.28,75.128
J. Lascelles,lb,33,0.09,1.30,0.97,0.91,0.48,18.47,48.832
C. Mbemba,rb,9,0.22,0.67,4.11,1.11,0.11,15.98,58.598
Son Heung-Min,rs,40,0.80,1.20,10.82,2.02,1.77,16.23,77.615
Mikel Merino,cm,24,0.54,1.12,6.12,1.33,0.67,15.80,68.665
V. Wanyama,cm,18,0.11,1.06,3.50,0.78,0.28,17.87,57.564
H. Winks,cm,16,0.56,1.06,2.69,1.06,0.88,17.56,60.109
W. Routledge,cam,14,0.21,0.50,3.29,0.93,0.43,13.84,54.306
L. Britton,cm,5,0.40,0.40,1.00,0.20,0.00,13.93,40.450
A. Mawson,rb,38,0.26,2.37,1.68,0.84,0.29,21.48,60.111
F. Fernández,lcb,30,0.10,1.43,0.97,0.63,0.23,18.90,48.693
K. Naughton,lb,34,0.53,1.47,4.74,3.41,0.47,16.36,68.796
Oriol Romeu,cm,34,0.26,1.91,3.38,1.03,0.88,17.87,63.665
S. Davis,cm,27,0.41,0.70,3.81,0.89,1.15,15.39,60.557
J. Stephens,lb,22,0.55,2.00,2.50,1.23,0.64,19.12,63.640
Cédric Soares,lb,39,0.56,1.23,3.31,2.64,0.72,16.72,64.488
M. Olsson,rb,41,1.27,1.46,4.46,2.98,0.39,18.77,71.348
J. Ward-Prowse,lam,30,0.13,0.53,2.00,1.43,0.70,14.11,49.524
T. Carroll,rcm,37,0.43,1.08,2.24,1.24,0.41,16.66,56.909
D. Tadić,cam,39,1.00,0.67,12.79,1.90,1.33,13.48,78.800
R. Bertrand,rb,36,0.86,1.17,4.14,2.72,0.42,15.75,67.530
M. Gabbiadini,st,28,0.11,0.29,1.89,0.14,0.36,19.99,43.432
L. Fer,lcm,20,0.65,0.70,6.65,0.80,0.85,14.08,68.463
Ł. Fabiański,gk,43,0.02,0.88,0.05,0.00,0.30,38.59,41.253
J. Ayew,st,36,1.36,1.14,15.78,1.94,1.03,15.63,82.242
F. Forster,gk,20,0.00,0.60,0.05,0.00,0.15,30.70,33.861
N. Redmond,ram,31,0.94,1.00,8.39,2.03,1.58,16.16,74.799
M. Yoshida,lcb,28,0.04,1.25,1.18,0.32,0.46,18.05,47.023
T. Abraham,ls,31,0.29,0.39,8.26,0.77,0.68,14.09,68.740
C. Austin,rs,24,0.08,0.29,3.38,0.92,0.62,12.30,51.954
S. Boufal,ram,26,1.23,0.81,10.42,2.08,1.27,16.32,77.478
J. Fulton,rcm,2,0.00,0.00,1.00,0.00,0.00,8.88,30.000
K. Bartley,lcb,5,0.00,1.40,0.20,0.20,0.60,24.86,44.089
S. McQueen,rcm,7,0.29,0.57,1.14,1.00,0.29,16.03,45.408
O. McBurnie,ls,11,0.09,0.18,2.55,0.73,0.09,10.16,44.212
N. Chalobah,rcm,6,0.33,0.83,6.17,1.17,2.17,14.01,67.984
J. Holebas,rb,28,0.82,1.07,5.79,2.21,0.46,17.70,70.008
D. Lovren,lcb,36,0.06,1.31,0.58,0.56,0.25,20.60,45.136
S. Okaka,st,15,0.07,0.33,7.33,0.53,0.33,13.51,64.562
D. Janmaat,lb,23,0.52,0.65,3.52,1.65,0.22,14.11,59.822
S. Mané,rs,32,1.09,1.44,11.25,2.00,1.72,15.35,78.963
Y. Kaboul,lcb,2,0.00,1.00,1.50,1.00,2.00,16.40,51.551
M. Britos,rb,11,0.00,1.09,1.45,1.00,0.36,18.96,48.565
S. Mignolet,gk,19,0.00,0.53,0.16,0.00,0.53,28.48,34.507
J. Matip,lb,24,0.17,2.21,1.50,1.29,0.54,19.09,58.679
E. Can,cm,27,1.19,2.11,5.15,1.63,1.22,17.94,73.119
T. Alexander-Arnold,lb,20,0.70,0.75,3.95,2.75,0.90,13.58,65.106
Alberto Moreno,rb,16,0.88,1.19,2.81,2.94,0.88,16.36,65.530
A. Doucouré,cm,37,0.86,1.57,6.00,1.00,1.41,16.53,71.498
N. Amrabat,st,36,1.03,0.42,14.69,1.72,2.06,12.21,80.306
Gomes,gk,24,0.00,0.96,0.04,0.00,0.29,33.94,39.919
J. Henderson,cm,33,0.27,1.15,1.82,1.06,1.12,15.62,54.951
G. Wijnaldum,cm,33,0.82,1.09,5.52,1.09,0.88,16.50,68.763
