Player,PrimaryPosition,Games,Accelerations,LongCarries,Duels,WideRuns,CounterAttacks,AvgCarryDistance,RawRating
A. Mitrović,st,9,0.11,0.78,7.22,0.44,0.33,14.35,66.155
C. Wood,st,24,0.08,0.58,6.62,0.79,0.62,13.72,64.545
A. Westwood,cm,18,0.11,0.61,1.33,0.39,0.72,16.76,43.953
D. Sánchez,lcb,35,0.06,1.23,1.31,0.89,0.31,16.72,48.645
C. Cathcart,lcb,11,0.00,0.45,0.73,0.36,0.27,14.82,33.052
A. Carrillo,lam,31,1.00,1.13,9.94,1.90,0.55,16.03,76.366
L. Rosenior,lb,3,0.00,1.00,0.33,1.33,0.33,21.03,42.650
J. Izquierdo,rw,33,0.82,0.67,5.79,2.00,2.09,14.37,69.875
T. Deeney,rs,29,0.03,0.34,4.21,0.38,0.72,15.79,55.162
J. Morrison,cam,4,0.00,1.00,2.50,0.75,0.75,16.58,52.736
O. Burke,lam,15,0.40,0.60,3.47,0.80,0.47,17.59,57.910
G. Krychowiak,cm,35,0.26,0.97,5.26,0.66,1.11,15.13,64.284
J. Evans,rcb,32,0.16,1.72,2.34,0.75,0.41,21.42,58.199
K. Gibbs,rb,33,0.48,1.30,3.09,2.58,0.70,16.53,63.558
N. Pope,gk,35,0.00,1.20,0.00,0.00,0.09,37.38,42.606
L. Lumeka,rw,1,2.00,0.00,5.00,0.00,0.00,17.31,68.485
N. Vlašić,lam,12,0.75,1.25,9.58,1.83,0.83,18.47,75.717
D. Zappacosta,lb,24,0.54,0.58,5.50,2.08,0.50,15.60,66.219
E. Hazard,rs,45,2.16,1.60,18.40,2.09,2.93,16.16,87.735
C. Bravo,gk,3,0.00,1.33,0.33,0.00,0.00,35.51,45.109
E. Mangala,rb,12,0.08,1.42,1.33,0.25,0.50,23.87,51.148
A. Mariappa,lcb,28,0.04,0.82,0.61,0.61,0.21,20.54,40.236
K. Wimmer,rb,18,0.00,0.83,0.83,0.72,0.39,17.00,41.100
M. Darmian,lcb,10,0.20,0.80,1.80,1.10,0.80,18.82,51.882
Jesús Gámez,rb,2,0.00,2.50,2.00,2.50,0.00,28.33,62.732
Renato Sanches,cam,18,1.06,1.06,10.28,1.22,1.11,16.61,76.741
W. Bony,st,15,0.07,0.13,7.00,0.27,0.67,10.53,62.574
José Fonte,lcb,16,0.00,1.12,1.19,1.12,0.25,15.78,46.532
A. Carroll,st,16,0.06,0.44,5.69,0.50,0.12,14.26,60.082
S. Malone,rb,22,0.86,1.00,2.95,1.91,0.45,20.61,63.836
A. Sabiri,cam,5,0.40,0.20,3.80,1.20,0.60,9.12,56.355
L. Depoitre,st,32,0.28,0.28,7.03,0.81,0.97,12.72,65.947
B. Sako,cam,16,0.69,0.38,5.94,1.56,1.06,12.88,67.051
V. van Dijk,rcb,26,0.12,2.35,1.15,1.04,0.50,19.34,57.257
B. Chilwell,rb,24,1.42,2.25,6.75,4.54,0.88,18.31,77.569
J. Hogg,cm,30,0.33,1.30,2.77,0.93,0.50,15.80,58.529
Philippe Coutinho,rs,37,1.05,1.89,12.62,2.41,2.14,15.56,80.874
A. Young,rb,34,0.76,1.26,5.24,3.06,0.65,16.80,70.126
D. Yedlin,lb,34,0.76,0.71,3.44,2.47,0.68,15.06,63.606
S. Aurier,lb,17,0.29,1.29,5.29,3.29,0.35,14.91,67.824
Fernando Llorente,st,16,0.00,0.12,1.31,0.06,0.06,15.20,31.717
İ. Gündoğan,cam,31,0.77,1.00,3.58,1.00,0.81,15.19,63.447
F. Hadergjonaj,lb,23,0.65,0.70,3.00,1.43,0.00,16.72,59.108
J. Stanislas,cam,19,0.74,1.16,5.53,2.32,1.95,14.32,70.506
O. Niasse,st,22,0.05,0.41,7.95,1.05,1.09,14.35,67.675
J. Kenny,lb,19,0.32,0.63,2.84,1.95,0.58,14.06,56.692
M. Sakho,rb,19,0.00,1.05,1.89,0.42,0.58,16.83,49.058
F. Delph,ram,26,0.69,1.58,3.81,2.92,0.58,20.20,68.079
C. Smalling,lcb,33,0.03,1.09,0.82,0.24,0.73,17.90,43.885
G. Johnson,lb,9,0.00,0.56,1.89,0.67,0.22,16.80,44.485
I. Afellay,lcm,6,0.00,0.00,1.50,0.33,0.00,11.64,31.022
M. Wagué,lb,7,0.14,0.29,0.43,0.29,0.43,13.65,31.072
L. Cook,cm,28,1.04,1.61,5.82,1.25,0.75,16.81,71.690
Vicente Iborra,cm,19,0.05,1.05,2.95,0.68,0.47,16.47,54.794
G. Bong,rb,25,0.68,1.44,3.16,2.48,0.68,18.89,65.623
E. Schelotto,lb,20,1.00,0.55,4.60,1.70,0.75,13.47,66.270
D. Whitehead,cdm,4,0.00,0.25,0.00,0.00,0.00,20.26,30.000
D. Delaney,rb,2,0.00,1.00,0.50,0.50,0.00,20.92,39.730
F. Ladapo,st,1,0.00,0.00,2.00,0.00,0.00,0.00,30.000
U. Hünemeier,lcb,1,0.00,0.00,0.00,0.00,0.00,7.24,30.000
J. Speroni,gk,11,0.00,1.09,0.18,0.00,0.09,48.05,46.041
C. Musonda,ram,2,0.00,0.00,5.00,0.50,0.50,10.80,54.710
N. Chadli,cam,11,0.55,0.73,4.09,1.27,1.27,16.76,63.387
G. Myhill,gk,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
G. McAuley,lcb,13,0.00,0.85,0.69,0.31,0.00,18.63,37.864
T. Edwards,lb,6,0.00,1.17,3.17,1.33,0.17,20.08,57.157
Y. Touré,cam,10,0.10,1.30,0.80,0.00,0.10,19.74,44.672
Sung-Yeung Ki,cm,27,0.70,0.89,2.89,0.70,0.37,14.92,59.232
N. Dyer,lam,24,1.21,0.58,7.42,2.17,0.29,13.80,72.575
G. N'Koudou,rs,9,0.33,0.78,6.78,1.22,0.44,18.70,67.838
P. Mertesacker,rcb,6,0.00,0.17,0.50,0.33,0.67,11.96,30.000
A. Lookman,cam,18,0.72,0.11,6.89,0.83,1.00,10.06,67.279
J. Wilshere,cam,23,0.70,1.65,7.83,0.26,2.09,18.91,73.908
V. Lindelöf,lcb,23,0.13,1.91,1.48,1.35,0.43,20.86,56.927
C. Wilson,st,28,0.29,0.43,10.86,0.82,1.00,12.05,73.302
D. Drinkwater,cm,12,0.08,0.33,1.67,0.42,0.33,13.67,40.714
B. Baningime,lcm,8,0.00,0.38,1.00,0.38,0.25,15.18,34.503
W. Hughes,lam,15,0.80,1.00,6.67,1.47,0.80,14.92,70.668
C. Adam,rcm,11,0.09,0.18,3.00,0.27,0.64,14.96,48.467
O. Karnezis,gk,15,0.00,0.93,0.07,0.00,0.13,28.59,37.210
M. Cranie,rcb,3,0.00,0.67,1.00,0.67,0.00,14.22,37.845
D. Rose,rb,18,0.50,1.44,7.17,2.78,0.50,18.50,72.448
P. Gazzaniga,gk,1,0.00,1.00,0.00,0.00,0.00,50.13,44.484
L. Grant,gk,3,0.00,0.33,0.00,0.00,0.00,17.10,30.000
R. Aarons,cam,15,0.60,0.40,6.53,0.80,0.53,14.40,66.712
Z. Ibrahimović,st,8,0.12,0.50,7.12,0.62,0.12,12.72,64.784
M. Zeegelaar,rb,12,0.75,0.50,5.67,1.58,0.42,12.64,66.496
A. Lallana,cam,15,0.20,0.20,3.53,0.60,0.20,11.47,51.488
P. Bardsley,lb,13,0.54,0.92,2.77,2.46,0.23,14.77,60.269
E. Lamela,cam,25,0.44,0.96,5.24,0.84,0.84,20.54,65.863
H. Choudhury,lcm,8,0.00,1.25,1.75,1.12,0.38,17.38,51.190
M. Rojo,rb,12,0.25,2.83,0.83,1.00,0.58,22.12,60.337
K. Darlow,gk,10,0.00,1.00,0.10,0.00,0.10,27.44,37.671
J. Pied,lb,2,2.50,1.50,5.00,4.00,0.50,16.15,76.806
Adrián,gk,19,0.00,1.47,0.11,0.00,0.11,41.03,46.921
K. Long,lcb,16,0.00,1.06,1.31,0.12,0.31,21.90,45.771
D. Ings,st,8,0.12,0.50,2.88,0.75,0.00,13.84,50.022
L. Ulloa,st,14,0.07,0.14,4.36,0.71,0.50,10.34,54.019
C. Taylor,rb,11,0.45,1.45,6.09,3.00,0.36,20.44,70.782
E. Ampadu,lcb,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
O. Zinchenko,ram,11,0.09,0.45,1.45,0.64,0.64,14.44,42.675
A. Maitland-Niles,rcm,14,0.43,1.00,4.57,2.71,0.43,14.77,65.405
L. Shaw,rb,11,0.91,1.45,4.36,2.82,0.36,17.82,69.325
S. McTominay,lcm,12,0.17,0.83,3.50,0.58,0.25,16.50,56.173
B. Kayal,cm,19,0.16,0.58,2.63,0.68,0.42,14.82,50.925
P. Foden,ram,5,0.20,0.20,2.00,0.20,0.00,15.15,42.245
J. Tymon,rb,3,0.33,0.00,1.33,1.00,0.00,11.04,39.164
C. Goldson,lb,3,0.33,0.67,0.00,0.33,0.00,17.96,36.694
J. Sinclair,st,4,0.25,0.25,0.75,0.50,0.75,11.02,36.916
N. Wells,rs,8,0.12,0.00,1.12,0.12,0.12,5.38,30.000
J. Simpson,rb,1,0.00,0.00,0.00,0.00,0.00,10.66,30.000
M. Targett,rb,2,0.50,1.50,3.00,2.00,1.00,14.99,63.635
J. Lolley,ram,5,1.00,0.40,6.20,0.40,1.80,10.83,68.635
H. Saivet,cdm,1,1.00,1.00,1.00,0.00,0.00,25.85,55.723
C. Chambers,lb,12,0.33,1.08,2.08,1.42,0.83,16.98,56.582
A. Dragović,lb,14,0.07,1.14,0.79,0.79,0.07,17.17,44.232
Y. Bolasie,ram,16,1.12,0.62,10.38,1.56,1.06,17.15,76.520
J. McCarthy,lcm,8,0.00,1.12,1.88,1.50,0.38,13.29,50.809
J. Ngoy,rw,1,0.00,0.00,2.00,0.00,0.00,0.00,30.000
Adrien Silva,cm,20,0.20,0.55,4.90,1.05,1.00,13.38,61.298
A. Pritchard,cam,14,0.57,0.64,8.79,1.57,0.71,12.46,72.136
T. Kongolo,rb,16,0.44,0.81,2.62,1.31,0.44,15.37,56.826
S. Ireland,rcm,4,0.00,0.00,1.25,0.25,0.25,8.94,30.000
M. Bauer,lb,15,0.87,0.67,5.00,2.60,0.53,13.01,67.498
C. Roberts,lb,4,0.25,0.75,2.75,1.50,0.25,20.78,56.194
C. Tosun,st,16,0.06,0.69,6.06,1.19,1.00,12.93,64.261
J. Sims,lam,6,0.33,0.00,4.17,1.00,0.33,8.94,55.010
S. Baldock,rs,1,0.00,0.00,3.00,0.00,0.00,7.99,40.474
R. Nelson,cam,3,1.67,0.67,7.67,3.33,4.67,12.63,77.743
W. Caballero,gk,5,0.00,0.80,0.00,0.00,0.80,27.94,37.478
Brahim Diaz,ram,5,0.20,0.20,3.20,1.00,0.20,12.58,51.120
M. Vorm,gk,1,0.00,1.00,0.00,0.00,0.00,53.02,45.360
M. Obafemi,rs,1,0.00,1.00,0.00,0.00,0.00,38.47,40.644
S. Byram,lb,5,0.40,0.00,1.60,1.60,0.00,13.66,44.951
R. Oxford,lb,8,0.00,0.12,2.38,0.50,0.00,13.09,40.948
R. Barkley,lam,2,2.00,0.50,9.00,2.00,1.00,11.21,77.075
C. Hudson-Odoi,ram,2,0.50,0.00,4.50,1.50,0.00,12.35,58.738
S. Coleman,lb,16,1.50,1.38,6.88,1.88,0.56,18.01,74.756
F. Diabaté,rs,14,1.14,0.50,7.36,1.29,1.07,12.86,71.888
Kenedy,ram,13,0.69,2.23,10.54,4.00,2.54,15.74,79.734
A. Laporte,rb,28,0.14,2.00,1.32,0.93,0.43,19.86,55.948
Deulofeu,ls,17,0.94,0.71,7.82,1.88,1.88,14.11,73.437
B. N'Diaye,rcm,14,0.86,1.00,6.64,0.50,1.50,15.04,70.653
K. Stafylidis,rb,7,0.29,0.29,1.43,1.71,0.71,11.32,46.535
P. Aubameyang,st,29,0.52,0.90,5.76,1.28,1.69,14.73,67.981
D. Ospina,gk,9,0.00,1.11,0.33,0.00,0.67,36.06,45.274
A. Sørloth,rs,4,0.25,1.25,11.75,1.50,0.50,16.40,76.270
M. Dúbravka,gk,12,0.00,0.67,0.08,0.00,0.00,26.58,32.546
M. Carrick,cm,2,0.00,0.00,3.00,0.00,2.50,10.39,48.821
D. Lukebakio,lam,1,0.00,1.00,0.00,1.00,0.00,15.59,35.729
J. Locadia,ls,6,0.67,0.00,3.83,0.50,0.67,16.53,58.017
A. Wan-Bissaka,lb,7,0.71,2.00,5.00,4.43,0.57,14.78,72.260
Lucas Moura,ls,11,0.91,0.55,4.73,0.82,0.82,16.27,65.397
T. Campbell,ls,4,0.00,0.75,2.00,0.50,1.75,17.07,50.513
P. Evra,rb,16,0.50,0.62,3.19,1.00,0.25,17.05,57.814
E. Nketiah,ls,3,0.00,0.00,0.67,0.00,0.00,3.42,30.000
Emerson,rb,6,0.67,1.33,4.33,3.00,0.83,18.40,68.428
K. Mavropanos,rb,3,0.00,2.00,1.00,0.67,0.00,19.58,51.515
E. Jakupovic,gk,2,0.00,1.50,0.00,0.00,0.50,29.19,44.194
L. Nmecha,st,2,0.00,0.00,1.00,0.00,0.00,0.00,30.000
J. Bednarek,lcb,8,0.00,0.50,0.75,0.12,0.50,16.48,34.527
N. Clyne,lb,4,0.25,0.50,4.25,1.25,0.00,16.90,58.661
B. Hamer,gk,4,0.00,1.25,0.00,0.00,0.00,26.82,39.144
J. Willock,rcm,2,0.50,2.00,3.00,2.00,1.00,17.49,65.811
Ramiro Funes Mori,rb,4,0.00,0.75,1.00,0.00,0.00,24.31,40.050
H. Barnes,ram,2,0.00,0.50,0.50,0.50,0.00,20.40,33.511
Y. Benalouane,lb,2,0.00,0.50,1.50,1.00,0.00,11.59,39.974
E. Hyndman,cm,1,0.00,0.00,1.00,2.00,0.00,6.13,31.569
D. McNeil,ram,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
P. Souaré,rb,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
B. Woodburn,lw,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
S. Romero,gk,1,0.00,1.00,0.00,0.00,2.00,23.91,42.499
M. Haïdara,rb,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
L. Sørensen,cdm,1,0.00,0.00,2.00,1.00,0.00,9.45,37.285
A. Griezmann,st,46,0.89,0.78,6.11,1.00,2.72,14.55,70.755
B. Matuidi,ram,46,0.26,0.63,4.89,1.13,0.78,14.01,61.966
V. Chiricheș,lcb,10,0.20,2.60,2.80,0.90,0.50,19.41,63.952
C. Săpunaru,lb,3,0.67,0.00,3.00,0.67,0.00,13.06,53.064
C. Tătărușanu,gk,40,0.00,0.57,0.03,0.00,0.60,30.53,35.181
R. Raț,rb,2,0.50,0.00,0.50,0.00,0.50,19.02,37.117
F. Andone,st,32,0.59,0.69,7.25,1.12,1.31,14.39,70.067
A. Rami,lb,37,0.35,1.54,1.19,0.49,0.59,21.46,54.511
D. Grigore,rb,3,0.00,0.33,1.33,0.00,1.67,9.69,38.660
O. Hoban,rcm,3,0.00,1.33,3.67,2.33,0.33,14.15,60.654
M. Pintilii,cm,2,0.50,0.00,3.00,0.50,2.00,7.08,53.934
D. Payet,cam,38,1.24,0.74,8.29,2.00,2.50,13.49,75.504
N. Stanciu,cam,2,1.00,0.00,12.50,1.00,3.50,10.57,78.050
B. Stancu,rw,3,1.00,0.33,6.67,1.33,0.67,8.36,68.914
B. Sagna,lb,20,0.10,1.05,2.40,2.50,0.80,16.70,57.301
A. Popa,lam,2,0.50,1.00,10.00,2.00,0.50,13.26,74.572
D. Alibec,rs,2,0.00,0.50,9.50,2.00,1.50,11.78,71.573
K. Coman,rs,27,1.78,0.81,14.44,1.81,1.33,15.80,81.802
A. Chipciu,ram,2,0.50,0.00,8.50,2.00,2.00,7.97,70.843
G. Torje,lam,3,0.33,0.67,7.33,0.33,0.67,19.00,67.983
T. Xhaka,cam,2,0.50,0.00,4.00,0.00,0.00,9.85,53.456
A. Sadiku,st,9,0.00,0.33,4.22,0.67,0.89,12.23,55.001
L. Cana,lcb,2,0.00,0.00,0.50,0.00,0.00,4.21,30.000
J. Djourou,rcb,5,0.60,0.80,0.80,0.40,0.80,21.50,50.860
O. Roshi,lam,3,0.33,0.00,5.33,0.67,0.67,9.46,59.371
B. Kukeli,cdm,2,0.00,0.50,3.00,1.00,0.00,10.27,48.790
F. Schär,lcb,32,0.31,1.59,1.94,0.56,0.84,17.13,57.151
R. Rodríguez,rb,42,0.79,1.62,5.07,3.29,0.48,17.52,70.966
Y. Sommer,gk,38,0.00,0.50,0.05,0.03,0.45,20.38,30.000
V. Behrami,cm,28,0.29,1.04,3.32,1.11,1.07,14.84,59.743
H. Seferović,st,7,0.14,0.14,3.43,0.57,1.00,10.76,51.568
M. Mavraj,rcb,20,0.05,1.05,1.30,0.85,0.30,16.84,46.904
A. Mehmedi,st,21,0.29,0.76,6.81,1.86,0.62,16.44,68.207
B. Džemaili,cam,23,0.83,0.83,6.22,1.48,1.61,15.19,70.282
E. Hysaj,lb,38,0.66,1.61,4.79,3.63,0.50,18.10,70.261
S. Lichtsteiner,lb,34,0.68,0.88,4.21,2.65,0.35,16.35,65.608
A. Abrashi,cm,15,0.27,0.87,4.73,0.87,1.00,15.82,62.755
E. Berisha,gk,34,0.03,0.71,0.00,0.00,0.15,27.84,34.191
E. Lenjani,rb,3,1.33,0.00,9.00,1.00,0.67,7.36,73.023
A. Agolli,rb,3,0.33,0.33,2.00,0.33,0.00,25.34,48.808
B. Embolo,ls,29,0.34,0.14,9.76,0.48,0.90,11.76,70.769
E. Kaçe,rcm,1,0.00,0.00,2.00,1.00,0.00,4.80,35.401
F. Frei,cm,12,0.00,0.42,2.00,0.25,0.50,15.15,42.906
S. Cikalleshi,st,1,0.00,0.00,2.00,0.00,0.00,0.00,30.000
S. Gashi,lam,1,0.00,1.00,3.00,0.00,0.00,109.56,66.618
G. Fernandes,cm,22,0.00,0.59,1.00,0.68,0.82,18.44,41.578
C. Keșerü,rs,1,0.00,2.00,11.00,1.00,0.00,26.66,76.000
A. Prepeliță,cm,2,0.00,0.00,5.50,1.00,1.00,11.22,58.543
S. Filip,rb,1,1.00,0.00,3.00,0.00,0.00,7.30,53.981
M. Lang,lb,5,0.00,0.20,0.00,0.80,0.00,20.68,30.000
S. Tarashaj,rs,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
A. Lila,lam,2,0.50,0.00,5.00,2.50,1.00,11.35,63.147
A. Ajeti,lcb,22,0.09,0.73,0.77,0.32,0.59,17.72,40.697
L. Memushaj,cm,19,1.00,1.26,9.16,1.63,1.32,14.39,75.899
A. Gignac,rs,6,0.00,0.17,5.67,0.00,1.17,17.38,59.577
F. Veseli,lb,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
A. Mățel,rb,1,0.00,0.00,7.00,0.00,0.00,0.80,58.472
M. Basha,cdm,1,1.00,0.00,7.00,1.00,0.00,10.84,67.829
L. Sânmărtean,cam,1,1.00,0.00,9.00,2.00,0.00,7.02,71.990
B. Balaj,ls,1,0.00,0.00,6.00,0.00,1.00,0.00,56.522
M. Ďuriš,ls,3,0.00,0.00,6.67,1.00,1.33,12.35,62.828
M. Hamšík,ram,42,0.38,1.24,3.17,1.48,1.24,15.80,61.900
M. Škrtel,lb,4,0.00,0.25,2.00,0.00,0.25,14.84,39.337
J. Ďurica,rb,4,0.50,1.00,2.50,0.50,0.25,17.41,56.504
M. Kozáčik,gk,4,0.00,0.50,0.00,0.00,0.75,31.73,35.162
J. Chester,lcb,6,0.17,0.17,1.67,0.33,0.50,13.13,40.524
J. Williams,cam,4,0.50,0.75,6.75,1.00,0.00,13.95,67.368
V. Weiss,rw,4,1.50,0.25,11.00,0.50,0.50,10.93,76.383
D. Edwards,lcm,3,0.00,0.33,1.00,0.33,0.00,15.14,32.646
P. Hrošovský,lcm,2,0.00,0.50,3.00,0.50,2.00,15.18,53.528
J. Kucka,lcm,4,1.50,0.75,12.25,0.25,2.00,13.70,79.110
G. Bale,st,32,1.31,1.09,8.78,1.94,1.88,17.69,76.737
P. Pekarík,lb,21,1.05,0.48,3.14,1.95,0.33,14.08,62.471
N. Taylor,rb,6,0.17,0.50,3.33,2.67,0.00,16.65,57.140
R. Mak,lw,3,2.00,1.33,6.67,1.67,0.67,15.18,75.719
D. Ward,gk,1,0.00,0.00,0.00,0.00,0.00,17.60,30.000
D. Švento,rb,3,0.00,0.00,1.33,0.33,0.00,3.42,30.000
C. Gunter,lb,6,0.50,0.17,1.67,1.83,0.33,12.71,49.421
O. Duda,cam,20,0.15,0.50,4.30,0.95,0.75,13.05,58.081
A. Nemec,st,2,0.00,0.00,3.00,0.00,0.00,9.59,41.034
J. Ledley,rcm,6,0.00,0.17,1.17,0.67,0.17,11.01,32.283
M. Stoch,ram,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
F. Smolov,rs,8,0.75,0.88,9.12,2.50,1.00,17.36,74.913
A. Golovin,cam,7,1.14,1.71,7.14,1.86,1.43,20.29,75.283
S. Ignashevich,rcb,8,0.00,0.62,0.38,0.00,0.38,18.48,32.650
A. Dzyuba,st,8,0.25,0.88,11.00,0.88,1.12,15.03,74.605
I. Akinfeev,gk,8,0.00,0.38,0.00,0.12,0.25,23.24,30.000
G. Shchennikov,rb,2,0.00,0.00,2.00,0.50,0.00,7.88,34.589
R. Neustädter,lcb,2,0.00,0.50,0.50,0.00,0.50,11.71,30.000
A. Kokorin,lw,3,1.00,0.33,10.00,1.67,1.33,13.28,75.203
O. Shatov,cam,2,0.50,0.50,10.50,0.50,1.00,15.06,73.688
V. Berezutski,lcb,3,0.67,0.67,0.67,0.00,0.67,14.56,46.779
I. Smolnikov,lb,4,0.25,0.50,2.50,2.00,0.50,13.71,53.750
R. Shirokov,cam,3,0.00,0.33,1.00,0.67,0.00,13.30,33.319
D. Glushakov,cm,3,0.00,0.67,0.33,0.00,0.33,22.09,34.250
P. Mamaev,cam,3,0.67,0.67,0.67,0.67,0.33,18.69,48.812
T. Hubočan,rb,3,1.00,0.33,3.33,1.33,1.00,13.21,62.007
V. Pečovský,cdm,2,0.00,1.50,2.00,0.00,0.00,23.67,52.078
N. Gyömbér,rb,2,0.50,0.00,2.00,0.50,0.00,8.99,44.131
M. Škriniar,lcb,40,0.25,2.80,2.38,0.97,0.72,19.95,64.407
D. Kombarov,rb,1,0.00,0.00,3.00,3.00,0.00,8.54,49.631
A. Berezutski,lcb,1,0.00,0.00,0.00,0.00,0.00,8.74,30.000
A. Samedov,lam,6,1.33,0.83,4.67,1.83,0.50,23.56,69.870
S. Church,rw,2,0.00,0.00,0.00,0.00,0.00,0.00,30.000
C. Baird,rcb,1,0.00,0.00,1.00,0.00,1.00,12.13,30.000
Ł. Piszczek,lb,30,0.93,1.03,4.47,2.60,0.90,13.88,68.343
A. Milik,st,21,0.19,0.48,4.24,0.52,0.62,15.48,57.534
W. Szczęsny,gk,20,0.00,0.60,0.05,0.00,0.25,28.73,33.436
O. Norwood,rcm,4,0.00,0.50,2.75,1.50,1.00,12.32,51.765
J. Błaszczykowski,lam,15,0.27,0.67,6.53,2.07,1.00,13.82,67.584
R. Lewandowski,st,38,0.76,0.50,10.08,0.95,1.61,13.20,74.585
S. Ferguson,rcm,1,0.00,1.00,3.00,1.00,0.00,24.03,55.364
M. Pazdan,rb,7,0.00,1.00,0.57,0.14,0.14,18.67,38.634
A. Jędrzejczyk,rb,6,0.67,0.50,3.83,2.00,0.67,16.50,62.709
B. Kapustka,cam,10,0.10,0.80,4.90,1.00,0.20,18.44,61.155
P. McNair,lb,2,0.00,0.50,1.50,1.00,0.00,14.40,40.969
K. Glik,lb,43,0.00,1.26,0.63,0.58,0.67,19.63,45.182
K. Mączyński,cm,4,0.00,0.00,2.75,0.25,0.75,9.40,42.660
C. McLaughlin,lb,1,0.00,1.00,2.00,2.00,0.00,13.68,50.904
M. McGovern,gk,4,0.00,1.00,0.00,0.00,0.50,57.24,47.980
K. Lafferty,st,3,0.00,0.00,8.33,1.67,1.00,10.63,67.101
S. Dallas,ram,4,0.75,0.25,5.00,2.75,0.50,9.75,65.187
C. Washington,rs,4,0.00,0.25,4.50,0.00,0.25,20.39,54.625
J. Ward,lam,4,0.50,0.00,7.00,0.25,1.50,5.38,65.264
T. Jodłowiec,rcm,5,0.00,0.20,2.20,0.60,0.00,13.02,40.835
K. Grosicki,ram,8,1.00,0.50,7.38,1.88,1.62,10.96,72.103
S. Peszko,ram,4,0.00,0.25,1.25,0.50,0.00,20.17,36.576
J. Boateng,lb,27,0.04,1.93,1.30,1.26,0.52,18.38,54.896
T. Kroos,ram,36,0.72,1.67,4.19,1.56,1.47,17.94,68.575
J. Hector,rb,28,0.14,1.50,5.61,2.64,0.32,17.41,67.880
A. Pyatov,gk,3,0.00,0.00,0.00,0.00,0.00,10.22,30.000
M. Neuer,gk,12,0.00,0.25,0.08,0.08,0.00,21.10,30.000
S. Khedira,lcm,33,0.58,0.70,2.55,0.79,0.88,15.22,56.987
V. Kovalenko,cam,3,0.00,0.00,5.67,1.00,0.00,5.83,56.363
T. Müller,ls,38,0.32,0.61,5.74,1.32,1.13,13.73,65.143
B. Höwedes,lb,9,0.22,0.44,0.67,1.00,0.22,13.64,38.890
Y. Konoplyanka,ram,29,1.66,1.03,9.34,2.10,2.21,16.30,78.265
E. Khacheridi,lb,3,0.00,0.33,2.33,0.33,0.00,13.80,42.462
Y. Rakitskiy,rb,2,0.00,0.50,2.50,0.00,0.50,45.26,53.545
A. Yarmolenko,lw,21,0.71,0.67,11.10,1.76,1.76,13.95,76.570
M. Götze,cam,27,0.67,0.70,8.04,1.67,0.96,13.45,71.825
S. Sydorchuk,lcm,2,1.00,2.00,5.00,1.50,1.00,19.80,71.815
J. Draxler,ram,37,0.59,1.03,5.95,1.59,1.81,15.77,69.631
R. Zozulya,st,3,0.00,0.67,3.00,0.67,0.00,10.83,49.367
A. Fedetskiy,lb,3,0.67,0.00,2.67,0.00,0.00,7.63,48.533
V. Shevchuk,rb,2,1.00,1.00,4.00,1.00,1.00,13.18,65.891
T. Stepanenko,rcm,3,0.00,1.67,0.33,1.00,0.00,20.44,46.554
Y. Seleznyov,ls,2,0.00,0.00,4.00,0.00,0.50,0.00,45.946
A. Schürrle,rs,21,1.24,0.76,6.86,1.76,1.90,15.64,73.277
B. Schweinsteiger,cm,5,0.00,0.00,2.80,0.20,1.20,6.60,43.375
C. Evans,lcm,3,0.00,1.33,1.67,2.33,0.67,14.24,54.039
A. Hughes,lb,3,0.00,0.33,0.00,1.00,0.33,13.77,30.000
N. McGinn,lam,3,0.33,0.00,1.33,0.00,0.00,12.42,35.796
D. Garmash,rcm,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
J. Magennis,ls,3,0.00,0.00,1.00,0.00,0.00,7.59,30.000
M. Hummels,rb,32,0.22,2.41,2.12,1.28,0.78,19.17,62.324
M. Gómez,st,35,0.11,0.46,6.03,0.66,1.80,13.60,64.051
O. Kucher,rb,1,0.00,0.00,0.00,0.00,0.00,2.40,30.000
P. Zieliński,ram,40,0.80,0.75,4.50,1.48,0.85,14.85,65.589
B. Butko,rb,1,1.00,1.00,4.00,0.00,0.00,33.88,65.972
R. Rotan,cm,1,0.00,1.00,2.00,0.00,0.00,8.80,44.070
T. Cionek,lb,17,0.41,3.41,3.76,2.65,0.59,19.99,71.476
A. Tymoshchuk,lcm,1,0.00,0.00,0.00,1.00,0.00,6.00,30.000
F. Starzyński,ram,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
J. Kimmich,lb,35,1.11,1.63,6.40,3.60,0.60,16.61,74.436
A. Turan,rcm,3,1.00,0.00,9.67,2.00,1.67,8.90,74.287
S. İnan,cm,3,0.00,0.33,1.33,1.00,1.00,14.27,41.498
C. Erkin,rb,2,1.00,1.50,6.00,3.00,1.00,15.70,73.024
