Player,PrimaryPosition,Games,pass_acc,through_acc,freekick_acc,assists_pg,avg_pg,consistency,turnover_rate,Rating
D. Pudil,rb,1,0.742,0.000,0.000,1.000,31.000,1.000,0.258,80.26
İ. Köybaşı,rb,1,0.853,0.000,0.000,0.000,34.000,1.000,0.147,80.14
D. Kolář,cm,1,0.333,0.000,0.000,0.000,3.000,1.000,0.667,78.43
K. Källström,rcm,3,0.829,0.167,0.714,0.000,56.667,0.983,0.171,80.99
A. Granqvist,rb,8,0.858,0.500,0.000,0.000,37.000,0.914,0.142,81.30
S. Larsson,lcm,7,0.827,0.400,0.455,0.000,33.857,0.889,0.173,80.60
E. Forsberg,ram,29,0.820,0.310,0.300,0.310,23.621,0.853,0.180,81.21
W. Hoolahan,cam,4,0.814,0.500,0.625,0.000,17.500,0.877,0.186,79.78
G. Whelan,cdm,2,0.833,0.500,0.000,0.000,42.000,0.946,0.167,80.40
O. Lewicki,lcm,2,0.868,0.000,0.000,0.000,19.000,0.885,0.132,79.99
D. Randolph,gk,4,0.781,0.000,0.000,0.000,16.000,0.842,0.219,79.00
M. Lustig,lb,5,0.750,0.000,0.636,1.000,26.400,0.846,0.250,80.95
A. Isaksson,gk,3,0.804,0.000,0.000,0.000,18.667,0.839,0.196,79.45
J. O'Shea,cb,3,0.787,0.000,0.000,0.000,15.667,0.900,0.213,79.31
M. Berg,lw,8,0.798,0.500,0.500,0.125,12.375,0.861,0.202,79.31
E. Johansson,lb,3,0.900,0.000,0.000,0.000,33.333,0.924,0.100,80.64
J. Guidetti,st,30,0.739,0.316,0.600,0.167,13.167,0.702,0.261,75.91
A. McGeady,lam,3,0.739,0.000,0.000,0.000,7.667,0.866,0.261,78.70
A. Ekdal,cm,27,0.817,0.167,0.333,0.000,28.667,0.832,0.183,79.66
R. Keane,rw,2,1.000,0.000,1.000,0.000,1.500,1.000,0.000,80.56
D. De Rossi,cm,25,0.856,0.298,0.500,0.120,52.960,0.932,0.144,85.06
G. Pellè,rw,4,0.676,0.143,0.000,0.250,26.250,0.796,0.324,78.75
G. Chiellini,rb,29,0.882,0.300,0.250,0.034,66.276,0.927,0.118,87.17
G. Buffon,gk,25,0.885,0.000,0.000,0.000,19.520,0.913,0.115,80.65
A. Barzagli,cb,30,0.933,0.400,0.500,0.000,47.267,0.903,0.067,86.75
T. Vermaelen,rb,21,0.939,0.000,0.000,0.000,38.952,0.952,0.061,84.35
L. Ciman,lb,1,0.848,0.500,0.500,0.000,66.000,1.000,0.152,80.54
R. Nainggolan,cam,36,0.823,0.388,0.360,0.472,40.028,0.909,0.177,85.02
E. Giaccherini,ram,21,0.818,0.125,0.444,0.190,26.667,0.862,0.182,80.60
Eder,st,30,0.849,0.444,0.545,0.233,10.367,0.756,0.151,80.10
L. Bonucci,cb,40,0.863,0.172,0.462,0.050,55.100,0.954,0.137,86.06
A. Candreva,lam,38,0.768,0.125,0.380,0.605,40.605,0.811,0.232,83.02
A. Witsel,cm,11,0.951,0.400,1.000,0.273,49.636,0.954,0.049,85.83
M. Parolo,lcm,35,0.828,0.308,0.381,0.257,37.514,0.910,0.172,83.41
M. De Sciglio,lb,16,0.874,0.333,0.500,0.250,51.000,0.884,0.126,84.75
D. Mertens,st,49,0.761,0.321,0.319,0.735,24.020,0.870,0.239,82.12
Y. Carrasco,rw,26,0.784,0.250,0.200,0.192,18.308,0.870,0.216,78.63
T. Motta,cm,23,0.944,0.571,0.000,0.087,59.522,0.964,0.056,88.24
C. Immobile,rw,35,0.795,0.381,0.300,0.257,21.743,0.864,0.205,79.99
A. Florenzi,lcm,36,0.776,0.206,0.523,0.444,44.667,0.859,0.224,83.33
S. Zaza,lw,35,0.762,0.500,0.500,0.143,11.743,0.776,0.238,76.74
J. Durmaz,cam,23,0.732,0.500,0.333,0.217,20.304,0.706,0.268,77.25
S. Sturaro,lcm,15,0.818,0.000,0.571,0.067,19.400,0.829,0.182,79.19
T. Meunier,lb,33,0.834,0.333,0.446,0.576,41.758,0.888,0.166,85.96
D. Murphy,st,2,0.667,0.000,0.000,0.000,9.000,1.000,0.333,78.84
F. Bernardeschi,lam,23,0.854,0.312,0.267,0.043,16.348,0.869,0.146,80.01
R. Keogh,cb,2,0.814,0.000,0.000,0.000,21.500,0.813,0.186,79.70
S. Sirigu,gk,38,0.844,0.000,0.000,0.000,21.895,0.874,0.156,79.33
L. Insigne,rw,39,0.848,0.337,0.242,0.923,63.000,0.938,0.152,91.98
S. El Shaarawy,rw,33,0.842,0.370,0.292,0.242,28.879,0.897,0.158,82.60
E. Zengin,ram,1,0.667,0.000,0.000,0.000,3.000,1.000,0.333,79.34
Z. Junuzović,cam,25,0.762,0.200,0.524,0.400,27.760,0.869,0.238,80.32
D. Alaba,rb,26,0.860,0.300,0.408,0.231,49.423,0.870,0.140,85.12
Á. Lang,cb,7,0.883,0.667,0.400,0.000,40.429,0.926,0.117,82.02
G. Király,gk,4,0.915,0.000,0.000,0.000,26.500,0.899,0.085,80.70
R. Guzmics,cb,4,0.849,0.000,0.000,0.250,48.000,0.818,0.151,81.09
J. Baumgartlinger,cm,25,0.915,0.625,0.000,0.120,42.720,0.940,0.085,85.89
Z. Gera,cm,4,0.839,0.250,0.667,0.000,42.000,0.881,0.161,80.75
A. Fiola,lb,1,0.714,0.000,0.000,0.000,28.000,1.000,0.286,79.71
M. Hinteregger,rb,33,0.825,0.160,0.250,0.091,43.515,0.888,0.175,82.55
M. Janko,st,2,0.750,1.000,0.000,0.500,6.000,0.717,0.250,79.69
Á. Nagy,rcm,15,0.875,0.800,0.500,0.133,25.000,0.899,0.125,82.44
L. Kleinheisler,cam,2,0.773,0.500,1.000,0.500,37.500,0.999,0.227,80.61
Á. Szalai,st,22,0.762,0.000,0.667,0.091,10.318,0.785,0.238,76.38
M. Harnik,lw,32,0.712,0.067,0.091,0.156,17.562,0.839,0.288,75.14
T. Kádár,rb,3,0.865,0.500,0.200,0.000,69.000,0.904,0.135,81.52
F. Klein,lb,3,0.687,0.000,0.000,0.000,33.000,0.700,0.313,78.82
R. Almer,gk,3,0.942,0.000,0.000,0.000,23.000,0.970,0.058,80.72
K. Németh,rw,2,0.707,0.000,1.000,0.000,20.500,0.869,0.293,79.30
B. Dzsudzsák,lam,4,0.775,0.600,0.333,0.250,35.500,0.909,0.225,80.43
M. Sabitzer,lam,25,0.729,0.295,0.415,0.480,36.320,0.834,0.271,80.57
R. Okotie,lw,1,0.400,0.000,0.000,0.000,5.000,1.000,0.600,78.63
T. Priskin,st,2,0.812,0.000,0.000,0.000,8.000,0.750,0.188,79.40
A. Schöpf,cm,18,0.823,0.273,0.571,0.111,21.944,0.887,0.177,80.24
Z. Stieber,ram,3,0.933,0.000,0.500,0.000,10.000,0.885,0.067,80.32
Á. Pintér,cam,3,0.841,0.000,0.000,0.000,21.000,0.551,0.159,79.49
A. Skúlason,rb,7,0.755,0.000,0.333,0.143,21.000,0.801,0.245,78.71
K. Sigþórsson,lw,7,0.680,0.000,0.000,0.000,10.714,0.738,0.320,76.45
Danilo Pereira,cm,5,0.927,0.000,0.000,0.000,24.800,0.873,0.073,80.86
Ricardo Carvalho,rb,3,0.936,0.000,0.000,0.000,57.000,0.959,0.064,81.57
Raphaël Guerreiro,rb,18,0.860,0.667,0.459,0.167,47.111,0.871,0.140,84.28
A. Gunnarsson,cdm,8,0.770,0.000,0.000,0.125,28.750,0.842,0.230,79.17
B. Sævarsson,lb,8,0.784,0.667,0.444,0.000,22.000,0.899,0.216,79.50
João Moutinho,cm,42,0.872,0.304,0.414,0.143,49.929,0.908,0.128,86.33
André Gomes,ram,21,0.894,0.250,0.500,0.095,23.286,0.844,0.106,82.13
B. Bjarnason,rcm,8,0.810,0.000,0.667,0.000,21.000,0.871,0.190,79.37
Cristiano Ronaldo,st,38,0.836,0.423,0.593,0.447,26.763,0.908,0.164,83.94
H. Halldórsson,gk,8,0.786,0.000,0.000,0.000,14.000,0.874,0.214,78.31
Rui Patrício,gk,11,0.901,0.000,0.000,0.000,17.364,0.941,0.099,80.65
Pepe,lb,10,0.831,0.375,0.250,0.100,46.700,0.894,0.169,81.93
Vieirinha,lam,3,0.750,0.200,0.500,0.333,52.000,0.976,0.250,80.66
J. Böðvarsson,st,6,0.725,0.000,0.000,0.167,13.333,0.762,0.275,77.96
R. Sigurðsson,cb,8,0.853,1.000,0.000,0.000,22.125,0.840,0.147,80.56
K. Árnason,cb,7,0.778,0.667,0.000,0.286,19.286,0.884,0.222,79.81
Nani,cam,25,0.809,0.231,0.222,0.160,15.520,0.796,0.191,78.64
Ricardo Quaresma,lw,10,0.669,0.333,0.200,0.000,17.200,0.625,0.331,75.76
Éder,lw,3,0.833,0.000,0.000,0.000,4.000,0.876,0.167,79.32
A. Finnbogason,st,28,0.737,0.200,0.500,0.321,16.857,0.848,0.263,77.66
E. Bjarnason,rcm,3,0.800,1.000,0.000,0.000,3.333,0.800,0.200,79.32
R. Juhász,lb,3,0.861,0.000,0.000,0.000,55.333,0.947,0.139,80.96
E. Hallfreðsson,cm,22,0.863,0.000,0.385,0.227,22.955,0.840,0.137,81.44
N. Nikolić,rw,2,0.625,0.000,0.000,0.000,4.000,0.000,0.375,77.81
D. Böde,st,2,1.000,0.000,0.000,0.000,1.500,1.000,0.000,80.43
E. Guðjohnsen,lw,2,0.875,0.000,0.000,0.000,4.000,0.717,0.125,79.62
William Carvalho,cm,9,0.918,0.250,0.000,0.000,65.111,0.965,0.082,84.16
S. Ilsanker,lcm,22,0.855,0.222,0.600,0.091,41.864,0.895,0.145,83.22
Rafa Silva,ram,1,0.000,0.000,0.000,0.000,2.000,1.000,1.000,77.52
L. Hinterseer,lw,1,0.000,0.000,0.000,0.000,1.000,1.000,1.000,77.51
Eliseu,rb,2,0.839,0.000,0.455,0.500,56.000,0.962,0.161,81.07
M. Korhut,rb,1,0.647,0.000,0.000,0.000,17.000,1.000,0.353,79.42
Á. Elek,lcm,2,0.722,1.000,0.000,0.500,18.000,0.782,0.278,79.82
G. Lovrencsics,ram,2,0.789,0.000,0.000,0.500,28.500,0.930,0.211,80.22
B. Bese,lb,1,0.538,0.000,0.000,0.000,13.000,1.000,0.462,79.09
J. Jantscher,lam,1,0.875,0.000,0.667,0.000,8.000,1.000,0.125,79.99
A. Traustason,cam,2,0.500,0.000,0.000,0.000,2.000,0.000,0.500,77.13
E. Derdiyok,lw,1,0.714,0.000,0.000,0.000,7.000,1.000,0.286,79.50
M. Škriniar,cb,39,0.925,0.214,0.000,0.026,59.154,0.954,0.075,88.36
J. Greguš,rcm,1,0.957,1.000,0.000,0.000,23.000,1.000,0.043,80.44
S. Šesták,st,1,0.000,0.000,0.000,0.000,2.000,1.000,1.000,77.52
L. Podolski,rw,1,0.700,0.000,1.000,0.000,20.000,1.000,0.300,79.66
K. Saláta,cb,1,1.000,0.000,0.000,0.000,3.000,1.000,0.000,80.24
Lucas Vázquez,lw,36,0.830,0.421,0.460,0.667,27.667,0.885,0.170,84.88
J. Denayer,rb,1,0.971,0.000,0.000,0.000,34.000,1.000,0.029,80.46
J. Lukaku,rb,31,0.798,0.000,0.417,0.194,22.161,0.839,0.202,79.13
S. Umtiti,rb,34,0.933,0.375,1.000,0.059,57.353,0.936,0.067,89.32
S. Ingason,cb,3,0.855,0.000,0.000,0.000,20.667,0.971,0.145,80.02
Bruno Alves,rb,1,0.810,0.000,0.000,0.000,42.000,1.000,0.190,80.10
B. Guillaume,st,13,0.766,0.500,0.000,0.000,4.923,0.700,0.234,76.47
R. Thomas,rb,28,0.869,0.286,0.000,0.000,40.357,0.934,0.131,83.17
L. Lerager,lcm,37,0.816,0.269,0.474,0.162,40.459,0.908,0.184,82.85
A. Letellier,gk,13,0.846,0.000,0.000,0.000,13.000,0.898,0.154,79.01
I. Traoré,lb,32,0.855,0.167,0.000,0.000,33.438,0.881,0.145,81.53
V. Manceau,lb,33,0.793,0.278,0.439,0.182,38.455,0.903,0.207,81.74
B. Santamaria,cm,31,0.831,0.200,0.455,0.097,36.710,0.913,0.169,82.26
V. Jovanović,cb,16,0.897,0.500,0.000,0.062,44.500,0.948,0.103,84.07
J. Toulalan,cdm,21,0.877,0.167,0.333,0.048,47.190,0.938,0.123,84.05
B. Costil,gk,36,0.840,0.250,0.000,0.000,19.139,0.843,0.160,79.13
V. Vada,lcm,21,0.869,0.000,0.286,0.000,25.429,0.904,0.131,80.92
Y. Sabaly,lb,38,0.817,0.429,0.547,0.395,45.211,0.907,0.183,85.33
Malcom,lw,35,0.825,0.286,0.474,0.486,37.914,0.902,0.175,84.75
T. Pellenard,rb,18,0.777,0.176,0.395,0.222,40.611,0.732,0.223,80.49
P. Capelle,cm,28,0.805,0.583,0.438,0.107,26.571,0.900,0.195,80.67
F. Kamano,rw,35,0.806,0.333,0.310,0.343,18.371,0.862,0.194,80.37
G. Sunu,rw,20,0.810,0.500,0.500,0.000,11.300,0.809,0.190,78.21
L. Coulibaly,lcm,19,0.837,0.000,0.500,0.000,15.842,0.891,0.163,79.14
T. Mangani,rcm,35,0.785,0.308,0.345,0.171,53.571,0.870,0.215,83.20
A. Fulgini,lam,29,0.803,0.500,0.143,0.207,21.828,0.766,0.197,79.57
Y. Sankharé,rcm,29,0.881,0.143,0.500,0.103,29.000,0.786,0.119,82.33
A. Mendy,st,15,0.833,0.500,0.500,0.200,9.200,0.688,0.167,79.26
K. Toko Ekambi,rw,37,0.787,0.429,0.273,0.568,23.378,0.869,0.213,81.91
F. Tait,cam,31,0.760,0.357,0.481,0.387,28.742,0.859,0.240,80.49
M. Pavlović,cb,24,0.879,0.400,0.000,0.000,35.042,0.912,0.121,82.74
G. Laborde,st,19,0.698,0.000,0.500,0.105,10.789,0.708,0.302,74.54
T. Touré,rw,8,0.857,0.000,0.000,0.125,6.125,0.870,0.143,79.34
E. Sala,st,36,0.676,0.333,0.500,0.139,19.528,0.810,0.324,74.45
P. Nakoulma,rw,18,0.810,0.200,1.000,0.222,17.222,0.889,0.190,80.14
Diego Carlos,cb,28,0.818,0.235,0.333,0.107,30.143,0.844,0.182,80.62
J. Alonso,rb,34,0.851,0.192,0.600,0.118,52.000,0.861,0.149,84.98
Luiz Araújo,rw,33,0.752,0.200,0.417,0.152,21.030,0.828,0.248,77.39
N. de Préville,rw,33,0.735,0.150,0.250,0.152,20.909,0.850,0.265,76.64
V. Rongier,cam,32,0.880,0.316,0.333,0.125,40.000,0.891,0.120,84.53
A. Touré,cm,36,0.817,0.350,0.250,0.083,36.389,0.877,0.183,81.62
A. Kačaniklić,lam,9,0.773,0.500,0.167,0.111,9.778,0.821,0.227,78.35
M. Maignan,gk,34,0.895,0.000,0.000,0.000,21.206,0.924,0.105,81.34
F. Touré,rb,27,0.850,0.000,0.350,0.074,36.444,0.784,0.150,81.59
K. Djidji,cb,29,0.809,0.200,0.235,0.103,27.690,0.846,0.191,79.91
N. Pallois,cb,28,0.802,0.286,0.000,0.036,26.893,0.880,0.198,79.29
Thiago Mendes,cam,31,0.873,0.262,0.444,0.258,41.516,0.927,0.127,85.37
Edgar Ié,lb,35,0.856,0.000,0.261,0.000,48.114,0.927,0.144,83.70
I. Amadou,cdm,30,0.900,0.278,0.750,0.000,50.333,0.953,0.100,86.26
K. Malcuit,lb,23,0.801,0.182,0.372,0.261,44.870,0.830,0.199,82.35
Y. Benzia,rw,31,0.828,0.276,0.400,0.355,41.065,0.905,0.172,84.20
L. Dubois,lb,34,0.760,0.360,0.367,0.471,42.971,0.876,0.240,82.84
J. Iloki,lam,26,0.743,0.200,0.579,0.538,18.423,0.819,0.257,79.20
A. El Ghazi,lw,27,0.740,0.400,0.429,0.259,20.370,0.779,0.260,77.80
M. Dupé,gk,1,0.889,0.000,0.000,0.000,9.000,1.000,0.111,80.00
R. Kouamé,rb,6,0.866,0.000,0.000,0.167,21.167,0.855,0.134,80.35
A. Thomasson,ram,36,0.779,0.381,0.350,0.278,35.278,0.902,0.221,81.54
E. Ponce,st,27,0.810,0.250,0.000,0.185,8.593,0.723,0.190,77.47
C. Awaziem,cb,22,0.796,0.167,0.500,0.045,25.182,0.728,0.204,78.62
G. Gillet,rcm,1,1.000,0.000,0.000,0.000,12.000,1.000,0.000,80.33
Thiago Maia,rcm,34,0.868,0.208,0.600,0.000,48.471,0.867,0.132,84.49
I. Saadi,st,25,0.694,0.200,0.267,0.200,7.320,0.712,0.306,73.90
J. Martin,cm,36,0.884,0.344,0.300,0.167,44.000,0.940,0.116,85.95
K. Lala,cb,31,0.788,0.304,0.280,0.258,44.032,0.896,0.212,82.54
J. Aholou,cm,35,0.885,0.100,0.000,0.086,36.629,0.925,0.115,83.69
Sergi Darder,cm,38,0.836,0.184,0.273,0.105,40.000,0.881,0.164,82.74
Mariano Díaz,rw,34,0.747,0.389,0.167,0.294,12.882,0.814,0.253,76.99
Y. Salmier,cb,14,0.876,0.333,1.000,0.071,37.929,0.922,0.124,83.07
Marcelo,lb,35,0.900,0.308,0.333,0.057,59.143,0.946,0.100,87.76
D. Liénard,rcm,33,0.807,0.269,0.507,0.364,42.212,0.893,0.193,83.78
P. Martinez,rb,24,0.849,0.200,0.100,0.000,37.750,0.909,0.151,81.89
Rafael,lb,24,0.832,0.364,0.600,0.500,41.917,0.929,0.168,85.13
K. Mangane,lb,20,0.793,0.154,1.000,0.050,32.650,0.860,0.207,80.26
B. Corgnet,cam,18,0.702,0.192,0.312,0.278,27.556,0.797,0.298,77.65
L. Tousart,cdm,37,0.881,0.214,0.000,0.054,39.405,0.924,0.119,84.01
B. Traoré,lw,31,0.833,0.296,0.267,0.226,32.355,0.886,0.167,82.40
J. Morel,rb,33,0.912,0.083,0.000,0.000,56.212,0.948,0.088,86.65
Marçal,rb,18,0.849,0.250,0.312,0.278,45.944,0.919,0.151,83.92
M. Depay,rw,36,0.807,0.250,0.432,0.389,31.000,0.895,0.193,82.52
N. Fekir,cam,36,0.856,0.429,0.591,0.333,31.056,0.881,0.144,84.34
Nuno Da Costa,lw,25,0.695,0.182,0.625,0.120,13.000,0.689,0.305,74.33
A. Lopes,gk,34,0.879,0.000,0.000,0.000,18.941,0.907,0.121,80.40
B. Kamara,gk,19,0.836,0.000,0.000,0.000,18.632,0.909,0.164,79.11
M. Maolida,rw,13,0.807,0.500,0.500,0.231,10.385,0.751,0.193,79.15
I. Sacko,lw,20,0.785,0.333,0.333,0.150,13.050,0.803,0.215,78.04
A. Gonçalves,lam,29,0.712,0.435,0.323,0.241,25.138,0.808,0.288,77.36
M. Cornet,lw,30,0.800,0.143,0.385,0.267,16.133,0.812,0.200,78.96
S. Bahoken,st,25,0.718,0.000,0.391,0.240,11.360,0.785,0.282,75.46
J. Ferri,lcm,24,0.897,0.400,0.250,0.125,21.458,0.819,0.103,82.24
J. Marié,cm,27,0.849,0.000,0.300,0.074,32.333,0.930,0.151,81.71
W. Lautoa,cb,10,0.870,0.000,0.000,0.000,27.600,0.840,0.130,80.45
Kwon Chang-Hoon,lam,34,0.705,0.130,0.300,0.206,18.235,0.752,0.295,75.02
Luiz Gustavo,rcm,34,0.913,0.316,0.538,0.118,54.882,0.929,0.087,88.06
M. Sanson,cam,33,0.825,0.323,0.463,0.424,29.970,0.880,0.175,83.22
F. Thauvin,lw,36,0.772,0.262,0.371,0.722,46.028,0.887,0.228,85.16
M. Lopez,lcm,24,0.919,0.118,0.609,0.333,57.125,0.923,0.081,88.28
O. Haddadi,rb,34,0.773,0.500,0.468,0.294,35.059,0.839,0.227,81.35
H. Sakai,lb,36,0.837,0.143,0.379,0.167,37.639,0.911,0.163,82.96
B. Reynet,gk,38,0.874,0.167,0.000,0.000,28.132,0.904,0.126,81.73
S. Mandanda,gk,32,0.860,0.000,0.000,0.000,19.188,0.890,0.140,79.68
Rolando,rb,31,0.908,0.143,0.000,0.000,42.032,0.936,0.092,84.63
R. Amalfitano,cm,33,0.833,0.308,0.500,0.242,41.394,0.842,0.167,83.70
C. Yamberé,lb,32,0.867,0.263,1.000,0.000,39.031,0.912,0.133,83.85
W. Saïd,lw,28,0.760,0.600,0.400,0.143,16.679,0.868,0.240,78.05
V. Germain,lw,35,0.766,0.417,0.125,0.200,13.429,0.831,0.234,77.25
C. Varrault,lb,11,0.889,0.400,0.000,0.000,38.364,0.922,0.111,82.25
N. Sliti,ram,34,0.732,0.262,0.406,0.500,24.324,0.846,0.268,79.31
V. Rosier,cb,36,0.811,0.533,0.323,0.167,30.778,0.897,0.189,81.68
B. Jeannot,lw,22,0.742,0.429,0.167,0.182,12.864,0.840,0.258,76.96
C. N'Jie,rw,21,0.809,0.333,0.500,0.143,8.952,0.739,0.191,78.07
F. Sammaritano,cam,26,0.805,0.500,0.368,0.231,22.115,0.821,0.195,80.27
A. Zambo Anguissa,lcm,37,0.907,0.556,0.000,0.054,46.811,0.920,0.093,86.51
F. Balmont,lcm,21,0.859,0.545,0.500,0.048,23.286,0.886,0.141,81.46
G. Sertic,cdm,7,0.930,0.500,0.000,0.000,26.571,0.927,0.070,81.71
R. Cohade,lcm,38,0.813,0.237,0.490,0.289,48.789,0.916,0.187,84.69
M. Biševac,lb,10,0.877,0.667,1.000,0.100,31.000,0.908,0.123,82.40
B. Assou-Ekotto,rb,13,0.776,0.200,0.385,0.077,38.769,0.873,0.224,80.15
F. Diagne,cb,28,0.824,0.000,0.000,0.000,33.929,0.883,0.176,80.23
S. Falette,rb,28,0.819,0.296,0.222,0.036,42.786,0.882,0.181,81.95
G. Poblete,cm,25,0.893,0.333,0.400,0.040,33.160,0.892,0.107,83.36
Y. Jouffre,lam,4,0.867,0.500,0.600,0.500,41.250,0.942,0.133,81.95
Iván Balliu,lb,25,0.805,0.400,0.344,0.040,37.040,0.881,0.195,81.02
N. Roux,rw,35,0.750,0.400,0.462,0.200,19.971,0.826,0.250,77.77
L. Deaux,cm,26,0.847,0.211,0.571,0.154,42.423,0.926,0.153,83.73
J. Ikoko,cb,28,0.814,0.188,0.606,0.286,36.821,0.931,0.186,82.83
J. Sorbon,rb,29,0.896,0.000,0.000,0.000,36.483,0.909,0.104,83.08
L. Phiri,cm,22,0.927,0.500,0.000,0.045,28.182,0.915,0.073,83.73
C. Kerbrat,lb,37,0.849,0.273,0.250,0.000,43.811,0.889,0.151,83.24
Pedro Rebocho,rb,21,0.814,0.182,0.417,0.381,38.190,0.900,0.186,82.83
K. Johnsson,gk,38,0.841,0.000,0.000,0.000,17.500,0.885,0.159,78.69
T. Didillon,gk,9,0.913,0.000,0.000,0.000,15.333,0.906,0.087,80.57
G. Hein,ram,3,0.881,0.000,0.000,0.000,14.000,0.913,0.119,79.97
Y. Salibur,lam,22,0.817,0.333,0.346,0.364,24.818,0.841,0.183,81.38
M. Coco,cam,29,0.769,0.400,0.290,0.172,19.586,0.781,0.231,78.03
J. Briand,rw,37,0.769,0.194,0.154,0.270,24.838,0.855,0.231,79.03
R. Camara,cam,14,0.743,0.000,0.273,0.071,20.286,0.900,0.257,77.61
L. Blas,cam,31,0.866,0.278,0.600,0.065,29.677,0.870,0.134,82.45
I. Niane,rw,29,0.777,0.667,0.333,0.000,8.207,0.815,0.223,76.57
F. Mollet,cam,22,0.862,0.400,0.286,0.091,28.955,0.867,0.138,81.96
M. Diallo,cm,24,0.875,0.667,0.500,0.042,22.000,0.739,0.125,81.42
H. Diallo,lw,1,0.500,0.000,0.000,0.000,4.000,1.000,0.500,78.90
R. Falcao,st,30,0.811,0.158,0.500,0.133,19.767,0.906,0.189,79.61
D. Sidibé,lb,28,0.851,0.438,0.395,0.321,52.750,0.896,0.149,86.21
Jemerson,rb,33,0.893,0.143,0.000,0.030,39.182,0.945,0.107,84.08
Fabinho,cm,34,0.895,0.500,0.375,0.265,53.882,0.940,0.105,88.40
C. Jean,lw,32,0.732,0.400,0.375,0.281,14.000,0.739,0.268,76.45
F. Moubandje,rb,21,0.729,0.300,0.320,0.143,31.143,0.842,0.271,78.33
Rony Lopes,cam,38,0.743,0.381,0.261,0.289,20.447,0.816,0.257,77.78
A. Delort,st,32,0.655,0.267,0.429,0.531,20.125,0.838,0.345,76.30
C. Jullien,rb,30,0.855,0.167,0.250,0.067,36.733,0.868,0.145,82.42
Jorge,rb,22,0.755,0.375,0.487,0.273,36.227,0.887,0.245,80.67
T. Lemar,ram,31,0.816,0.306,0.269,0.355,38.452,0.916,0.184,83.47
K. Amian,cb,36,0.794,0.000,0.484,0.083,26.750,0.887,0.206,79.20
I. Sangaré,cm,20,0.777,0.235,0.333,0.100,38.850,0.884,0.223,80.40
Z. Machach,lam,4,0.714,0.000,0.333,0.250,10.500,0.858,0.286,78.67
A. Blin,cm,26,0.817,0.133,0.000,0.000,27.962,0.867,0.183,79.44
A. Lafont,gk,38,0.861,0.000,0.000,0.000,18.316,0.894,0.139,79.59
K. Mbappé,lw,35,0.797,0.462,0.429,0.743,24.657,0.878,0.203,83.71
S. Yago,lb,21,0.776,0.429,0.500,0.143,24.667,0.802,0.224,79.15
Somália,lam,27,0.813,0.429,0.389,0.259,21.444,0.871,0.187,80.75
Y. Bodiger,cam,7,0.729,0.500,0.000,0.000,13.714,0.694,0.271,77.59
Y. Sanogo,st,26,0.671,0.300,0.000,0.115,9.000,0.638,0.329,72.40
A. Saint-Maximin,lw,31,0.760,0.257,0.326,0.677,28.742,0.879,0.240,81.96
Y. Tielemans,lcm,30,0.831,0.310,0.000,0.167,29.733,0.845,0.169,81.21
S. Camara,st,23,0.729,0.125,0.500,0.174,9.783,0.675,0.271,75.24
K. Bérigaud,st,5,0.806,0.000,0.500,0.000,13.400,0.405,0.194,78.42
P. Lasne,rcm,37,0.831,0.136,0.367,0.108,45.216,0.900,0.169,83.33
J. Roussillon,rb,22,0.765,0.286,0.348,0.500,34.818,0.887,0.235,81.70
D. Congré,rb,32,0.854,0.250,0.167,0.031,37.812,0.843,0.146,82.31
Pedro Mendes,cb,34,0.846,0.389,0.333,0.000,38.382,0.878,0.154,82.54
N. Mukiele,lb,33,0.777,0.214,0.302,0.364,44.636,0.884,0.223,82.70
A. Djiku,rb,28,0.850,0.200,0.250,0.000,43.107,0.904,0.150,82.80
H. Bazile,rw,19,0.628,0.333,0.225,0.105,14.421,0.723,0.372,73.27
J. Féret,cm,37,0.835,0.281,0.500,0.216,40.189,0.915,0.165,83.94
V. Bessat,rcm,24,0.779,0.375,0.410,0.250,31.458,0.878,0.221,80.68
R. Genevois,lb,24,0.772,0.000,0.633,0.125,29.375,0.880,0.228,79.21
E. Skhiri,lcm,38,0.867,0.176,0.375,0.105,44.211,0.912,0.133,84.71
I. Mbenza,lw,37,0.733,0.200,0.500,0.054,15.189,0.823,0.267,75.25
J. Ikoné,lw,18,0.754,0.357,0.000,0.444,19.389,0.876,0.246,79.31
D. Avounou,rcm,9,0.736,0.400,0.167,0.111,26.111,0.855,0.264,78.74
B. Lecomte,gk,38,0.835,0.000,0.000,0.000,18.289,0.857,0.165,78.42
R. Rodelin,st,37,0.743,0.375,0.452,0.378,33.000,0.873,0.257,80.48
J. Delaplace,lcm,12,0.748,0.333,0.400,0.167,17.500,0.852,0.252,78.31
I. Santini,st,32,0.705,0.231,0.000,0.094,18.344,0.853,0.295,74.91
F. Guilbert,lb,36,0.745,0.167,0.459,0.139,31.917,0.894,0.255,78.71
R. Vercoutre,gk,35,0.824,0.000,0.000,0.000,16.543,0.848,0.176,77.80
C. Ninga,rw,27,0.730,0.000,0.111,0.111,9.037,0.756,0.270,74.34
C. Kouakou,lw,19,0.719,0.000,0.333,0.053,7.684,0.718,0.281,74.51
S. Peeters,rcm,20,0.744,0.190,0.286,0.100,21.650,0.835,0.256,77.40
S. Sessègnon,cam,16,0.839,0.300,0.667,0.188,27.188,0.850,0.161,81.40
A. Mbengue,rb,19,0.646,0.182,0.353,0.211,32.368,0.794,0.354,76.20
