Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
A. Christensen,cb,31,0.912,0.538,0.000,0.700,0.852,0.088,83.790
Álvaro Morata,st,35,0.617,0.312,0.057,0.409,0.427,0.383,61.011
S. Arfield,ram,18,0.583,0.400,0.000,0.667,0.641,0.417,65.704
J. Walters,st,5,0.609,0.500,0.000,0.636,0.134,0.391,68.335
J. Riedewald,rb,12,0.703,0.455,0.000,0.727,0.734,0.297,71.795
L. Milivojević,cm,38,0.780,0.429,0.026,0.632,0.860,0.220,76.042
P. van Aanholt,rb,27,0.575,0.333,0.222,0.364,0.763,0.425,65.870
C. Benteke,st,33,0.641,0.467,0.000,0.700,0.622,0.359,68.171
C. Löwe,rb,23,0.637,0.500,0.043,0.354,0.564,0.363,68.104
T. Ince,cam,33,0.682,0.500,0.061,0.586,0.613,0.318,71.094
A. Mooy,cm,39,0.712,0.500,0.128,0.477,0.751,0.288,74.503
T. Smith,lb,24,0.620,0.533,0.167,0.542,0.681,0.380,71.286
W. Hennessey,gk,32,0.739,0.385,0.031,0.700,0.806,0.261,72.767
J. Ward,lb,19,0.584,0.385,0.000,0.405,0.742,0.416,65.415
R. Loftus-Cheek,cam,28,0.719,0.333,0.107,0.571,0.679,0.281,70.081
P. Billing,rcm,16,0.683,0.583,0.062,0.625,0.725,0.317,73.810
M. Jørgensen,lb,41,0.750,0.409,0.000,0.636,0.809,0.250,73.332
C. Schindler,cb,37,0.805,0.385,0.000,0.636,0.791,0.195,74.947
K. Palmer,cam,4,0.677,0.545,0.000,0.700,0.647,0.323,71.812
J. Lössl,gk,38,0.764,0.438,0.026,0.700,0.821,0.236,75.364
S. Dann,cb,17,0.739,0.438,0.000,0.727,0.827,0.261,73.424
T. Fosu-Mensah,lb,21,0.602,0.350,0.190,0.524,0.699,0.398,67.277
S. Mounié,st,28,0.695,0.500,0.071,0.500,0.577,0.305,71.183
J. Puncheon,ram,9,0.702,0.583,0.000,0.667,0.506,0.298,72.076
W. Zaha,ram,29,0.603,0.429,0.207,0.491,0.524,0.397,66.946
E. Kachunga,lw,19,0.565,0.455,0.105,0.458,0.312,0.435,63.847
A. Townsend,lam,36,0.569,0.429,0.167,0.386,0.692,0.431,65.943
D. Williams,cm,19,0.724,0.385,0.000,0.750,0.454,0.276,68.904
C. Quaner,lw,25,0.586,0.462,0.040,0.588,0.367,0.414,63.979
J. Tomkins,cb,28,0.775,0.500,0.000,0.667,0.778,0.225,76.034
R. van La Parra,ram,32,0.584,0.467,0.125,0.356,0.507,0.416,65.107
M. Keane,cb,30,0.785,0.400,0.000,0.643,0.849,0.215,74.863
D. Fletcher,cm,27,0.753,0.385,0.037,0.522,0.820,0.247,72.907
D. Calvert-Lewin,st,32,0.656,0.385,0.031,0.727,0.378,0.344,64.907
I. Gueye,cm,36,0.789,0.250,0.056,0.591,0.820,0.211,71.804
W. Rooney,rw,35,0.757,0.348,0.171,0.683,0.846,0.243,75.021
G. Cameron,cb,20,0.665,0.381,0.000,0.381,0.670,0.335,67.443
J. Butland,gk,35,0.719,0.462,0.000,0.700,0.778,0.281,73.064
D. Klaassen,cm,7,0.659,0.455,0.000,0.538,0.416,0.341,69.094
M. Schneiderlin,cm,30,0.776,0.375,0.000,0.692,0.668,0.224,72.233
E. Pieters,rb,31,0.624,0.273,0.097,0.478,0.716,0.376,64.454
Bojan,rw,14,0.696,0.462,0.071,0.667,0.544,0.304,70.864
K. Zouma,cb,33,0.760,0.500,0.000,0.625,0.732,0.240,74.998
X. Shaqiri,lam,44,0.705,0.431,0.318,0.386,0.809,0.295,75.616
J. Pickford,gk,45,0.725,0.429,0.000,0.700,0.807,0.275,72.886
A. Williams,cb,29,0.792,0.333,0.034,0.700,0.821,0.208,73.951
P. Jagielka,cb,24,0.745,0.318,0.000,0.500,0.845,0.255,70.817
L. Baines,rb,22,0.703,0.526,0.318,0.465,0.824,0.297,77.117
S. Berahino,st,15,0.641,0.500,0.000,0.643,0.234,0.359,66.690
R. Shawcross,cb,27,0.710,0.385,0.000,0.636,0.793,0.290,70.809
J. Allen,cm,42,0.761,0.400,0.048,0.556,0.789,0.239,73.799
M. Diouf,lw,36,0.483,0.500,0.028,0.400,0.396,0.517,58.811
Sandro,rw,21,0.588,0.438,0.000,0.421,0.351,0.412,63.005
Cuco Martina,cb,21,0.662,0.375,0.238,0.569,0.791,0.338,71.481
T. Davies,cam,33,0.721,0.400,0.000,0.562,0.689,0.279,70.260
E. Choupo-Moting,rw,29,0.628,0.500,0.103,0.400,0.576,0.372,68.476
P. Crouch,st,31,0.574,0.500,0.032,0.727,0.264,0.426,63.084
K. Mirallas,cam,5,0.676,0.500,0.000,0.636,0.293,0.324,69.999
Juan Mata,lam,28,0.767,0.423,0.179,0.483,0.661,0.233,74.560
H. Mkhitaryan,cam,26,0.669,0.444,0.077,0.385,0.767,0.331,70.449
N. Matić,rcm,39,0.843,0.378,0.077,0.556,0.884,0.157,78.404
P. Pogba,cam,40,0.783,0.309,0.425,0.438,0.880,0.217,78.481
P. Jones,cb,25,0.898,0.385,0.000,0.538,0.918,0.102,79.084
D. Blind,rb,6,0.667,0.500,0.167,0.667,0.703,0.333,72.324
E. Bailly,lb,11,0.786,0.417,0.182,0.727,0.813,0.214,75.483
A. Ogbonna,cb,33,0.786,0.400,0.030,0.727,0.851,0.214,75.716
M. Noble,cm,29,0.799,0.455,0.034,0.550,0.814,0.201,76.476
