Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
D. Sánchez,cb,35,0.857,0.462,0.000,0.615,0.792,0.143,79.017
C. Cathcart,cb,11,0.732,0.429,0.000,0.700,0.779,0.268,72.407
L. Rosenior,lb,3,0.659,0.455,0.000,0.700,0.941,0.341,71.814
A. Carrillo,lam,31,0.661,0.286,0.097,0.475,0.596,0.339,65.110
J. Izquierdo,rw,32,0.637,0.417,0.062,0.556,0.485,0.363,65.819
T. Deeney,rw,28,0.618,0.391,0.071,0.692,0.593,0.382,66.337
J. Morrison,cam,4,0.727,0.500,0.000,0.700,0.878,0.273,72.866
O. Burke,lam,14,0.605,0.500,0.000,0.667,0.104,0.395,64.873
G. Krychowiak,cm,35,0.799,0.294,0.143,0.650,0.748,0.201,74.011
J. Evans,cb,32,0.787,0.357,0.000,0.765,0.743,0.213,73.316
K. Gibbs,rb,33,0.613,0.250,0.091,0.462,0.727,0.387,63.255
N. Pope,gk,35,0.734,0.429,0.029,0.700,0.810,0.266,73.640
L. Lumeka,rw,1,0.565,0.500,0.000,0.667,1.000,0.435,71.560
N. Vlašić,lam,12,0.638,0.500,0.083,0.529,0.498,0.362,69.418
D. Zappacosta,lb,23,0.656,0.455,0.174,0.576,0.442,0.344,69.003
E. Hazard,rw,45,0.836,0.480,0.089,0.615,0.861,0.164,81.122
C. Bravo,gk,3,0.769,0.500,0.000,0.700,0.887,0.231,73.100
E. Mangala,rb,12,0.872,0.417,0.000,0.700,0.840,0.128,76.598
A. Mariappa,cb,28,0.729,0.538,0.036,0.643,0.696,0.271,74.612
K. Wimmer,rb,18,0.740,0.357,0.000,0.583,0.626,0.260,69.937
M. Darmian,cb,9,0.648,0.417,0.000,0.667,0.382,0.352,67.899
Jesús Gámez,rb,2,0.650,0.500,0.000,0.600,0.960,0.350,71.894
Renato Sanches,cam,18,0.743,0.278,0.000,0.385,0.759,0.257,69.076
W. Bony,lw,15,0.686,0.529,0.067,0.700,0.713,0.314,73.027
José Fonte,cb,16,0.754,0.312,0.000,0.667,0.856,0.246,71.685
A. Carroll,st,16,0.628,0.500,0.062,0.500,0.450,0.372,68.054
S. Malone,rb,21,0.636,0.455,0.048,0.300,0.513,0.364,66.728
A. Sabiri,cam,5,0.659,0.455,0.000,0.727,0.363,0.341,69.694
B. Sako,cam,16,0.552,0.385,0.188,0.636,0.212,0.448,63.284
B. Chilwell,rb,24,0.600,0.350,0.250,0.415,0.659,0.400,66.997
L. Depoitre,lw,30,0.592,0.500,0.000,0.700,0.337,0.408,64.162
J. Hogg,cdm,30,0.821,0.278,0.033,0.667,0.826,0.179,73.802
Philippe Coutinho,rw,37,0.795,0.324,0.270,0.656,0.806,0.205,77.039
A. Young,rb,34,0.685,0.389,0.206,0.477,0.805,0.315,72.146
D. Yedlin,lb,34,0.558,0.353,0.176,0.484,0.657,0.442,63.803
S. Aurier,lb,17,0.627,0.458,0.176,0.422,0.747,0.373,70.494
Fernando Llorente,st,16,0.533,0.500,0.000,0.636,0.000,0.467,61.194
İ. Gündoğan,cam,31,0.871,0.417,0.065,0.750,0.850,0.129,80.186
F. Hadergjonaj,lb,23,0.591,0.348,0.565,0.487,0.677,0.409,70.870
J. Stanislas,cam,19,0.646,0.480,0.158,0.500,0.525,0.354,69.684
O. Niasse,st,21,0.542,0.417,0.000,0.611,0.294,0.458,60.944
J. Kenny,lb,19,0.647,0.294,0.158,0.524,0.796,0.353,68.419
M. Sakho,rb,19,0.806,0.400,0.000,0.700,0.825,0.194,75.061
F. Delph,ram,26,0.856,0.438,0.077,0.500,0.832,0.144,78.755
C. Smalling,cb,33,0.853,0.357,0.000,0.700,0.869,0.147,77.290
G. Johnson,lb,8,0.594,0.429,0.125,0.591,0.622,0.406,69.143
I. Afellay,lcm,6,0.750,0.500,0.000,0.700,0.157,0.250,70.579
M. Wagué,lb,7,0.784,0.455,0.000,0.727,0.847,0.216,73.961
L. Cook,cm,28,0.788,0.375,0.143,0.630,0.820,0.212,75.859
Vicente Iborra,cm,19,0.810,0.438,0.053,0.769,0.877,0.190,77.142
G. Bong,rb,25,0.579,0.263,0.040,0.477,0.675,0.421,61.914
E. Schelotto,lb,20,0.663,0.545,0.150,0.448,0.537,0.337,71.408
D. Whitehead,cdm,4,0.775,0.500,0.000,0.700,0.961,0.225,73.761
D. Delaney,rb,2,0.750,0.500,0.000,0.700,0.951,0.250,72.679
V. van Dijk,cb,25,0.856,0.391,0.040,0.667,0.896,0.144,78.280
U. Hünemeier,cb,1,0.609,0.500,0.000,0.700,1.000,0.391,71.741
J. Speroni,gk,11,0.682,0.500,0.000,0.700,0.757,0.318,71.990
C. Musonda,ram,2,0.640,0.500,0.000,0.700,0.529,0.360,71.118
N. Chadli,cam,11,0.714,0.417,0.091,0.636,0.465,0.286,70.407
G. Myhill,gk,1,0.679,0.500,0.000,0.700,1.000,0.321,72.016
G. McAuley,cb,13,0.720,0.429,0.000,0.727,0.605,0.280,70.973
T. Edwards,lb,6,0.494,0.455,0.000,0.409,0.643,0.506,67.181
Y. Touré,cam,9,0.853,0.375,0.000,0.700,0.912,0.147,75.251
Sung-Yeung Ki,cm,27,0.848,0.353,0.000,0.533,0.765,0.152,75.073
N. Dyer,lam,24,0.617,0.417,0.042,0.483,0.619,0.383,66.376
P. Mertesacker,cb,6,0.912,0.500,0.000,0.700,0.940,0.088,76.851
A. Lookman,ram,18,0.663,0.583,0.167,0.667,0.640,0.337,73.767
J. Wilshere,cam,23,0.764,0.324,0.087,0.769,0.824,0.236,73.376
V. Lindelöf,cb,22,0.859,0.500,0.045,0.467,0.799,0.141,78.942
C. Wilson,st,28,0.542,0.500,0.036,0.643,0.208,0.458,61.286
D. Drinkwater,cm,12,0.808,0.471,0.000,0.727,0.798,0.192,75.415
B. Baningime,lcm,8,0.717,0.500,0.000,0.700,0.666,0.283,72.261
W. Hughes,lam,15,0.710,0.400,0.000,0.692,0.669,0.290,70.495
C. Adam,rcm,11,0.614,0.350,0.273,0.536,0.428,0.386,67.828
O. Karnezis,gk,15,0.754,0.500,0.000,0.700,0.812,0.246,74.713
M. Cranie,cb,3,0.685,0.455,0.000,0.700,0.102,0.315,69.990
D. Rose,rb,18,0.679,0.500,0.167,0.429,0.496,0.321,70.911
P. Gazzaniga,gk,1,0.656,0.500,0.000,0.700,1.000,0.344,71.929
L. Grant,gk,3,0.712,0.500,0.000,0.700,0.849,0.288,72.404
R. Aarons,cam,14,0.596,0.455,0.000,0.529,0.333,0.404,65.158
Z. Ibrahimović,st,8,0.727,0.462,0.000,0.667,0.906,0.273,73.204
M. Zeegelaar,rb,12,0.658,0.583,0.250,0.586,0.724,0.342,74.389
A. Lallana,cam,15,0.671,0.545,0.067,0.500,0.484,0.329,70.610
P. Bardsley,lb,13,0.639,0.357,0.385,0.688,0.770,0.361,72.086
E. Lamela,lam,25,0.739,0.438,0.080,0.500,0.738,0.261,73.194
H. Choudhury,cdm,8,0.705,0.429,0.000,0.583,0.555,0.295,70.339
M. Rojo,rb,12,0.788,0.462,0.000,0.727,0.782,0.212,74.621
K. Darlow,gk,10,0.753,0.500,0.000,0.700,0.839,0.247,74.267
J. Pied,lb,2,0.647,0.500,0.500,0.643,0.879,0.353,72.931
Adrián,gk,19,0.714,0.385,0.000,0.700,0.856,0.286,71.786
K. Long,cb,16,0.736,0.417,0.000,0.583,0.754,0.264,71.984
D. Ings,lw,8,0.659,0.545,0.000,0.667,0.709,0.341,71.690
L. Ulloa,rw,12,0.737,0.500,0.000,0.700,0.853,0.263,74.190
C. Taylor,rb,11,0.649,0.417,0.182,0.724,0.744,0.351,71.396
E. Ampadu,cb,1,0.724,0.500,0.000,0.700,1.000,0.276,72.196
O. Zinchenko,ram,11,0.804,0.583,0.091,0.471,0.888,0.196,77.594
A. Maitland-Niles,rcm,14,0.789,0.500,0.143,0.667,0.657,0.211,75.864
L. Shaw,rb,11,0.664,0.429,0.000,0.625,0.750,0.336,70.268
S. McTominay,lcm,12,0.817,0.438,0.000,0.467,0.849,0.183,74.912
B. Kayal,cm,18,0.679,0.429,0.056,0.714,0.527,0.321,69.353
P. Foden,ram,4,0.667,0.500,0.000,0.615,0.783,0.333,71.675
J. Tymon,rb,3,0.634,0.455,0.000,0.538,0.048,0.366,69.186
C. Goldson,lb,3,0.615,0.417,0.000,0.636,0.799,0.385,70.725
J. Sinclair,st,4,0.591,0.500,0.000,0.700,0.000,0.409,68.285
N. Wells,st,7,0.625,0.500,0.000,0.700,0.333,0.375,68.779
J. Simpson,rb,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
M. Targett,rb,2,0.667,0.462,0.000,0.727,0.951,0.333,71.919
J. Lolley,ram,5,0.625,0.500,0.000,0.533,0.603,0.375,70.223
H. Saivet,cdm,1,0.593,0.500,0.000,0.700,1.000,0.407,71.678
C. Chambers,cb,12,0.820,0.438,0.083,0.615,0.829,0.180,75.942
A. Dragović,lb,14,0.852,0.385,0.000,0.692,0.672,0.148,74.625
Y. Bolasie,ram,16,0.446,0.462,0.062,0.400,0.385,0.554,60.658
J. McCarthy,cm,8,0.690,0.417,0.000,0.667,0.795,0.310,71.269
Adrien Silva,cam,20,0.822,0.529,0.100,0.688,0.716,0.178,78.460
G. N'Koudou,rw,8,0.652,0.500,0.000,0.643,0.781,0.348,71.331
A. Pritchard,cam,14,0.603,0.333,0.214,0.579,0.672,0.397,67.989
T. Kongolo,rb,16,0.673,0.455,0.062,0.474,0.709,0.327,70.625
S. Ireland,cm,4,0.615,0.455,0.000,0.636,0.796,0.385,70.722
M. Bauer,lb,15,0.592,0.412,0.600,0.474,0.622,0.408,72.071
C. Roberts,lb,4,0.518,0.500,0.000,0.562,0.302,0.482,68.125
C. Tosun,st,16,0.586,0.500,0.062,0.727,0.241,0.414,65.661
S. Baldock,rw,1,0.571,0.500,0.000,0.700,1.000,0.429,71.595
R. Nelson,lam,3,0.706,0.500,0.000,0.636,0.899,0.294,72.414
W. Caballero,gk,5,0.753,0.500,0.000,0.700,0.826,0.247,73.276
Brahim Diaz,ram,5,0.609,0.500,0.000,0.636,0.134,0.391,68.335
M. Vorm,gk,1,0.710,0.500,0.000,0.700,1.000,0.290,72.139
S. Byram,lb,5,0.547,0.500,0.200,0.688,0.730,0.453,70.666
R. Oxford,lb,7,0.713,0.417,0.000,0.615,0.723,0.287,71.340
R. Barkley,lam,2,0.677,0.500,0.500,0.636,0.809,0.323,73.029
C. Hudson-Odoi,ram,2,0.621,0.545,0.000,0.667,0.614,0.379,71.294
S. Coleman,lb,16,0.633,0.412,0.125,0.531,0.762,0.367,69.767
F. Diabaté,rw,14,0.683,0.455,0.071,0.714,0.443,0.317,69.760
Kenedy,ram,13,0.692,0.467,0.308,0.630,0.677,0.308,73.923
G. Carrillo,st,18,0.614,0.545,0.000,0.700,0.292,0.386,66.782
A. Laporte,rb,28,0.856,0.333,0.107,0.571,0.907,0.144,77.915
Deulofeu,lw,17,0.719,0.375,0.176,0.619,0.719,0.281,72.335
B. N'Diaye,rcm,14,0.729,0.467,0.071,0.643,0.784,0.271,73.638
K. Stafylidis,rb,7,0.641,0.500,0.000,0.571,0.493,0.359,69.651
P. Aubameyang,st,29,0.539,0.400,0.138,0.405,0.409,0.461,61.300
D. Ospina,gk,9,0.769,0.500,0.000,0.700,0.833,0.231,74.451
A. Sørloth,rw,4,0.562,0.545,0.000,0.615,0.905,0.438,71.012
M. Dúbravka,gk,12,0.790,0.500,0.000,0.700,0.825,0.210,75.484
M. Carrick,cm,2,0.733,0.556,0.000,0.700,0.880,0.267,72.660
D. Lukebakio,lam,1,0.652,0.500,0.000,0.700,1.000,0.348,71.913
J. Locadia,lw,6,0.600,0.500,0.000,0.636,0.352,0.400,68.624
J. Sims,lam,5,0.679,0.500,0.200,0.667,0.818,0.321,73.040
A. Wan-Bissaka,lb,7,0.593,0.500,0.143,0.545,0.644,0.407,70.282
Lucas Moura,lw,11,0.708,0.583,0.091,0.667,0.742,0.292,74.540
T. Campbell,lw,4,0.522,0.500,0.000,0.700,0.000,0.478,67.368
P. Evra,rb,15,0.671,0.429,0.067,0.640,0.646,0.329,70.115
Emerson,rb,5,0.593,0.500,0.000,0.522,0.742,0.407,70.219
K. Mavropanos,cb,3,0.750,0.500,0.000,0.700,0.875,0.250,72.869
E. Jakupovic,gk,2,0.700,0.500,0.000,0.700,0.777,0.300,72.001
J. Bednarek,cb,8,0.822,0.500,0.000,0.700,0.876,0.178,75.652
N. Clyne,lb,4,0.692,0.545,0.000,0.588,0.797,0.308,72.364
B. Hamer,gk,4,0.712,0.455,0.000,0.700,0.681,0.288,71.704
J. Willock,rcm,2,0.724,0.545,0.000,0.700,1.000,0.276,72.761
Ramiro Funes Mori,rb,4,0.659,0.455,0.000,0.700,0.309,0.341,69.824
H. Barnes,ram,2,0.591,0.500,0.000,0.700,0.000,0.409,69.822
Y. Benalouane,lb,2,0.556,0.455,0.000,0.636,0.782,0.444,70.716
E. Hyndman,cm,1,0.643,0.500,0.000,0.700,1.000,0.357,71.876
P. Souaré,rb,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
B. Woodburn,lw,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
S. Romero,gk,1,0.586,0.500,0.000,0.700,1.000,0.414,71.653
L. Sørensen,cdm,1,0.707,0.455,0.000,0.700,1.000,0.293,72.030
A. Griezmann,st,46,0.762,0.474,0.130,0.452,0.757,0.238,76.337
C. Săpunaru,lb,3,0.628,0.455,0.000,0.467,0.698,0.372,70.685
C. Tătărușanu,gk,40,0.803,0.500,0.000,0.700,0.838,0.197,78.617
R. Raț,rb,2,0.636,0.500,0.000,0.714,0.845,0.364,71.658
D. Grigore,rb,3,0.704,0.500,0.000,0.700,0.804,0.296,72.210
O. Hoban,cam,3,0.675,0.385,0.000,0.700,0.780,0.325,71.170
M. Pintilii,cm,2,0.514,0.455,0.000,0.700,0.880,0.486,70.614
V. Chiricheș,cb,10,0.889,0.417,0.000,0.700,0.987,0.111,77.418
B. Sagna,lb,20,0.824,0.500,0.200,0.590,0.838,0.176,79.846
A. Rami,lb,37,0.820,0.276,0.054,0.571,0.897,0.180,74.583
B. Stancu,rw,3,0.514,0.500,0.000,0.700,0.128,0.486,68.527
N. Stanciu,cam,2,0.512,0.462,0.500,0.667,0.764,0.488,71.585
D. Payet,cam,38,0.718,0.508,0.658,0.543,0.795,0.282,83.276
B. Matuidi,ram,46,0.856,0.391,0.043,0.378,0.807,0.144,77.601
F. Andone,rw,30,0.468,0.500,0.033,0.500,0.000,0.532,55.371
A. Popa,lam,2,0.607,0.500,0.000,0.583,0.418,0.393,70.610
K. Coman,rw,27,0.709,0.467,0.296,0.582,0.674,0.291,75.079
D. Alibec,rw,2,0.577,0.455,0.000,0.636,0.529,0.423,70.426
A. Chipciu,ram,2,0.519,0.500,0.000,0.571,0.394,0.481,69.905
G. Torje,lam,3,0.600,0.455,0.000,0.667,0.118,0.400,69.109
T. Xhaka,cam,2,0.724,0.500,0.000,0.700,1.000,0.276,72.574
A. Sadiku,st,9,0.615,0.583,0.000,0.700,0.311,0.385,68.986
L. Cana,cb,2,0.621,0.500,0.000,0.700,0.674,0.379,71.231
B. Kukeli,cdm,2,0.708,0.417,0.000,0.700,0.972,0.292,72.065
J. Djourou,cb,5,0.841,0.417,0.000,0.636,0.958,0.159,74.360
F. Schär,cb,32,0.779,0.325,0.062,0.667,0.838,0.221,73.684
R. Rodríguez,rb,42,0.745,0.550,0.214,0.433,0.826,0.255,79.337
Y. Sommer,gk,38,0.819,0.385,0.000,0.700,0.890,0.181,76.879
V. Behrami,cdm,28,0.834,0.316,0.000,0.700,0.724,0.166,73.839
H. Seferović,st,6,0.612,0.400,0.167,0.615,0.331,0.388,68.676
A. Mehmedi,lw,21,0.723,0.500,0.143,0.526,0.634,0.277,73.699
B. Džemaili,cam,23,0.726,0.409,0.087,0.643,0.653,0.274,71.786
S. Lichtsteiner,lb,34,0.708,0.391,0.118,0.437,0.716,0.292,70.940
E. Hysaj,lb,38,0.756,0.323,0.158,0.429,0.793,0.244,72.714
A. Abrashi,cm,15,0.731,0.462,0.133,0.667,0.489,0.269,72.172
O. Roshi,lam,3,0.562,0.500,0.000,0.750,0.556,0.438,70.144
E. Berisha,gk,34,0.808,0.455,0.000,0.700,0.853,0.192,77.549
M. Mavraj,cb,20,0.793,0.500,0.000,0.692,0.796,0.207,76.396
A. Agolli,rb,3,0.508,0.417,0.000,0.350,0.415,0.492,68.403
E. Lenjani,rb,3,0.583,0.500,0.000,0.615,0.867,0.417,71.028
B. Embolo,lw,29,0.659,0.467,0.034,0.692,0.412,0.341,67.409
E. Kaçe,cm,1,0.640,0.500,0.000,0.636,1.000,0.360,71.845
F. Frei,cm,12,0.764,0.312,0.083,0.636,0.784,0.236,72.175
S. Gashi,lam,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
G. Fernandes,cm,22,0.808,0.500,0.000,0.700,0.661,0.192,75.949
A. Prepeliță,cm,2,0.639,0.500,0.000,0.700,0.456,0.361,70.982
C. Keșerü,rw,1,0.571,0.500,0.000,0.636,1.000,0.429,71.575
S. Filip,rb,1,0.630,0.500,1.000,0.727,1.000,0.370,73.082
M. Lang,lb,5,0.723,0.500,0.000,0.688,0.815,0.277,72.760
A. Ajeti,cb,22,0.776,0.500,0.000,0.700,0.664,0.224,74.798
A. Lila,lam,2,0.577,0.500,0.500,0.636,1.000,0.423,72.622
L. Memushaj,cm,19,0.686,0.455,0.105,0.478,0.696,0.314,71.384
A. Gignac,st,6,0.556,0.500,0.000,0.583,0.108,0.444,66.701
F. Veseli,lb,1,0.636,0.500,0.000,0.700,1.000,0.364,71.850
M. Basha,cdm,1,0.636,0.500,0.000,0.700,1.000,0.364,71.850
A. Mățel,rb,1,0.778,0.500,0.000,0.700,1.000,0.222,72.407
L. Sânmărtean,ram,1,0.571,0.455,0.000,0.636,1.000,0.429,71.475
B. Balaj,lw,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
M. Ďuriš,lw,3,0.625,0.500,0.000,0.700,1.000,0.375,71.869
M. Hamšík,ram,42,0.803,0.304,0.167,0.485,0.788,0.197,74.716
M. Škrtel,lb,4,0.844,0.455,0.000,0.636,0.941,0.156,74.211
J. Ďurica,rb,4,0.784,0.455,0.000,0.700,0.756,0.216,72.904
M. Kozáčik,gk,4,0.693,0.500,0.000,0.700,0.830,0.307,72.264
J. Williams,cam,3,0.593,0.500,0.000,0.692,0.500,0.407,70.272
D. Edwards,cdm,3,0.586,0.455,0.000,0.700,0.000,0.414,68.696
J. Chester,cb,6,0.806,0.500,0.000,0.700,0.862,0.194,74.605
G. Bale,lw,32,0.636,0.409,0.312,0.444,0.585,0.364,69.632
P. Pekarík,lb,21,0.710,0.462,0.190,0.600,0.758,0.290,74.261
P. Hrošovský,lcm,2,0.767,0.455,0.000,0.727,0.982,0.233,72.692
N. Taylor,rb,6,0.687,0.417,0.500,0.591,0.717,0.313,73.709
R. Mak,lw,3,0.649,0.455,0.000,0.700,0.716,0.351,71.143
V. Weiss,rw,4,0.615,0.545,0.000,0.700,0.612,0.385,70.878
J. Kucka,lcm,4,0.697,0.417,0.250,0.700,0.868,0.303,72.876
D. Švento,rb,3,0.581,0.500,0.333,0.727,0.529,0.419,71.358
C. Gunter,lb,6,0.692,0.417,0.000,0.583,0.675,0.308,70.758
D. Ward,gk,1,0.676,0.500,0.000,0.700,1.000,0.324,72.008
O. Duda,cam,20,0.725,0.333,0.050,0.571,0.662,0.275,69.682
A. Nemec,st,2,0.583,0.500,0.000,0.700,0.000,0.417,69.765
J. Ledley,rcm,6,0.849,0.545,0.000,0.636,0.854,0.151,75.717
M. Stoch,ram,1,0.609,0.500,0.000,0.700,1.000,0.391,71.741
A. Golovin,cam,7,0.632,0.385,0.000,0.526,0.681,0.368,69.010
S. Ignashevich,cb,8,0.835,0.455,0.000,0.667,0.886,0.165,75.382
I. Akinfeev,gk,8,0.709,0.417,0.000,0.700,0.782,0.291,71.659
G. Shchennikov,rb,2,0.736,0.500,0.000,0.733,0.929,0.264,72.556
R. Neustädter,cb,2,0.729,0.455,0.000,0.700,0.878,0.271,72.209
A. Dzyuba,st,8,0.600,0.500,0.000,0.700,0.452,0.400,68.571
A. Kokorin,lw,3,0.609,0.500,0.333,0.533,0.720,0.391,71.970
O. Shatov,cam,2,0.702,0.455,0.000,0.643,0.985,0.298,72.163
I. Smolnikov,lb,4,0.647,0.455,0.250,0.524,0.749,0.353,71.927
V. Berezutski,cb,3,0.866,0.385,0.000,0.636,0.944,0.134,73.534
F. Smolov,rw,8,0.596,0.545,0.000,0.647,0.525,0.404,69.329
R. Shirokov,cam,3,0.556,0.500,0.000,0.636,0.134,0.444,68.922
D. Glushakov,cam,3,0.782,0.500,0.000,0.500,0.844,0.218,72.960
P. Mamaev,cam,3,0.754,0.462,0.333,0.727,0.714,0.246,73.417
T. Hubočan,rb,3,0.564,0.455,0.000,0.583,0.535,0.436,69.705
V. Pečovský,cdm,2,0.714,0.500,0.000,0.700,0.864,0.286,72.261
N. Gyömbér,rb,2,0.679,0.500,0.000,0.700,1.000,0.321,72.236
D. Kombarov,rb,1,0.610,0.455,0.000,0.500,1.000,0.390,71.584
A. Berezutski,cb,1,0.667,0.500,0.000,0.700,1.000,0.333,71.970
A. Samedov,lam,6,0.714,0.500,0.000,0.750,0.721,0.286,72.424
S. Church,rw,2,0.619,0.500,0.000,0.700,1.000,0.381,71.795
C. Baird,cb,1,0.607,0.500,0.000,0.700,1.000,0.393,71.735
Ł. Piszczek,lb,30,0.715,0.533,0.133,0.397,0.791,0.285,75.425
A. Milik,st,21,0.701,0.538,0.095,0.562,0.531,0.299,72.317
W. Szczęsny,gk,20,0.851,0.455,0.000,0.700,0.906,0.149,78.542
J. Błaszczykowski,lam,15,0.706,0.357,0.200,0.522,0.705,0.294,71.463
R. Lewandowski,st,38,0.697,0.417,0.026,0.450,0.682,0.303,69.430
M. Pazdan,rb,7,0.833,0.462,0.000,0.583,0.920,0.167,75.139
A. Jędrzejczyk,rb,6,0.651,0.500,0.167,0.474,0.838,0.349,72.348
O. Norwood,rcm,4,0.702,0.455,0.000,0.667,0.903,0.298,72.236
K. Glik,lb,43,0.776,0.281,0.000,0.700,0.871,0.224,72.183
B. Kapustka,cam,10,0.528,0.500,0.000,0.643,0.443,0.472,66.115
S. Ferguson,rcm,1,0.552,0.500,0.000,0.636,1.000,0.448,71.497
K. Mączyński,cm,4,0.672,0.500,0.000,0.667,0.865,0.328,72.062
M. McGovern,gk,4,0.772,0.455,0.000,0.700,0.878,0.228,73.125
P. McNair,cb,2,0.571,0.500,0.000,0.700,1.000,0.429,71.442
C. McLaughlin,lb,1,0.556,0.455,0.000,0.700,1.000,0.444,71.433
K. Lafferty,st,3,0.542,0.500,0.000,0.700,0.000,0.458,68.494
S. Dallas,ram,4,0.435,0.500,0.000,0.529,0.139,0.565,66.475
C. Washington,st,4,0.565,0.500,0.000,0.700,0.000,0.435,67.945
J. Ward,lam,4,0.556,0.545,0.000,0.615,0.161,0.444,68.572
T. Jodłowiec,rcm,5,0.636,0.500,0.000,0.700,0.302,0.364,69.481
K. Grosicki,ram,8,0.518,0.455,0.000,0.667,0.372,0.482,65.742
J. Boateng,lb,27,0.836,0.441,0.296,0.595,0.907,0.164,81.955
T. Kroos,ram,36,0.918,0.516,0.306,0.622,0.957,0.082,89.231
J. Hector,rb,28,0.755,0.429,0.107,0.438,0.801,0.245,74.452
M. Neuer,gk,12,0.834,0.500,0.000,0.700,0.901,0.166,77.235
S. Khedira,lcm,33,0.845,0.286,0.000,0.600,0.831,0.155,74.467
T. Müller,lw,38,0.653,0.400,0.342,0.488,0.659,0.347,71.424
Y. Rakitskiy,rb,2,0.693,0.357,0.000,0.583,0.849,0.307,71.420
A. Pyatov,gk,3,0.776,0.500,0.000,0.700,0.961,0.224,73.361
S. Sydorchuk,lcm,2,0.658,0.500,0.000,0.727,0.987,0.342,72.076
A. Yarmolenko,lw,21,0.671,0.462,0.238,0.524,0.691,0.329,72.578
A. Fedetskiy,lb,3,0.614,0.455,0.667,0.667,0.935,0.386,73.523
B. Höwedes,cb,9,0.799,0.462,0.111,0.650,0.806,0.201,75.248
J. Draxler,ram,37,0.847,0.333,0.054,0.560,0.854,0.153,76.697
E. Khacheridi,lb,3,0.810,0.500,0.000,0.700,0.900,0.190,73.564
V. Shevchuk,rb,2,0.522,0.455,0.500,0.571,0.121,0.478,70.436
Y. Konoplyanka,ram,29,0.570,0.462,0.241,0.379,0.464,0.430,65.819
V. Kovalenko,cam,3,0.697,0.545,0.000,0.636,0.800,0.303,72.337
M. Götze,cam,27,0.713,0.424,0.259,0.538,0.655,0.287,73.509
T. Stepanenko,rcm,3,0.742,0.429,0.000,0.571,0.636,0.258,71.662
R. Zozulya,st,3,0.609,0.500,0.000,0.700,0.529,0.391,70.519
Y. Seleznyov,lw,2,0.591,0.500,0.000,0.700,0.000,0.409,69.822
A. Schürrle,rw,21,0.677,0.500,0.143,0.410,0.616,0.323,71.496
B. Schweinsteiger,cm,5,0.754,0.417,0.000,0.500,0.734,0.246,71.967
A. Hughes,lb,3,0.556,0.500,0.000,0.615,0.846,0.444,70.685
C. Evans,lcm,3,0.706,0.500,0.000,0.727,0.800,0.294,72.241
N. McGinn,lam,3,0.560,0.455,0.000,0.700,0.000,0.440,68.421
D. Garmash,ram,1,0.667,0.500,0.000,0.700,1.000,0.333,71.970
J. Magennis,lw,3,0.565,0.500,0.333,0.700,0.000,0.435,69.852
M. Hummels,rb,32,0.860,0.315,0.031,0.529,0.929,0.140,76.947
M. Gómez,st,35,0.630,0.476,0.086,0.579,0.427,0.370,66.571
S. Peszko,ram,3,0.609,0.500,0.000,0.700,1.000,0.391,71.698
O. Kucher,rb,1,0.761,0.500,1.000,0.700,1.000,0.239,73.590
P. Zieliński,ram,40,0.783,0.367,0.150,0.478,0.713,0.217,74.284
B. Butko,rb,1,0.667,0.500,0.000,0.636,1.000,0.333,71.950
R. Rotan,cm,1,0.771,0.545,1.000,0.636,1.000,0.229,73.709
T. Cionek,lb,17,0.708,0.385,0.059,0.600,0.805,0.292,71.529
J. Kimmich,lb,35,0.789,0.488,0.457,0.451,0.830,0.211,82.908
A. Turan,rcm,3,0.761,0.455,0.000,0.700,0.849,0.239,72.653
S. İnan,cdm,3,0.709,0.417,0.000,0.615,0.922,0.291,71.998
C. Erkin,rb,2,0.585,0.455,0.000,0.467,0.887,0.415,71.017
V. Ćorluka,lb,8,0.799,0.455,0.000,0.727,0.881,0.201,74.661
H. Çalhanoğlu,ram,33,0.758,0.448,0.303,0.621,0.723,0.242,77.738
O. Özyakup,cm,3,0.706,0.500,0.000,0.700,0.818,0.294,72.262
I. Perišić,ram,48,0.548,0.353,0.312,0.343,0.636,0.452,63.840
I. Rakitić,cm,46,0.847,0.352,0.196,0.576,0.865,0.153,79.816
M. Mandžukić,rw,41,0.695,0.400,0.146,0.429,0.677,0.305,70.497
L. Modrić,lam,36,0.840,0.433,0.194,0.600,0.885,0.160,81.271
D. Srna,lb,4,0.636,0.500,1.000,0.581,0.816,0.364,75.551
O. Tufan,lcm,3,0.793,0.545,0.000,0.700,0.886,0.207,73.614
M. Badelj,cm,33,0.816,0.383,0.121,0.750,0.788,0.184,77.310
H. Balta,rb,3,0.661,0.500,0.000,0.700,0.817,0.339,71.787
I. Strinić,rb,26,0.667,0.438,0.115,0.317,0.756,0.333,70.362
M. Topal,cdm,3,0.831,0.500,0.000,0.700,0.940,0.169,73.879
D. Subašić,gk,44,0.780,0.500,0.000,0.700,0.820,0.220,77.501
