playerId,name,category,best_fit_role,raw_best_fit_role
15245,G. Schildenfeld,df,rcb,rcb
25598,G. Sertic,md,cdm,cdm
101585,G. Shchennikov,df,rb,ram
94828,G. Shibasaki,md,cm,cm
94814,G. Shōji,df,rb,rb
77558,G. Sigurðsson,md,rcm,rcm
269152,G. Simeone,fw,st,cam
14945,G. Sio,fw,st,cam
26044,G. Sunu,fw,st,cam
32798,G. Svensson,md,cdm,cdm
20596,G. Torje,md,lam,lam
116997,G. Torres,fw,st,cam
116166,G. Varela,df,lb,lam
461671,G. Volpicelli,md,cdm,cdm
8744,G. Whelan,md,cm,cm
116,G. Wijnaldum,md,cm,cm
49876,G. Xhaka,md,cm,cm
8297,G. dos Santos,fw,st,cam
45,G. van der Wiel,df,lb,lcm
3441,Gabi,md,lcm,lcm
41363,Gabriel,df,lcb,cdm
415917,Gabriel,df,rcb,rcb
43051,Gabriel,md,rcm,rcm
340386,Gabriel Jesus,fw,st,cam
21550,Gabriel Silva,df,rb,rcm
40800,Ganso,md,cm,cm
227059,Gelson Martins,fw,lw,lcm
5400,Gerard Moreno,fw,ls,cam
275497,Gerard Valentín,df,lb,lcm
340019,Gerson,md,cam,cam
338249,Gil Dias,fw,lw,lam
8266,Gomes,gk,gk,cb
237034,Gonçalo Guedes,fw,rw,ram
3317,Granero,md,cm,cm
3267,Guaita,gk,gk,lcb
5481,Guerrero,fw,st,cam
70834,Guilherme,md,lam,lam
40614,Guilherme,md,cm,cm
336371,Guilherme Arana,df,rb,rcm
263091,Gumbau,md,rcm,rcm
3970,Gálvez,df,lcb,cdm
397046,H. Aouar,md,ram,ram
9283,H. Arter,md,cm,cm
112777,H. Ayala,df,lcb,lcb
14715,H. Badstuber,df,rcb,cdm
32642,H. Balta,df,rcb,cdm
448708,H. Barnes,md,ram,rs
26069,H. Bazile,fw,st,cam
25988,H. Bedimo,df,rb,rcm
419784,H. Choudhury,md,lcm,lcm
116293,H. Cummings,df,lcb,lcb
56394,H. Dalsgaard,df,lb,lcm
294697,H. Diallo,fw,ls,ls
57226,H. Halldórsson,gk,gk,lcb
280419,H. Hateboer,df,lb,lam
112459,H. Herrera,md,cm,cm
8717,H. Kane,fw,st,cam
408052,H. Koffi,gk,gk,lcb
25381,H. Lloris,gk,gk,cb
295156,H. Lozano,fw,rw,ram
135207,H. Magnússon,df,rb,rcm
8653,H. Maguire,df,rb,rcm
437011,H. Mahou,md,ram,ram
229198,H. Manzala,md,ram,ram
285457,H. Maïga,md,lcm,lcm
426702,H. Mendyl,df,rb,rcm
105338,H. Mkhitaryan,md,cam,cam
3795,H. Moreno,df,rb,rb
293080,H. Nagguez,df,lb,lam
15012,H. Nordtveit,md,cdm,cdm
3539,H. Pérez,md,lam,lam
8686,H. Robson-Kanu,fw,ls,lam
25604,H. Saivet,md,cdm,cdm
94695,H. Sakai,df,lb,lcm
20766,H. Seferović,fw,st,cam
393881,H. Toledo,fw,ls,lam
228963,H. Traoré,df,lb,lcm
240070,H. Winks,md,cm,cm
95010,H. Yamaguchi,md,rcm,rcm
221039,H. Ziyech,md,cam,cam
15524,H. Çalhanoğlu,md,ram,ram
404209,Han Kwang-Song,fw,st,cam
122615,Hattan Bahbir,md,lam,lam
134797,Hernani,md,rcm,rcm
4366,Hernán,md,lcm,lcm
25993,Hilton,df,rcb,cdm
545811,Hugo Duro,fw,rs,cam
3827,Hugo Mallo,df,lb,lcm
122918,Hussain Al Mogahwi,md,lam,lam
349687,Hwang Hee-Chan,fw,ls,cam
138633,Hyun-Soo Jang,df,lcb,cdm
256043,Hyun-Woo Cho,gk,gk,cb
6925,Héctor,df,rb,rcm
20390,I. Abate,df,lb,lam
3343,I. Afellay,md,lcm,lcm
101576,I. Akinfeev,gk,gk,cdm
28232,I. Amadou,md,cdm,cdm
224801,I. Bebou,fw,st,cam
20692,I. Belfodil,fw,st,cam
255935,I. Brown,fw,rw,ram
25534,I. Cissokho,df,lb,lcm
22158,I. Cofie,md,lcm,lcm
25859,I. Diomandé,md,cdm,cdm
286380,I. Diop,df,lb,cdm
241134,I. Díaz,fw,rw,ram
38094,I. Ezekiel,fw,st,cam
471771,I. Faraj,md,lam,lam
208089,I. Fossum,md,rcm,rcm
521939,I. Ganago,fw,st,cam
25706,I. Gueye,md,cm,cm
49992,I. Hajrović,md,lam,lam
134294,I. Hayden,md,lcm,lcm
51262,I. Kiese Thelin,fw,st,cam
393247,I. Konaté,df,lb,cdm
103668,I. Kutepov,df,lcb,cdm
99633,I. Lewczuk,df,lb,lcm
22377,I. M'baye,df,lb,lcm
276983,I. Mbenza,fw,ls,cam
498357,I. Niane,fw,rs,cam
14812,I. Perišić,md,ram,ram
21564,I. Radovanović,md,cm,cm
3476,I. Rakitić,md,lcm,lcm
26327,I. Saadi,fw,st,cam
412701,I. Sacko,fw,st,cam
375001,I. Sangaré,md,cm,cm
15004,I. Santini,fw,st,cam
448079,I. Sarr,md,cam,cam
119630,I. Slimani,fw,st,cam
373441,I. Smith,df,lb,lw
101825,I. Smolnikov,df,lb,lam
105361,I. Strinić,df,rb,rcm
285509,I. Success,fw,ls,cam
203113,I. Sylla,df,rb,ram
14758,I. Traoré,md,lam,lam
26086,I. Traoré,df,lb,lb
3840,Iago Aspas,fw,ls,lam
8148,Iago Falqué,fw,lw,lam
4476,Iago Herrerín,gk,gk,lcb
3423,Ibai Gómez,md,lam,lam
3676,Illarramendi,md,cm,cm
279570,Imanol Sarriegi,md,lcm,lcm
3353,Iniesta,md,ram,ram
3399,Iraizoz,gk,gk,cb
3563,Isco,md,ram,ram
3414,Iturraspe,md,lcm,lcm
70974,Iuri Medeiros,fw,ls,cam
254189,Ivi,fw,rw,ram
279555,Iván Alejo,md,lam,lam
4786,Iván Balliu,df,lb,lam
3919,Iván López,df,lb,lcm
352748,Iván Rodríguez,df,lb,lcm
247141,Iñaki Williams,fw,ls,lam
344075,Iñigo Córdoba,md,ram,ram
125284,J. Acosta,df,lcb,cdm
141172,J. Aholou,md,cm,cm
77548,J. Allen,md,cm,cm
213308,J. Alonso,df,rb,rb
214628,J. Amavi,df,rb,rcm
145787,J. Andersen,df,lcb,cdm
491365,J. Arp,fw,st,cam
279780,J. Augustin,fw,st,cam
25571,J. Ayew,fw,st,cam
276944,J. Bamba,fw,st,cam
15188,J. Baumgartlinger,md,cm,cm
240032,J. Bednarek,df,lcb,cdm
385655,J. Billong,df,lb,lb
26543,J. Blayac,fw,ls,cam
14716,J. Boateng,df,lb,lcm
227756,J. Boga,fw,lw,lw
26970,J. Bouet,gk,gk,lcm
146583,J. Brandt,md,cam,cam
284469,J. Brekalo,md,cam,cam
25411,J. Briand,fw,rs,ram
18974,J. Brooks,df,rcb,rcb
14887,J. Bruma,df,lb,lb
347366,J. Bruun Larsen,fw,st,cm
8094,J. Butland,gk,gk,lcb
58105,J. Böðvarsson,fw,st,cam
14804,J. Błaszczykowski,md,lam,lam
228902,J. Calleri,fw,st,cam
26038,J. Campbell,fw,lw,lam
9615,J. Chester,df,lcb,cdm
33,J. Cillessen,gk,gk,cb
8005,J. Collins,df,lcb,cdm
26433,J. Cordoval,df,lb,lcm
8125,J. Cork,md,cm,cm
112522,J. Corona,fw,st,st
207001,J. Correa,md,ram,ram
20751,J. Cuadrado,md,lam,lam
365707,J. Cullen,md,lcm,lcm
91519,J. Córdoba,fw,st,cam
8296,J. Defoe,fw,st,cam
38236,J. Delaplace,md,lcm,lcm
437636,J. Deminguet,md,ram,ram
278872,J. Denayer,df,rb,rb
7850,J. Djourou,df,rcb,cdm
248632,J. Dompé,md,lam,lam
14862,J. Draxler,md,ram,ram
50023,J. Drmic,fw,ls,cam
50812,J. Durmaz,md,cam,cam
366203,J. Eggestein,fw,st,cam
413041,J. El Yamiq,df,lcb,cdm
135788,J. Elez,df,rb,rb
7914,J. Evans,df,rcb,cdm
14872,J. Farfán,fw,rs,ram
25403,J. Ferri,md,lcm,lcm
364850,J. Firpo,df,rb,rcm
62344,J. Fulton,md,rcm,rcm
25647,J. Féret,md,cm,cm
336178,J. Gallardo,md,rcm,rb
228980,J. Gbamin,md,cm,cm
15455,J. Geis,md,cdm,cdm
301013,J. Gelin,df,lb,cdm
227894,J. Giménez,df,lb,cdm
29291,J. Giraudon,df,lb,lb
366581,J. Gnagnon,df,rcb,cdm
257899,J. Gomez,df,lb,lcm
17136,J. Gondorf,md,cam,cam
159,J. Gouweleeuw,df,lcb,cdm
82230,J. Greguš,md,rcm,rcm
29137,J. Grimm,md,lcm,lcm
151,J. Guidetti,fw,st,cam
25861,J. Guilavogui,md,lcm,lcm
93,J. Guðmunds­son,md,lam,lam
100140,J. Góralski,md,rcm,rcm
15487,J. Haberer,md,cam,cam
8301,J. Hart,gk,gk,cb
18669,J. Hector,df,rb,rcm
7964,J. Henderson,md,cm,cm
8980,J. Hendrick,md,cam,cam
7941,J. Hernández,fw,st,cam
