=== Augsburg ===
N. Amiri: 80.96% (655/809)
A. Kramarić: 79.31% (644/812)
N. Schulz: 74.74% (642/859)
P. Kadeřábek: 73.80% (614/832)

=== Köln ===
D. Maroh: 92.94% (408/439)
V. Koziello: 90.59% (462/510)
Jorge Meré: 88.37% (813/920)
M. Höger: 86.29% (919/1065)
M. Lehmann: 85.48% (671/785)
D. Heintz: 85.04% (1228/1444)
J. Hector: 83.68% (759/907)
S. Özcan: 83.58% (682/816)
T. Horn: 82.19% (517/629)
M. Jojić: 81.64% (467/572)
F. Sørensen: 81.13% (692/853)
Y. Ōsako: 75.39% (438/581)
L. Bittencourt: 74.85% (494/660)
K. Rausch: 72.52% (285/393)
L. Klünter: 66.09% (269/407)
M. Risse: 66.09% (345/522)

=== Mainz 05 ===
N. de Jong: 85.54% (284/332)
S. Serdar: 83.86% (452/539)
A. Maxim: 83.24% (313/376)
F. Frei: 82.79% (332/401)
J. Gbamin: 82.45% (902/1094)
D. Latza: 82.17% (940/1144)
A. Hack: 81.25% (481/592)
S. Bell: 81.19% (682/840)
R. Zentner: 81.12% (275/339)
L. Balogun: 79.86% (345/432)
A. Diallo: 79.75% (835/1047)
Y. Muto: 76.63% (223/291)
G. Donati: 75.87% (629/829)
P. De Blasis: 75.11% (519/691)
L. Öztunali: 73.39% (331/451)
D. Brosinski: 72.19% (758/1050)

=== RB Leipzig ===
W. Orban: 86.47% (1061/1227)
D. Upamecano: 86.35% (1170/1355)
P. Gulácsi: 86.28% (654/758)
S. Ilsanker: 85.81% (738/860)
K. Kampl: 85.75% (969/1130)
D. Demme: 84.16% (1647/1957)
I. Konaté: 83.99% (509/606)
N. Keïta: 81.97% (959/1170)
E. Forsberg: 81.85% (415/507)
Bruma: 80.51% (632/785)
M. Halstenberg: 80.18% (453/565)
K. Laimer: 79.80% (482/604)
Bernardo: 78.30% (534/682)
L. Klostermann: 77.99% (737/945)
M. Sabitzer: 73.82% (612/829)
T. Werner: 69.78% (448/642)

=== Schalke 04 ===
M. Meyer: 91.04% (925/1016)
M. Nastasić: 90.52% (993/1097)
Naldo: 89.63% (1392/1553)
T. Kehrer: 86.57% (1025/1184)
R. Fährmann: 86.40% (502/581)
B. Stambouli: 84.66% (1104/1304)
A. Harit: 83.61% (612/732)
N. Bentaleb: 83.11% (428/515)
L. Goretzka: 80.95% (680/840)
B. Oczipka: 76.14% (782/1027)
G. Burgstaller: 75.36% (367/487)
W. McKennie: 74.68% (354/474)
D. Caligiuri: 73.71% (931/1263)
Y. Konoplyanka: 72.13% (321/445)
F. Di Santo: 71.76% (305/425)

=== Stuttgart ===
M. Kamiński: 88.79% (705/794)
H. Badstuber: 88.45% (904/1022)
S. Ascacíbar: 86.88% (967/1113)
D. Aogo: 86.55% (869/1004)
B. Pavard: 86.03% (1546/1797)
T. Baumgartl: 85.17% (1177/1382)
R. Zieler: 82.77% (706/853)
C. Gentner: 74.71% (898/1202)
A. Beck: 74.25% (646/870)
E. Insúa: 72.97% (610/836)

=== Werder Bremen ===
N. Moisander: 88.06% (1247/1416)
L. Sané: 86.79% (322/371)
J. Pavlenka: 85.02% (630/741)
P. Bargfrede: 82.16% (760/925)
T. Gebre Selassie: 82.08% (852/1038)
M. Veljkovic: 81.96% (1072/1308)
M. Kruse: 80.55% (961/1193)
M. Eggestein: 78.60% (709/902)
L. Augustinsson: 78.50% (898/1144)
R. Bauer: 78.32% (336/429)
F. Bartels: 78.13% (293/375)
Z. Junuzović: 76.52% (515/673)
T. Delaney: 76.32% (893/1170)
F. Kainz: 74.44% (498/669)
I. Belfodil: 69.66% (248/356)

=== Wolfsburg ===
J. Bruma: 90.92% (531/584)
R. Knoche: 89.07% (1190/1336)
F. Uduokhai: 87.66% (753/859)
J. Guilavogui: 87.34% (1145/1311)
K. Casteels: 85.95% (771/897)
M. Arnold: 85.02% (1056/1242)
M. Tisserand: 84.80% (558/658)
Camacho: 81.98% (373/455)
P. Verhaegh: 80.99% (1112/1373)
Y. Mallı: 80.82% (649/803)
Y. Gerhardt: 79.34% (430/542)
D. Origi: 77.69% (282/363)
D. Didavi: 77.45% (673/869)
William: 74.88% (623/832)

