eventName,subEventName,startX,startY,endX,endY,tags
Duel,Ground attacking duel,56,24,55,25,"702, 1801"
Pass,Simple pass,55,25,38,30,1801
Pass,Simple pass,57,30,38,48,1801
Pass,Head pass,24,59,38,53,1802
Shot,Shot,72,32,0,0,"402, 201, 1210, 1802"
Pass,Simple pass,30,51,21,35,1801
Pass,Simple pass,63,63,66,91,1801
Duel,Ground attacking duel,62,79,69,85,"503, 701, 1802"
Pass,Simple pass,68,70,81,53,1801
Pass,Simple pass,56,24,56,18,1801
Free Kick,Free kick cross,60,16,88,62,"801, 1801"
Duel,Ground attacking duel,48,7,34,0,"702, 1801"
Pass,High pass,37,32,34,76,1801
Others on the ball,Touch,64,14,51,0,1401
Pass,Launch,30,17,44,0,1802
Pass,Simple pass,30,31,33,7,1801
