eventName,subEventName,startX,startY,endX,endY,tags
Others on the ball,Clearance,9,43,27,0,"1401, 1802"
Free Kick,Free Kick,62,6,75,1,1801
Free Kick,Free Kick,44,79,0,0,1802
Duel,Ground attacking duel,69,64,69,49,"701, 1802"
Pass,Head pass,43,19,39,2,1801
Pass,Head pass,46,64,54,45,1801
Pass,Simple pass,39,14,31,10,1801
Pass,Simple pass,40,40,35,36,1801
Duel,Ground attacking duel,74,55,76,70,"1401, 501, 702, 1801"
Duel,Ground loose ball duel,76,70,69,88,"701, 1802"
Pass,Simple pass,52,47,67,59,1801
Duel,Ground defending duel,34,62,18,69,"1601, 701, 1802"
Pass,Simple pass,12,67,14,92,"1401, 1801"
Pass,Simple pass,28,75,21,71,1801
Pass,Simple pass,41,36,48,56,1801
Pass,High pass,77,73,92,27,1801
Pass,Cross,95,33,100,100,"402, 2101, 1802"
Pass,Simple pass,21,12,44,9,1801
Pass,Head pass,41,30,36,30,1801
Others on the ball,Touch,35,33,33,75,
Pass,Simple pass,33,75,30,73,1802
Duel,Ground attacking duel,95,42,88,24,"701, 1802"
Pass,Simple pass,43,15,60,31,1801
Duel,Ground loose ball duel,30,30,28,33,"702, 1801"
Duel,Air duel,30,30,31,31,"702, 1801"
Pass,Simple pass,19,18,46,19,1801
Pass,Simple pass,55,27,55,17,1802
Duel,Ground defending duel,29,11,31,7,"1601, 703, 1801"
Pass,High pass,31,7,79,0,1802
Pass,Head pass,72,10,65,26,1802
Pass,Simple pass,65,34,78,92,1801
Pass,Launch,11,48,44,50,1801
Pass,Head pass,60,33,66,32,1802
Pass,High pass,17,66,61,34,1801
Pass,Simple pass,25,14,27,8,1801
Duel,Ground attacking duel,27,8,19,22,"501, 703, 1801"
Pass,High pass,30,6,45,13,1802
Pass,Simple pass,55,52,47,52,1801
Pass,Simple pass,50,47,73,87,1802
Others on the ball,Touch,63,84,65,100,1401
Pass,Simple pass,33,72,40,11,1801
Pass,High pass,45,34,70,93,1801
