eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,57,36,70,30,1801
Pass,Simple pass,73,56,92,90,1801
Others on the ball,Touch,89,55,91,100,201
Duel,Ground attacking duel,35,43,34,46,"703, 1801"
Duel,Ground attacking duel,64,28,57,26,"702, 1801"
Pass,Simple pass,57,26,54,26,1801
Pass,Simple pass,36,21,26,30,1801
Pass,Simple pass,60,10,58,29,1801
Pass,Simple pass,65,30,67,22,1801
Pass,Smart pass,76,36,80,26,"901, 1802"
Pass,Simple pass,69,37,88,25,"301, 1801"
Pass,Simple pass,35,8,39,21,1801
Duel,Ground attacking duel,70,14,74,24,"1901, 504, 703, 1801"
Pass,Smart pass,74,24,91,45,"1901, 901, 1802"
Others on the ball,Touch,47,31,57,30,
Pass,Simple pass,44,24,36,23,1802
Duel,Ground attacking duel,49,8,71,10,"503, 703, 1801"
Offside,,74,27,0,0,
Pass,Simple pass,50,51,32,42,1801
Pass,Simple pass,61,42,56,23,1801
Others on the ball,Acceleration,68,26,89,44,"1901, 1801"
Duel,Ground attacking duel,89,44,81,48,"1901, 501, 701, 1802"
Pass,Simple pass,55,9,40,28,1801
Duel,Ground attacking duel,70,5,71,0,"702, 1801"
Pass,Simple pass,87,98,77,89,1801
Pass,Simple pass,77,96,72,85,1801
Pass,Simple pass,57,15,46,23,1801
Duel,Ground attacking duel,64,43,70,52,"701, 1802"
Free Kick,Corner,100,0,88,10,1801
Pass,Simple pass,67,10,58,30,1801
Duel,Ground attacking duel,67,8,67,10,"703, 1801"
Others on the ball,Touch,67,10,54,26,
Duel,Ground attacking duel,61,26,62,47,"2001, 504, 701, 1802"
Others on the ball,Touch,59,30,43,42,
Duel,Ground attacking duel,43,42,44,35,"703, 1801"
Free Kick,Free Kick,41,36,51,32,1801
Shot,Shot,90,42,0,0,"402, 201, 1210, 1802"
Pass,Simple pass,51,26,35,50,1801
Pass,High pass,56,54,86,27,"901, 1802"
Pass,Simple pass,65,35,85,5,1801
Pass,Simple pass,65,27,66,47,1801
Others on the ball,Touch,75,38,76,36,1301
Pass,Simple pass,71,34,93,27,1801
