eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,30,57,12,42,1801
Pass,Simple pass,26,47,9,24,1801
Pass,High pass,46,23,97,85,1801
Pass,Simple pass,39,6,28,12,1801
Duel,Ground attacking duel,26,4,25,6,"703, 1801"
Free Kick,Free Kick,23,6,31,82,1801
Others on the ball,Acceleration,36,32,72,44,1801
Pass,Simple pass,72,44,89,29,1802
Duel,Ground defending duel,68,35,63,38,"701, 1802"
Pass,Simple pass,17,29,27,13,1802
Pass,Simple pass,26,12,27,39,1801
Pass,Simple pass,52,31,56,53,1801
Pass,Simple pass,48,29,68,91,1801
Pass,Simple pass,53,27,57,39,1801
Pass,Simple pass,56,27,64,37,1801
Duel,Ground defending duel,56,47,52,30,"503, 701, 1802"
Pass,Simple pass,31,52,23,66,1801
Pass,Simple pass,72,30,68,4,1801
Pass,Simple pass,29,38,35,51,1801
Pass,High pass,31,32,53,94,1801
Pass,Simple pass,41,48,33,81,1801
Pass,Simple pass,65,30,69,42,1801
Others on the ball,Acceleration,30,37,47,48,1801
Pass,Simple pass,47,48,54,85,1801
Pass,Simple pass,38,44,47,46,1801
Duel,Ground loose ball duel,71,25,74,26,"701, 1802"
Pass,Simple pass,30,26,27,44,1801
Pass,Simple pass,33,8,36,34,1801
Pass,Simple pass,40,64,48,54,1801
Pass,Simple pass,30,25,38,33,1801
Others on the ball,Touch,26,30,10,18,
Duel,Ground defending duel,10,18,9,16,"503, 701, 1802"
Foul,Foul,9,16,10,18,1702
Pass,Simple pass,14,25,11,9,1801
Free Kick,Corner,100,100,89,54,"801, 1801"
Pass,High pass,36,27,33,90,1801
Free Kick,Corner,100,100,88,43,"302, 801, 1801"
Duel,Ground loose ball duel,54,62,45,51,"701, 1802"
Pass,Simple pass,26,21,16,81,1801
Pass,Simple pass,52,24,64,3,1801
Pass,Simple pass,56,80,40,71,1801
Pass,Simple pass,42,74,39,63,1801
Pass,Simple pass,25,78,12,62,1801
Free Kick,Corner,100,0,87,7,1801
Pass,Simple pass,48,53,63,83,1801
Duel,Ground attacking duel,31,29,30,27,"701, 1802"
Foul,Hand foul,30,27,0,0,
Pass,Simple pass,61,67,71,64,1801
Free Kick,Corner,100,0,93,45,"801, 1801"
Pass,Simple pass,45,9,80,8,1801
Shot,Shot,74,40,0,0,"402, 2101, 1802"
Duel,Ground defending duel,22,73,25,64,"702, 1801"
Pass,Simple pass,35,66,38,91,1801
Duel,Ground defending duel,62,20,58,21,"703, 1801"
Shot,Shot,77,32,0,0,"401, 201, 1203, 1801"
Duel,Ground defending duel,57,16,64,8,"703, 1801"
Pass,Simple pass,57,11,42,27,1801
Pass,Simple pass,25,46,39,97,1801
Duel,Ground defending duel,38,66,36,74,"501, 701, 1802"
Free Kick,Free kick cross,73,83,93,28,"801, 1801"
Duel,Ground defending duel,77,43,53,35,"701, 1802"
Pass,Simple pass,31,65,39,72,1801
Others on the ball,Touch,60,6,37,25,
Pass,Simple pass,37,25,53,64,1801
Free Kick,Free Kick,55,35,66,78,1801
Pass,Simple pass,72,91,82,96,1801
Pass,Simple pass,66,18,72,5,1801
Duel,Ground defending duel,27,33,30,29,"702, 1801"
Pass,Simple pass,13,60,6,71,1801
Pass,Simple pass,38,25,55,50,1801
Duel,Ground defending duel,53,41,43,49,"501, 701, 1802"
Pass,Simple pass,45,51,52,74,1801
Free Kick,Free Kick,64,2,64,13,1801
Pass,Simple pass,54,9,44,53,1801
