eventName,subEventName,startX,startY,endX,endY,tags
Pass,Simple pass,59,20,68,4,1801
Pass,Head pass,57,15,65,14,1801
Pass,Simple pass,61,25,63,49,1801
Pass,Simple pass,63,15,53,46,1801
Pass,Head pass,33,11,34,26,1801
Pass,Simple pass,55,40,72,86,1801
Pass,Simple pass,61,32,71,9,1801
Duel,Ground attacking duel,60,13,68,10,"503, 701, 1802"
Pass,High pass,65,21,85,100,1802
Duel,Ground loose ball duel,10,11,9,9,"703, 1801"
Others on the ball,Clearance,9,9,0,5,1802
Pass,Simple pass,24,26,31,25,1801
Pass,Simple pass,41,22,60,18,1801
Pass,Simple pass,63,15,75,2,1801
Pass,Simple pass,61,22,55,64,1801
Pass,Simple pass,59,19,69,10,1801
Pass,Simple pass,64,24,68,50,1801
Pass,Simple pass,11,26,23,27,1801
Pass,Simple pass,51,26,61,3,1801
Pass,Simple pass,56,23,57,65,1801
Pass,Simple pass,55,40,63,13,1801
Duel,Ground defending duel,46,3,44,3,"504, 701, 1802"
Foul,Foul,44,3,46,3,
Pass,High pass,7,17,31,17,1801
Duel,Ground defending duel,7,27,0,0,"502, 702, 1801"
Pass,High pass,29,19,73,25,1801
Duel,Ground defending duel,34,3,36,0,"601, 702, 1801"
Pass,Simple pass,56,18,64,3,1801
Pass,Simple pass,62,27,65,67,1801
Pass,Simple pass,62,23,73,4,1801
Pass,Simple pass,62,29,66,52,1801
Pass,Simple pass,61,22,70,14,1801
Pass,Simple pass,62,21,78,3,1801
Pass,Simple pass,65,23,66,54,1801
Pass,Simple pass,66,18,72,21,1801
Pass,Simple pass,66,17,75,1,1801
Pass,Head pass,40,18,28,5,1801
Pass,Simple pass,59,26,68,2,1801
Pass,Head pass,40,5,58,6,1801
Pass,Simple pass,44,80,56,50,1801
Pass,Simple pass,55,20,69,6,1801
Pass,Simple pass,58,33,64,72,1801
Pass,Simple pass,36,27,59,19,1801
Pass,Simple pass,25,21,33,69,1801
Pass,Simple pass,39,30,57,20,1801
Duel,Air duel,94,44,88,64,"702, 1801"
Pass,Simple pass,55,24,73,1,1801
Pass,Simple pass,66,24,66,75,1801
Pass,Simple pass,60,21,60,8,1801
Pass,Simple pass,58,31,69,3,1801
Pass,Simple pass,64,22,77,2,1801
Others on the ball,Touch,56,18,67,19,
Pass,Simple pass,67,19,74,3,1801
Pass,Simple pass,21,26,28,76,1801
Pass,Simple pass,55,37,66,13,1801
Pass,Simple pass,61,19,65,15,1801
Pass,Simple pass,60,22,69,19,1801
Duel,Ground defending duel,48,5,52,6,"702, 1801"
Pass,Simple pass,55,38,71,11,1801
Pass,High pass,66,21,78,88,1801
Others on the ball,Touch,26,16,59,18,
Pass,Simple pass,59,18,61,2,1801
Duel,Air duel,90,42,87,49,"702, 1801"
Pass,Simple pass,52,41,65,14,1801
Pass,Simple pass,63,18,67,62,1801
Pass,Simple pass,61,20,76,11,1801
Pass,Head pass,58,3,72,0,1802
Pass,Simple pass,63,23,64,41,1801
Pass,Simple pass,37,77,58,19,1801
Pass,Simple pass,57,44,62,73,1801
Pass,Simple pass,58,28,65,8,1801
Pass,Simple pass,57,23,50,67,"2001, 1802"
Pass,Simple pass,33,42,38,68,1801
Pass,Simple pass,64,18,74,3,1801
Duel,Ground loose ball duel,95,42,91,47,"701, 1802"
Duel,Air duel,92,51,91,57,"703, 1801"
Shot,Shot,91,57,0,0,"403, 201, 1214, 1802"
Pass,Simple pass,11,9,22,4,1801
Pass,Simple pass,28,21,36,21,1801
Pass,Simple pass,60,24,71,22,1801
Pass,Simple pass,61,30,55,57,1801
Pass,Simple pass,63,21,0,0,1802
Pass,Simple pass,33,24,56,10,1801
Pass,Simple pass,26,22,30,61,1801
Pass,Simple pass,27,26,34,5,1801
Pass,Simple pass,36,32,41,66,1801
Pass,Simple pass,54,26,60,10,1801
Pass,Simple pass,61,21,69,9,1801
Pass,Simple pass,62,27,66,61,1801
Pass,Simple pass,57,19,56,45,1801
Pass,Simple pass,56,33,60,12,1801
Pass,Simple pass,63,23,70,26,1801
Pass,Head pass,59,20,30,27,1801
Pass,Simple pass,66,20,74,48,1801
Pass,Simple pass,15,8,33,47,1801
Pass,High pass,68,25,99,58,"901, 1802"
Pass,Simple pass,63,20,74,1,1801
Pass,Simple pass,61,28,64,61,1801
Others on the ball,Touch,27,54,39,39,
Pass,Simple pass,39,39,48,32,1801
Duel,Ground defending duel,13,2,0,0,"701, 1802"
Pass,Simple pass,12,20,17,53,1801
Pass,Simple pass,55,40,76,12,1801
Duel,Ground loose ball duel,32,30,75,81,"702, 1801"
Pass,Simple pass,31,27,29,51,1801
Pass,High pass,67,44,76,90,1801
Duel,Air duel,28,40,71,70,"703, 1801"
Pass,Simple pass,8,20,19,15,1801
Pass,Simple pass,6,27,9,75,1801
Pass,Simple pass,31,54,63,23,1801
Pass,Simple pass,59,37,70,5,1801
Pass,Simple pass,64,35,62,73,1801
Pass,Simple pass,68,42,83,9,1801
Duel,Ground loose ball duel,94,54,10,42,"702, 1801"
Duel,Ground defending duel,17,10,80,97,"504, 702, 1801"
Pass,Simple pass,38,25,45,56,1801
Pass,Simple pass,57,32,67,46,1801
Pass,Simple pass,60,36,67,65,1801
Pass,Head pass,61,40,67,44,1801
Duel,Air duel,66,40,34,56,"703, 1801"
Pass,Simple pass,61,34,72,7,1801
Pass,Simple pass,61,29,54,57,1801
Pass,Simple pass,25,53,0,0,1802
Free Kick,Penalty,10,50,0,0,"101, 402, 1204, 1801"
