=== Augsburg ===
=== RB Leipzig ===
T. Werner: 10 assists
K. Kampl: 10 assists
Bruma: 10 assists
E. Forsberg: 9 assists
M. Sabitzer: 9 assists
N. Keïta: 7 assists
D. Demme: 6 assists
L. Klostermann: 6 assists
A. Lookman: 6 assists
J. Augustin: 5 assists
Y. Poulsen: 3 assists
W. Orban: 3 assists
Bernardo: 3 assists
M. Halstenberg: 2 assists
S. Ilsanker: 2 assists
K. Laimer: 2 assists
D. Kaiser: 1 assists
D. Upamecano: 1 assists
I. Konaté: 1 assists

=== Schalke 04 ===
A. Harit: 12 assists
Y. Konoplyanka: 11 assists
B. Oczipka: 10 assists
G. Burgstaller: 7 assists
D. Caligiuri: 7 assists
L. Goretzka: 6 assists
F. Di Santo: 4 assists
B. Stambouli: 3 assists
A. Schöpf: 2 assists
T. Kehrer: 1 assists
M. Meyer: 1 assists
B. Embolo: 1 assists
W. McKennie: 1 assists
Naldo: 1 assists
A. Baba: 1 assists

=== Stuttgart ===
C. Akolo: 8 assists
C. Gentner: 8 assists
E. Insúa: 6 assists
J. Brekalo: 5 assists
A. Beck: 5 assists
D. Aogo: 5 assists
T. Asano: 4 assists
B. Özcan: 4 assists
M. Gómez: 4 assists
B. Pavard: 3 assists
D. Ginczek: 3 assists
A. Donis: 3 assists
S. Terodde: 3 assists
E. Thommy: 2 assists
M. Kamiński: 1 assists
Ailton: 1 assists
O. Mangala: 1 assists

=== Werder Bremen ===
L. Augustinsson: 14 assists
M. Kruse: 12 assists
T. Delaney: 10 assists
Z. Junuzović: 10 assists
F. Bartels: 9 assists
I. Belfodil: 7 assists
F. Kainz: 7 assists
T. Gebre Selassie: 5 assists
M. Eggestein: 4 assists
A. Jóhannsson: 2 assists
M. Friedl: 2 assists
M. Rashica: 2 assists
J. Gondorf: 1 assists
N. Moisander: 1 assists
J. Eggestein: 1 assists

=== Wolfsburg ===
Y. Mallı: 8 assists
P. Verhaegh: 7 assists
J. Guilavogui: 6 assists
J. Błaszczykowski: 5 assists
D. Didavi: 4 assists
D. Origi: 4 assists
William: 4 assists
M. Arnold: 3 assists
J. Brekalo: 2 assists
P. Jaeckel: 2 assists
M. Gómez: 1 assists
G. Itter: 1 assists
P. Ntep: 1 assists
Y. Gerhardt: 1 assists
A. Mehmedi: 1 assists
R. Steffen: 1 assists

